,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.392566903683628,0.268658616165254,0.147709129711435,-0.0307592739941481,0.115369581505061,0.0451629356383056,0,-0.101662683482886,0.043822570790381,0.105418108993285,0,0.111373890806493,0,0,0
ETH,0.0993894057448176,0,0,0,0.137179532556645,0.0537203867874106,0.0506837853495396,0,0,0,0.145151740209147,0,0.1918938100989,0,0,0,0,0.178791006594387
XRP,0.077192655219768,0.184549544414869,0,-0.0596443270181644,-0.0518737182339019,0.0198320435327255,-0.12610869009921,0.0821873366992258,0.389599009279412,0.102366392720465,0,-0.0067560324871241,0.031069668736773,0.264267884809143,-0.0534920074426936,-0.747100862401251,0,0.0613676859708906
LTC,0.556489807376738,0,-0.163825374519695,0,-0.0998036897426842,0,0.103382915866805,0.0900421333934716,0,0.250559409348889,0,0.107498030278673,0,0,-0.300548776236225,0,0,0.0325200547455305
DASH,0.36074473861939,0.287490438251737,0.136593517759591,0,0,0.264288384989413,0.430269517512942,0.18586497391608,0,-0.583747561492074,0.293949885642826,-0.26802876339126,0.0811010549795713,0.945060096465263,0,1.3622033884199,0,0.025653166360561
XMR,0.538133822139105,0.102452901388847,0,0,0.35216160672013,0,-0.0236364941459056,0.0246535201309936,0,-0.723639296605555,0.393585980249618,0.0189524665637384,0,0.325657932655918,0.591492838532883,0,0,-0.0163347496830912
ETC,0.227991486846704,0.41134482943508,0,0.420731807023336,0,0,0,0.0194371589846768,0,0.30726641249477,0.166389853438282,0,0.0753270223201684,0,0,0,0,-0.234922743430789
XEM,0,0,0.125543373559971,-0.108614664475995,0,-0.024780124722393,0.0126617957915705,0,-0.496667486663185,0.4780331373067,0.244541353440484,0.364619204255873,-0.228662957369592,1.04431670781587,0,0,0,0
DOGE,0,0,0.145874200562187,0.0669691604507808,0,0,0.142924460254579,0,0,0.00190813416136389,0.146976927044308,-1.73472347597681e-18,0.0436745328428813,0,0,0,0,0
ZEC,0.463228023922552,0.0719073916527139,-0.000903048900446851,1.73472347597681e-18,0,0,0.0811073982812836,-0.00953869680915091,0.517030458951091,0,0,-0.14776104631533,0.14829592921441,-0.572061006357462,0,0,0,0.0795834150096391
XLM,-0.358683504790958,0.145863443332922,0,0.247016564647541,0.102701981984022,0.0819953578593704,0.184401742043966,0,0.46802147527825,-0.243032594148172,0,0.142738660190974,-0.0472951697682227,-0.349060367624965,-0.0851829618285657,0,0,-0.0328285603822453
NEO,0.3158633490896,-0.0742218924757506,0,0.123974408924918,-0.28902898040879,0,-0.0654702711123881,0,0,0,0.418943703962919,0,0.236228115563536,0,0,0,0,-0.274663083798941
DGB,0.668835260775947,0,0,-1.04045566730279,0,0,0.0354651795638282,0.170642058137861,0,0.529381394401183,-0.0333729745491331,0.468301687955062,0,0,-0.275057541900439,0,0,0.229858490595027
BV010082.Index,-0.160294519092558,0.0479687006339139,0,-0.107501473215413,0.0578171191810548,0.0936347174138062,-0.0171330308137124,-0.0339843140641135,0,0.129655343751299,0.0295920818822207,-0.0076847038803476,-0.0716200229176951,0,-0.00717296607642263,0,0,-0.058605558042962
CVIX.Index,0.121296775756741,0.163929302251431,0.139830451754206,0,0,0,0,-0.151869066759242,0.0302739514723279,-0.0770235558680678,-0.0400162587489101,-0.0684811449954204,0,0,0,0,0,0.0118448942726289
DXY.Curncy,-0.0454318591084209,0.0087358193010833,-0.0590211456314083,0.0443642560379482,0.0296607358722857,0,0,-0.0202445330620176,0,0,0,0.0011839272083882,-0.000372790664462347,0.196273295172972,0.0388137735865635,0,0,-0.00249612465527307
SPX.Index,0,0,-0.0117160992628304,0,0.00614770607087846,-0.00727695367881847,-0.00723903876176415,0.00253152616205046,0,0.00990074096995933,0.00811448729061436,0,-0.00532411459911861,0.0502225524080853,0,0,0,-0.0608640163810028
VIX.Index,0,-0.231769663667016,0.318377626433497,0.107632160929311,0.249089690369908,0.227016191373595,-0.5473036619207,-0.354132084905477,0,0,0,0.263923951393925,0,0,0.189676620472285,0,0,0
