,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,TAGZ5,XLM,LINK,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00326474589188893,0.212547795379967,0.159042752829114,0,0,0.0494315127337772,0.0849022944965637,0,0,0,0.0766634763021959,0.168946676988931,0,0,0,0,0
ETH,0,0,0.0346284873532085,0.00259870746660057,0.244752166252515,0,0.266663640460752,0.0510303333309047,0.0312619318405036,0.166926964420262,0,0.00476863897027548,0.0354332405173981,0.0995389318298063,0.0854031177020569,0,0,0,0,0.0181246111606288
XRP,0,0.173903087637649,0,-4.69112632790491e-05,0.116272372863588,0,0.161770852294091,0.109936095806612,0,0.140628761532013,0,0.0111908418517639,0,0,0,0,-0.0184121892603252,0,0,0.014975024742636
INNBCL,0,0,12.3270109674982,0,14.2044747829703,-11.2478340631996,0,-28.4233018989002,0,0,0,4.72869862931013,18.0323037302218,0,-5.27673682598074,-3.64650058426068,-6.80121559394747,0,-18.1024936684617,-3.65569373956001
BCH,0.282301508541352,0.0801955261043768,0.254708867798905,0.00129419125569468,0,0.207079633198736,0.139257259639262,0.0411499657019924,0.0761249181183464,0.0249741473170958,0,0.0313127535050953,0,0,0,0,0,0,0,0
BSV,0,0,0,-0.0171525127181413,0.75963403996751,0,-3.46944695195361e-18,0.090424810148808,0,0,0,0,0,0.165279021931525,0,0,0,0,0,-0.155341021384058
LTC,0,0.0836079109518769,6.93889390390723e-18,0.000605078147919349,0.219324238801388,0.104492576363139,0,0.537779559496405,0,-0.0118359892838248,0,0,0,0,0,0,0.113833244694604,0,0,-0.0213666202850045
EOS,0,0,0.212377118326343,0.00599085672888317,0.228777749558209,0.203707038459657,0.180151979729514,0,0.169245942467671,0,0,0,0,0,0,0,0,0,0,-0.0165769254589769
BNB,0.200684268203278,0.157339024505263,0,0,0.258751570090605,0.0017220071330951,0.054854923872223,0,0,0.0888266324248318,0,0,0,0,0.228075570743526,0,0,0,0,0
XTZ,0.126583849217664,0.0703582134542785,0.108699471844531,-0.00452657755071606,0.252992995253547,0,0,0,0,0,0.085353171405713,0,0,0.450008939855122,0,-0.186248669670887,0,0,0,-0.0088598722992968
LEO,0,0,0,0.00278484818868599,0,0.120711268233408,-0.311701315341655,0,0,0.189875273828037,0,-0.0261625622296318,0,-0.0185867594961007,0,0,-0.00564122529539215,0,0,-0.0431509086496385
TAGZ5,0,0,0.406697681157544,-0.0130436800886527,0.320226242131225,-0.265411875844924,0,0,0,0,0,0,0.221392851979442,0.402493861515478,0,0,0,0,0,0.0451938951299011
XLM,0,-6.93889390390723e-18,0,0.00353288952912453,0.260057937915068,0.0121013275983322,0,0,0.231529692864128,0,0,0.0719228175511832,0,0,0.163461884693582,0,0,0,0,0
LINK,0.400539546468044,0,0,-0.00212550240407294,0,0.148627273270349,0.301267131810185,0,0,0.279505776387108,0.105428599902117,0,0,0,0,-0.226053447880404,0.00107830795987141,0,0,0
XMR,0,0,0,-0.00508777176721889,0.0609476123756751,-0.121626504192148,0.090612247891887,0.406770767259562,0,0.112072254834229,0,0,0.305688828655098,0.103761278411041,0,0,-0.0790257160480322,0,0,0.0217123262535912
BV010082.Index,0,0.0691955057013261,0,-0.00242354970458149,0,0.396203931260074,0.381836400040804,-0.44247209957843,-1.29588058401394,-0.77767429731643,0,0,1.26123461501809,0.591196548084778,0,0,0.0673522643856604,0,0,0.0131244346706192
CVIX.Index,0,0,0,0,0,0,0.260839947704626,0,0,0.181000859620085,0,-0.553881737955021,0,0.142334233834753,0,0.258034204015898,0,0,0,0.371601103105628
DXY.Curncy,0,0,0,-0.000604757329929013,0,0.0240266858418928,-0.0277793496926952,0,0,0,0,0,0.0178188103214276,-0.0110640162777515,0,0.0302148321868189,-0.0322938683194645,0,0,-0.00533476550421472
SPX.Index,-0.0107569756771925,0,0,-0.000523624256503601,0,-0.161918896952766,0,0.12669019378652,0,0.117949460652184,-0.317083539048248,-0.0812013636199686,-0.0268896896968103,0,0,0.290453844103894,0,0,0,-0.175941539108935
VIX.Index,0,0.982029073069441,0,-0.00402437743472977,-0.256436246089916,-0.475391904103978,0,0,0,0.190674632466252,0,0.11306547853808,-0.624596642574243,-0.0951897837266163,0,0.626932691176359,0.30582798090264,0,-2.67438943789526,0
