,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00819700338082232,0,0.275538105036617,0.146016988102985,0.210524177377457,0.120004670099083,0,0,1.73472347597681e-18,0,0,-0.166467193120237,0.0489651817011701,0,0,0,0,0,-0.00944220795008303
ETH,0.314847065299024,0,0,0.0292196797346675,0.158919051632673,0.157730699447445,0.0299815295986063,0.164856969267674,0,0,0,0.071241457294338,0,-0.0454349060902156,0.14850655613456,0,0,0,0,0
XRP,0,-0.901578458373388,0,-0.368170901793479,0.0133737794426518,0.0195218999190509,-0.178437608039126,0.42488063627061,0,0.132262300797643,0.46860484626908,0.683558827108398,0.199486359564895,0.139819920830536,0.259962224006791,-1.55055444827561,-0.0887127078236299,0,0,-0.0629287547019719
BCH,0.186614934780768,0,0,0,0.189294945293473,0,0.140557898860944,0,0.195679177100703,0,0,0.266723468700397,0,-0.0284359327466337,0.111854904931495,0,0,0,0,-0.0234461018166583
LTC,0.220900091733375,0.0840512881201277,0,0.142708605643774,0,0,0,-0.0276723252298201,0,0.07887265008416,0.0869325678576115,0.144885272122998,-0.00405333118617908,0,0.0506744452590592,0,0,0,0,0
ADA,0,0,0,0,0.0270439066631978,0,0.145543541487679,0.24573941711146,0.0165270999458671,0.0337530977619187,0.264148691116033,0,0.137004641699256,0.10407338594828,0,0,0,0,0,-0.095212070004421
NEO,0,0.209614797447419,0,0.169131347358251,0,0.023046810980383,0,0.0991170960341565,0,0,0,0,0.0691654206254477,0,0.262334349723662,0,0,0,0,0
XLM,0,0.252618605107381,0.0895452852023928,0.150878467307635,0,0.348045996713991,0.0611509244514477,0,0.193760279499953,-0.017307710345537,0.344812926400847,0,0.0391137237802637,-0.175171678575709,-0.192461955981197,0,0,0,0,0.0488238663991814
XMR,0.044555834525782,0,0,8.67361737988404e-19,0.205270813679007,0.0908759117992215,0.210844680237644,0.0342470386548941,0,0,0.106037413092976,0.130951869491222,0,0.0373064812267806,0.0405127923722555,0,0,0,0,0
EOS,0.164062217509717,0,0,0.0132008220535826,0,0.0308555749723337,-0.442983950428922,0.0220131418429696,0.315597631479361,0,0,0.0815093693556632,0.126190791613599,0.0822017739053107,0.542541369611567,0,0,0,0,-0.0670717220138174
MIOTA,-0.163205308062097,0,0.161791807483163,0.297603431272615,0.0892294833585938,0.199874339189566,0,-0.0894243499069151,0.199276818374031,0.0907164965776603,0,0.056550627163194,0.047782054292851,-0.0217029198622831,0,0,0,0,0,0
DASH,0,0.102192111900611,0.0488321320973697,0.00924798261907747,0,0,0,0,0.277222651575418,0.148201983528777,0.129467335255171,0,-0.143953304742964,0.0913781305687631,0.0862965187696865,0,0,0,0,0.0453113424483595
XEM,0.322555532638673,-0.0621048420813093,0,0,0.190312986117566,0,0.196704428090941,0.320193289327123,0,0,0,0,0,0.0834737802273842,0,0,0,0,0,0.136518048358484
TRX,1.44218725827231,0,0.292692042945875,0,-0.77125107333589,0.129144298448604,-0.431663823291568,0,-0.351710912364649,0,0,0,0.372411026927046,0,0.404146614226041,0,0,0,0,0.210951269186778
ETC,0,0.33683073596343,0.339576846762264,0.220554958780939,-0.0363958314274484,0,0.212159087049372,0,-0.0944411977131206,0,0.209307692474569,0,-0.161985852436091,0,0,0,0,0,0,0
BV010082.Index,0,-0.069773587359105,0,0.0926131073764588,-0.0141978212930536,-0.0502549312884365,0,0,0,0.00700325344317838,0,0,0.0904156398974712,-0.0275307865253951,0.0208817585608246,0,0.127601363076942,0,0,-0.0588363657529966
CVIX.Index,0,0,0,0.0312640090626897,0,0.198210603977854,-0.0246557970121043,-0.039270570266542,-0.0638859251449299,0,-0.105764252051272,0,0,-0.0265246758247171,0,0,0,0,0,0.0719402726912716
DXY.Curncy,-0.0110794288311749,0.0210070985229227,0.0254347730215378,0,0,0,0,-0.0152238952310546,0,-0.0179611539592574,0,-0.022993278804573,0.00672717221250334,-0.0073644844471127,-0.00243637124626023,-0.0232653947560828,-0.0573166940780013,0,0,0
SPX.Index,0,-0.0184684546103818,0,0,0,0,0,-0.00862882990160652,0.0269409784004884,0,0,0,0.0242589428952253,-0.0499394147256684,0,0,0,0,0,-0.0795558105577383
VIX.Index,-0.860469421031329,0,-0.0920364407648396,0.276210004837784,0.121473161360753,0,0.126131909308345,0.0358217671876144,0.290538296219744,0.258301142395009,-0.678778791706324,0,0,0.100111141720074,0.245579325130702,-2.69935874088539,0.674653874575801,0,-3.89113780342038,0
