,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.212647775151263,0,0.326301647334746,0.232069170471028,0,0.121026716839382,-0.074887539228048,0.26471364716493,-0.0209790030536988,-0.024479760263776,0.159919117822152,0,0.140641585890091,0,0,0
ETH,0,0,0.109761115122891,0,0,0.123171769812638,0.180509905825379,0,0.106896098859631,0,0,0.0628971999055411,0.178626190022631,0,0.0982798098284344,0,0,0.0671724593335245
DASH,0.49817151792576,0.351368099801727,0,0,0.229526760500902,0.331676544081365,0.0943535827442236,0,0.112645967478972,0,0.196809819696444,0.264049754092436,0,0,0.0183500252151823,0,0,0.163187466100994
XRP,0.0940096470113124,0.186815789578298,-0.0208658091773246,0,0,0,-0.146190217660615,0.0557782636726529,-0.0206707251921351,0.411361776126961,0.0479098919775978,-0.0322145387796279,0.0365691154968187,0.185008654865805,-0.176651441381735,0,0,0.110660777066063
LTC,0.522458891462987,0,-0.154596680302083,0,0,0,0.244515946875503,0.150647133398694,0.0795325466666204,0.1380303244318,0,0.0172771804140753,-0.033142725539363,0,0,0,0,0.0471480652603057
XMR,0,0.111315213465697,0.272186559477999,0,0.162733380417097,0,0.154193088895449,0,0,0,0.220162813380433,-0.160157100394079,0,0.155678378748866,0.68679149363617,0,0,0
ETC,0.228747594255084,0.380316970321325,0.215267608991074,0,0.535674123110099,0,0,-0.0326963429380037,0.0607407829730199,0,0.0840145922473859,0.258654770547041,0.100267410912445,0,0,0,0,0
XEM,0,0.237038956441955,0.0941019695653194,0.138862808343949,-0.0506128271335248,-0.192060647271581,0,0,0.350170894486034,-0.581361945838002,0.417612714678064,0.218690548441312,-0.198284099676354,0.926450030118932,0,0,0,0
ZEC,0.240483434933544,0.212458311875897,0.27444043086459,-0.634701278602792,0.0711263725656786,-0.151612039222663,0,0,0,1.0847543729352,-0.041293097274406,0,0,0,0,0,-1.01236274837657,0.109736169479442
DOGE,0.188459815297768,0,0,0.310100122288479,0,0,0,0.0221776748761365,0.26573884747027,0,0,-0.0859731033137296,0.02524865427111,0,-0.0215283964445359,0,0,0
XLM,0,0,-0.120298773397198,0,0.38034799043578,0.18908685537254,0,0,-0.0893971192234334,0,0,0.0975733589729666,0,-0.0828823571515818,0,0,0,-0.0661751239347212
NEO,0.0370242772674027,-0.510989252738254,-0.0151236310170649,0.0448378054143032,0.359930948645416,0,0.219672808489378,-0.12271130065267,0.463268659041383,-0.439181057863779,0,0,0.205128527924143,0,0,0,0,0
DGB,0.373903535644006,0,-0.112191899020646,0.144814589110035,-1.11105544083412,0.137873762519894,0.239698851854543,0,0.328366389171659,0.323382378731267,0.120729421090618,0.425074751648055,0,-1.09823257670089,-0.537477621525409,0,0,-0.18572871650942
BV010082.Index,0,0.133380434431138,0.0300378304465538,0,0,0,0,-0.0653233478671907,0.0627698139982606,0,0,-0.0208486495833797,0,0,0,0,0,0
CVIX.Index,0,0.209797385303538,0.187497290404553,0.099642574909809,0.0990736074466197,0.00295515818046831,0,-0.163971655217089,-0.355776117374311,0.058440722605373,0,-0.0530342435043481,-0.0730698420451746,0,0,0,0,0.048185143123907
DXY.Curncy,0,0.0139978959411277,0.00445184450534702,-0.0175094879200648,0.0323538514168781,0,0,-0.0261876714074692,0,0,0.00382472638296354,0,-0.0131370867266779,0.17146555329965,0.048212974741896,0,0,-0.017282386170312
SPX.Index,0.0287696726843652,0.01321077566838,0,-0.0184824859966734,0.00462450552787781,-0.0228055455994855,-0.0215652040048191,-0.00725665998020725,-0.034445803055766,0,0.0404899461700383,0,0.000402147550140701,0,-0.0268580481919433,0,0,-0.0255886044284356
VIX.Index,0,0.347380647724436,0.350878336800367,0.00623149239704053,0.45579506885321,-0.165187670715334,-0.639184934097052,-0.132070234454113,-0.433713826945604,0.126056545807754,0.311581702921211,0,-0.106406967496369,-0.16669038103114,0,0,-3.14757266869767,0
