,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0469677420832345,0.42696510678064,0,0,0,0,0,0.0150948015657725,0.0378305295420933,0.00631192530286839,0,0,-0.320582982166599,0,0,-0.0505422880486933
ETH,0.51374417136951,0,0.00000000000000000346944695195361,-0.769071976963735,0.0794942213538532,0.122829334057732,0.288636094598863,0,0.333478697312259,0.0428777000156777,0.0125355550898985,-0.0323684860515216,0.0100304241147929,0.74426926067559,0,0,0,0.144269348566058
XRP,0,-0.493391591613233,0,0,0,0.0501398810096145,0.146994705541103,0.155747830356132,0.346683718269177,0.368636696132635,-0.109273193669626,-0.0397153706745456,-0.0728618716043986,0,0,0,0,0.0769487428513935
LTC,0.576550990437763,-0.33525268220937,0,0,0.127045433902927,-0.000701758392266163,0.0695508172850072,0.0060020660200558,0.401214291580472,0,0.00489250817006635,-0.0136838985941998,0.0368678202755485,0,0,0,0,0.0604373249533045
ETC,0,0,0.090307604536174,0.130161730502708,0,0,0.282662850055775,-0.0591254599999761,0.415299836649012,0.0398953333545846,-0.0706218491450526,-0.041266744215277,0.0883013898028403,0,0,0,0,-0.0015359871659265
XMR,0,0.697265616524966,-0.011918142977891,0.78855789121055,0.228701381363735,0,0.144261109661262,-0.11884942932006,-1.33573248074145,0.00000000000000000693889390390723,-0.186608981807073,-0.0248980043661102,0,-1.37701538310996,0,0,0,-0.152474207684209
DASH,0,0,0.0221248891743743,0,0.0840494773777019,0.0251518793952645,0,0.0356878720420659,0,0.0157077379986931,-0.0846371585343277,-0.0816511520359502,0,0,0,0,0,-0.0525636098761631
XEM,0,0.368482328429921,0.319269951854212,0,0,0.195824298323378,-0.816435308589298,0,0,0,-0.07586728193978,-0.144063236377369,-0.0982215836784323,0,-1.25218607721852,0,0,0.0294518159205675
DOGE,0,0.204785421295617,0.0303734292147187,0,0.0625564845424863,-0.228061804894322,-0.126220217389212,0.0786462285405753,0,0,0,-0.00885108611155537,0.0169324159190995,-0.488635043538316,-0.0840220754636086,0,0,0.0288554141205896
XLM,0,0,0.553955609130091,-0.325094280713857,0,0.0118099152785742,-0.185031205040437,-0.179406474477629,0,0,0.0320783777482364,-0.0961443047288009,0.210721587170896,0,0.211434604230386,0,0,0.02930667381866
NEO,0,2.50622618908845,-1.76062389334234,0,0,-1.28229978303483,-1.73550186612688,0.863638907975033,0.654059730113419,0.64144785048857,0,0.374033558837288,0,0,5.47082856234576,0,0,-0.934390019759528
ZEC,0,0,0.264808737489866,2.52624631536347,0,0.567024510883596,-6.38048947619177,-1.29313559791287,0,0,-0.570445951327951,0,-1.62545129426185,1.29710362591023,0,0,0,-1.0614667562444
DGB,0,-0.530095936364299,0,-0.402249333606787,-0.0860496448481668,0.102751397730856,0.558697606036832,0.158994019373333,0.536520357419179,0.201818878819925,0.0462973870685948,-0.0462929837012666,0,0.333181406906747,0.571828886289545,0,0,0.125151658513437
BV010082.INDEX,0,0.107231625933228,-0.148349950774384,0.00297258972232229,-0.142190357609025,0.0131966829434198,0,-0.0081582382388856,-0.171016072998697,0.107995986043468,0.018175816225588,-0.00316721481641957,0.0323307384596209,0,0,1.05151363768696,0,0.0251894424449739
CVIX.INDEX,-0.186734383620634,0,-0.191860394228172,0,0,0.032321554367938,0.193365890108077,-0.100717624324015,0.0391089367518444,0.168448085310847,0.0159719209403244,0.0111206561197647,0.0146299848225883,0.0789930897445254,0,0,0,0.119885958820529
DXY.INDEX,0,0,0.0264955083544408,0.0220884678261659,0.0112202286742988,0.00836019646780802,-0.0274381669461808,-0.0285344968901739,-0.0294514690033669,0.000000000000000000433680868994202,0,0.00120626462176636,-0.0089275743969991,0.204685212769047,-0.0316395573254227,0,-0.0391986619965872,0.00427153564499028
SPX.INDEX,0,0.0247594860805866,0.00110755280135146,0,-0.0302101330457743,-0.0234337331857484,-0.0242527131836916,0.020664016324807,0,0,-0.00558635442115454,-0.00427633130166936,0.00542601401730971,-0.013647432857151,0,0,0,-0.0696031636060978
VIX.INDEX,0,0.521855363460049,0.091048521317958,0,-0.358564776891402,-0.279924923394729,0,0.0584192351592007,-0.0504768969196388,-0.148118346613775,-0.0228845096157725,-0.0473203867574715,0,0,0.839551720646669,0,-5.76284221358844,0
