,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,XEM,NEO,XMR,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.73472347597681e-18,-0.143661265381208,0,0.303919533274745,0.180448156912421,0.107558016235093,0.0946247921630519,0.0527076409424837,0,-0.00591995798823376,-0.0433936178292813,0.0402913702096632,-0.0459730433232708,0,0,0,0,0,0
ETH,0,0,0,0.248763484219526,0,0,0.0750204108566715,0,-0.0638320143542667,0,0.351011110188485,0.186784908594222,0.0431454564578347,-0.102493313147261,0.267664651224818,0,0,0,0,0.0583963197010786
BCH,0,0.0998360778555428,0,0.28705476626961,-0.880126689976275,-0.489116999452541,-0.584511940770566,1.19568925170804,-0.0300518506799868,0.185058965610769,0.620956765514648,1.01795665603565,0.0750806352354984,-1.18247287018875,0,0,0,0,0,-0.423818131943265
XRP,0.00353924335810786,0.0529113324332948,0.113383318905285,0,0.104940748456349,0,-0.161135818610486,0,0.102166025588821,0.1542914874916,0.255311195649576,-0.0220879263043974,0.0430579580483055,0.294756728906362,0,0,0,0,0,-0.0833069679851772
LTC,0,0,0,0.0772279028909478,0,-0.0176087082356255,0.0733143585214172,0,0.0233423598737101,0.00951167333256297,0.208754395142873,0,0.0413301662764911,0.0641885607705937,0,0,0,0,0,0
DASH,0.235844397228336,0,0.0647266686289444,0,-0.136120972282406,0,0.124460056486166,0.145182484050918,0.0538210909029293,0.106450233738081,0,0.338235958993465,0.0540868309170962,4.33680868994202e-19,0,0,0,0,0,0.0499747188194128
MIOTA,0.583006025146435,0,-0.0325006917263493,0.0820252746932328,0.0141261629275809,0.188188493600004,0,0.217723296247045,4.51023091897866e-05,0,0,0.537039624655362,0,0.133782872990852,0,0,1.03022057304212,0,0,3.46944695195361e-18
XEM,0.158243830685658,0.0965322506883948,0,0,0,0.0874752786489487,-0.0665350154145717,0,0.0473287409875809,0,0,0,0.148896053194007,0.111403323825112,0.196128694320797,0,0,0,0,0
NEO,0,0,-0.0445651745647242,0,0,-0.104167873223707,0.128344505831575,0.358921872938864,0,0.0169401655581701,0,0.163021514781619,0.0551526590070695,0.056173584734502,0.038801072941947,0,0,0,0,-0.0661860631024924
XMR,0,0,0.106068424035584,0.154779008643415,0,0.325739230154948,0.0550038295234681,0.0223242677134925,0.0916125712640171,0,0,0.0601349652092808,0.0448410872243331,0.190359116482996,-0.0961998061214544,0,0,0,0,0
ETC,0,0.253837139699336,0,0.171129060576185,0.290400497065404,0.0233375993819473,0.0539897525886578,0,0,0.156537370268275,0,0,0.0160747070813048,-0.192447154715458,0.0556203782220095,0,0,0,0,0
ZEC,-0.121724586887544,0.242500949833438,0.0282537115937055,0,0,0.121016868689012,0.188961020729734,-0.078232485302155,0.00779008341188452,0.0215839025133013,0,0,0.0518658672108788,0.190225173023554,-0.012924019111374,0,0,0,0,0.0922041858408807
EOS,0,0.392655764611586,0,0,-0.442726207216085,-0.243073267601548,0,0,0.157155482339903,0,0.614199584335061,0.165757771738793,0,0.248309207570617,0,0,0,0,0,0
XLM,0,0.225775872341636,-0.00451024543440943,0,0,-0.15690201317153,0.100414480100808,0.175117376572085,-0.00668042668156317,0.448653135734285,0,0,0.103420749519697,0,0.186942248697962,0,0,0,0,0
BAT,0.093357119502933,0.210866770947505,-0.0762907556381548,0,0,0.0739168102863247,0,0.253661983856136,0.141483845579826,0,0,0.209950143870528,-0.0400438481755781,0.263235031197249,0,0,0,0,0,-0.0809118786628883
BV010082.Index,-0.152686030410607,-0.00818575709884436,-0.0210260599600745,0,0.0211035021774006,0.0349421001762733,-0.0119867921040548,0.0293489059046398,-0.0193881098756828,0.0247669086787168,0,0,0.0107503476138718,-0.0202088803825312,0.0383379752067449,0,-0.145760634323204,0,0,0.0149942488281778
CVIX.Index,0.0271100039085404,0,1.73472347597681e-18,0,0.0202424027630034,0,0.0344388297027369,0,0.0137857948839685,0.0509555105179786,0,-0.0729946113819631,0.0205616371867731,-0.0329572691130558,0,0,0,0,0,0.0822972491822972
DXY.Curncy,0.0211178431970108,-0.0217376528938208,-0.00385574262037683,0.00264347388893336,0.010455937872746,-0.0120567172917732,0.0139476716655498,0,-0.0177309397120537,0.00796021521641207,0.0151924659048511,-0.0127870969560429,0.00571656333645315,-0.0064951951646627,0.00665164260014152,0,-0.00639568247696978,0,0,-0.00977965659726156
SPX.Index,0,0,0.00195134733083717,0,0.00212350890656751,-0.0197651424196611,0.00570102665035441,0,0.00312619200950222,-0.00241417195448528,-0.00457727409804004,0,0.00273408455502656,0.00277774072766474,0.000646704416987579,0,0,0,0,-0.0537475546076202
VIX.Index,0,0.405062890457089,0,0,0,-0.101145295065583,0.105968996336454,0.158079137072617,-0.477221755662872,0,0,0,-0.206252241007009,0.117552746026541,0,0,2.38816788564537,0,0,0
