,BTC,XRP,LTC,XLM,DASH,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0157219009263062,0.125273698215274,0,0.112568896246929,0.108329304561435,0.0780785128603714,0.0341865976434142,-0.0247785010252161,0,0,0,0,-0.032831640755041
XRP,1.22399183492256,0,-0.0943740601797511,0.436833311272788,0,-0.252231544496775,-0.098390520759843,-0.0716936419550262,0.192116820963448,0,-0.372233730052638,1.13428763567159,-2.81085654363965,-0.339148982485849
LTC,1.1090729311198,0.269308432282203,0,-0.345234849198704,-0.151688224051246,0.151399819474407,0.0954879056139539,0.00000000000000000173472347597681,0.0091860614169785,0,0,0,0,-0.0040204584065373
XLM,1.28822401361285,0.525261481817011,0,0,-0.350887589250081,0.0746246333217428,-0.149439593987641,0.0851005848831712,-0.149660594093818,0,0,0,0,-0.0929156805453327
DASH,1.22575996245051,-0.241654260035058,0.278295452558574,0.409909150584162,0,-0.12607819513308,-0.450459668033175,-0.0525789333027188,-0.190478504895584,1.30573129250692,0.139842910396089,0.590683965128124,0,0.203746063856978
DOGE,0,-0.000000000000000000433680868994202,0.166370388415207,0.380648124664291,0,0,0.17850636456995,0.230603255965714,0.0896943069674995,0,0.433492085422569,0,0,0
XMR,1.85109192098473,0.204715886716962,0.0531449112162759,0,-0.596716724906449,0.0847542505435835,0,0,0.272111606075844,0.973550662015794,-0.325935098909716,1.78353821138795,-8.5030914717523,-1.04356544856389
XEM,0,0.0515929165261667,0,0.757995916870498,0.312314919126674,1.17185202380769,-0.750347400472726,0,0,0,-0.446007119591082,0,0,-0.0780024852550365
DGB,0.384187877794964,-0.00501518582354438,0.416363990344694,0,0.288026600523155,0,0.323663687055663,0.0214494655115427,0,3.46135430328983,0,0,0,0.369060682884764
BV010082.INDEX,0,-0.0360925940947765,0,0.10896808893132,0.0259096462868746,-0.125049551903536,0.0618534217928334,0.00748711937759621,0.056168480469883,0,0,0.224884968661742,0,0.0651051875443336
CVIX.INDEX,0.78352011949454,0,0,-0.152348386539529,-0.194502574256212,0.0112843410303083,0,-0.0463418879219011,0.317665661940194,0.19006037294548,0,1.65899012718323,0,0
DXY.INDEX,0,0,-0.0156007772480508,0.0228237014883668,0.0327008233634996,-0.0199447771556035,0,-0.0202209642522785,-0.0169637231898309,0.137488988836405,0.0466461660085336,0,0,-0.0136357396519011
SPX.INDEX,0,0,-0.014792832203815,0.0194670245636979,-0.00379350687607587,0.0158832786783141,-0.011997687928,-0.00538828850085086,0.00332807365914307,0,0.0039521290470597,0,0,-0.0964502932219093
VIX.INDEX,0,0,-0.0234783981128764,0,-0.0483869230484382,0,-0.154294352514634,-0.0574241244397917,0.0360993876858076,0,0,0,-9.19009454505877,0
