,BTC,ETH,XRP,BCH,XEM,LTC,NEO,MIOTA,DASH,ETC,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.159178055681793,0.13321424923468,0.227048505298688,0.0506820426930136,0.0490830196158553,0.0569770975236927,0.0152823116344356,0.0811194675334582,0.0278729417898966,0,-0.0173358840563185,0,0,0,0,0,0
ETH,0,0,0.307818870128941,0,0,0,0.0250143757199261,0.182486889294749,0,0.181484403049341,0,0.0607803972511879,0,0.0433995041549909,0.263568203966211,0,0,0,0,0.107811739653749
XRP,0,0,0,0,0.0948305401110964,0,-0.0627795123691035,0.015389760792617,0.120987365084047,0,0.0115480168715062,0.0399013427394161,0,0.16962282354566,0.483818827514986,0,0,0,0,-0.0748210354384207
BCH,-0.766708795828914,0,0.327212301861276,0,0.857931207846259,-0.681207097779141,0.00522924744397203,-0.313193461567865,0,0.576741646185637,0.311284238727385,0.134263529165383,0.740937744860603,-1.25512269291018,0.35565732627661,0,-1.37167211732921,0,0,-0.540472490009203
XEM,0.0298887213160801,0.1517831924565,0.354453481571029,0,0,0,0.0201315125258899,0.0900147209747784,-0.00848282464173114,0.214652721201128,0.124846085450137,0.11616144935504,-0.314479245363904,0.135473016059527,-0.0974790522353495,0,0,0,0,0
LTC,0.158460424078186,-0.147459702784719,0,0.0350551825814986,0,0,0.0420806375341286,0.0699316023735498,0.0575712867704919,0.298104499449664,0.0150472691911707,0,0,0.0736658386144502,0,0,-0.34562420900147,0,0,0
NEO,-0.727111043479367,0,-1.8881294118113,-0.579185079744126,1.32379289907122,-0.12587937264812,0,0,0.725421421108256,0,0,0.0569830957177732,0.938645793494049,-0.309183283742744,0,-1.53075668281456,-4.0993226668541,0,0,0
MIOTA,0.272102193147879,0,1.14488826950618,0,0.092501089896359,0,0.0423977081416491,0,0.0344276732438967,0.228935805614454,0,0.0293536229583588,0,0.0926409215782954,0,0,0,0,0,0.0989197981552344
DASH,0.047201796210069,0.135481828218207,0,0,0.171484856680095,0.0678243054773794,0.0447870939984162,0,0,0.129475082808588,0.304463352355329,0,0,-0.00964873752803084,0,0,0,0,0,0.112518579227696
ETC,0,0.222727230565698,0,0,0,0.189695181022595,-0.0249092924718296,0,0.144063798865711,0,0.212114943252581,0.0284845796232643,0,-0.179851028667233,0.163959426308348,0,0,0,0,0
XMR,0.114363574663955,-0.0187654813094296,0,0,0.12418248083795,0.114738924164287,-0.0214188196071465,0,0.448279752122007,0,0,0,0,0.313351599224868,-8.67361737988404e-19,0,0,0,0,0
EOS,0,0.309047534676629,0,-0.14568491545282,0.127362758608799,-0.507737524294907,0.134606296041756,0,-0.281951457027374,0.59125166843306,0,0,0.0977131341474303,0.321209288185258,0.164433253386654,0,0,0,0,0
ZEC,0,0.181439808191215,0,0,0,0,0.00790249357840874,0.129088115887851,0,0,0,0.0364515388226166,0,0.180299238676004,0.136473169052993,0,0,0,0,0
XLM,-0.0823314308928023,-0.0722977124225213,0.244761926479677,-0.0136815124836964,0,0,0.0842573969098389,0.0265002685557685,0,-0.0392634205150375,0.592404205168371,0.0838743226898046,0.269060046128174,0,0.0563614185097351,0,0,0,0,0
DOGE,0,-0.0191846206756601,0.279910840041907,-0.0522462161138066,-0.0126997162676674,0.130056316394231,-0.0417501341674235,0,0.325776053353134,0.140225650739983,0,-0.0556721809836877,0,0.239596074286969,0,0,0,0,0,0
BV010082.Index,-0.0957208743979232,0,0,-0.0159399445697338,-0.0228580030737503,0.00209849555689083,-0.00470475341446475,0.00880951300117927,0.0642375670954484,0,0.00561032815383141,0,0.0550576999719559,-0.0401899742383101,0,0,0,0,0,0
CVIX.Index,-0.112408969019368,-0.0199410817729702,0.125125008534429,0,0,0.00376116841527227,0.019579820721072,0.0575158791972924,-0.132761972936005,0.0292586398896299,0.0872390823544548,0.0303004480438842,-0.137392752415507,-0.0591325574637386,0.043942347957271,0,0,0,0,0.0270959868762474
DXY.Curncy,0.0258306541036973,0,0,0,0,0,-0.00938665487096549,-0.00510373217974253,0.00378188730388139,0.00760728505210959,0,0.00328307672553558,0,-0.0103535153550691,-0.0092553989981665,0,-0.0453094947284047,0,0,-0.0329976645019951
SPX.Index,0,0.00854573016735116,0.00757582225345156,0,0,0,-0.0022121855512064,-0.00655119494984756,0.00491911129847099,-0.00273912892375844,0,0.0011769386555183,0.0030067168435269,-0.00411505788626394,0,0,0,0,0,-0.0641859574296198
VIX.Index,0,0.25694258657641,0,0,0.245771218548262,-0.245398537724591,-0.0701835096415968,-0.181791678195987,0,0.254223437594409,0.207839679802449,0.0528794396727965,0.125577803584492,-0.465089779523289,0.101352258359224,0,0,0,0,0
