,BTC,ETH,BCH,XRP,MIOTA,LTC,XEM,DASH,NEO,ETC,XMR,ZEC,EOS,BAT,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0364639723960948,-0.143133256867101,0,0.0374328747969177,0.171224838042899,0.178527022258407,0.274989483814248,-0.025878160407841,0,0.0720586302939113,-0.0503178248829646,0.0350447337825254,-1.73472347597681e-18,0.127548569472162,0,0,0,0,0
ETH,0,0,0.0311093976610981,0.214490371621503,0.0537986515210532,0.0551340391793072,0,0,0.0197445704781101,0.301229778722243,0,0.16781969785975,0.0321812205597952,0.178332018868204,0.0160128709110752,0,0,0,0,0
BCH,-0.9059192324209,0,0,0,-1.42678489608886,0,0.648072011446587,1.23095410517835,-0.0772201378492682,0.748374947346314,0,0.747749228710589,0.00670106026197566,-0.284196101984799,0.685834612233251,0,0,0,0,0
XRP,0.320455627343775,0.373391332749944,-0.0403008390743194,0,-0.048741328069677,-0.122864834291248,0.219064035114633,-2.16840434497101e-19,-0.0191475732399398,0,0.0605492916302007,0,0.025291433360086,0.0735964695351427,0.00411933646191907,0,0,0,0,0
MIOTA,0,-0.269650734621427,-0.158788883691526,0.241523418550909,0,0.162149861263912,0.173657291461283,0.442888770511982,0,0,0.168306587215548,0.690370009064031,0,0,0.136439428947899,0,0,0,0,0
LTC,0.0539371350147119,0.133168354859863,0.0486253305275206,0,0.0554684938922412,0,0,-0.0351236052954931,0.0295044745264938,0.22362500247069,0,0.0075581721583896,0.0402398324784568,0,0,0,0,0,0,0
XEM,0,0,0.051058830282156,0.292978856076832,0.110892470940248,0,0,-0.0183968907064267,0.0637122015083065,0,0.350347707534404,-0.178387409538258,0.141699765183458,0.135895605034991,-0.045507904008727,0,0,0,0,0
DASH,0.00684347028197657,0.168116538545717,0,0,0,0,0.157147727073101,0,0.0555562504792916,0.0928821342612441,0.274004136795027,0,0.0450486469550734,0,0,0,0,0,0,0.0354325017805804
NEO,0,0.671904099710611,0,-2.26469261594601,0.116880486073731,0.116269745084977,0.81301463158449,0.150840514409755,0,0,0.166758423231096,0,0.0861390031714817,0,0,0,0,0,0,0.00603712902040684
ETC,0,0.231071935884868,0.00624498760803592,0,0.0651980316300863,0.264456865869189,0,0,0,0,0.0843004962693794,0,0.010630871179409,0.0205112653419648,0.00664610751250913,0,0,0,0,0
XMR,0,0,0.0478467499470176,0.183902589598751,0,0,0.138522835864648,0.154557535164128,0.00989964420713939,0,0,0.257263553648785,0.0495642939018613,0.0596615265961632,0,0,0,0,0,0
ZEC,0,0,0.0612933653534644,0,0.257966029621811,0.0598218898724585,0,0.162864300902158,0,0,0.0761721594965334,0,0.0306322777089096,0.0598540874431634,-0.0210112372312551,0,0,0,0,0
EOS,0.510529494424708,0,0,0,0.0149370128485582,-0.621990567592915,0.127037313349581,-0.294406662485473,0.0957297626335092,0.802451087567537,0.267007613918004,0.577843882265717,0,-0.237463441269978,0.0944909069546383,0,0,0,0,0.101343889523791
BAT,0,0.754267649542416,-0.0763934800720008,0,0,0,0.359714291289432,-0.0783041304712589,-0.0108290604387829,0,0.171757889371156,0.10477113159355,-0.0589025938683347,0,-0.0234518162543264,0,0,0,0,-0.141306387239876
BNB,-0.185075180071379,0,-0.0508267411503365,0.246617029648377,0.142053368399732,0.247096706846295,0,0,0.0370375118617604,0,-0.294107742206855,-0.296219174609149,0.024931610203373,0.124458748598694,0,0,0.830149282200173,0,0,0.390857379620953
BV010082.Index,-0.0878045744873121,0,0,-0.0230091557444861,-0.00106927465533018,0,-0.024526332011737,0.0358761241995153,0,-0.0250141906488314,0,0.0503900239465718,0,0.0379803205014779,-0.0266009934741258,0,0,0,0,0.0270368937294169
CVIX.Index,0,-0.0546115840984402,-0.0111558931234221,0.119266410623864,0.0549445047183195,0.0281288436574763,-0.0476286582154492,-0.0885150572138287,0.0241462716529207,0,0.101091186780606,-0.125421092421174,0.0269489449553528,0.00194862012151289,0,0,0,0,0,0.0992950435988904
DXY.Curncy,0.0199741086389138,-0.0223796392268138,-0.00263706826058049,0.00888528993533964,0.00744103357001086,0,0,0.00192803946063445,-0.00816729284102662,0.00844773589295797,-0.00619566929334681,0,0.00572620967474059,0,0.00687509778432199,0,-0.015773074647542,0,0,-0.0120410718775243
SPX.Index,0,0.00573998716202758,0,0.0205550239919704,0,0,0,-0.00902272816868369,-0.00226530377039167,-0.0048843208615548,-0.0094983020623657,0,0.00237167980607541,0,0.00418919312726462,0,0,0,0,-0.0614375673820287
VIX.Index,0,0,-0.02082211348301,0.564629527087022,-0.324643186156999,0.0353802253344472,0.322510801877656,0,-0.0496201408817774,0,0,0,0.0173504943608437,-0.0729362044579204,0.238325164891585,0,1.34865063516017,0,0,0
