,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,1.73472347597681e-18,0,0.329101203095101,0,-0.0456421560110344,0,0.0856954210824651,0.127511813699681,-0.357996812522473,0.134378749824493,0,0.217117070112328,0,0,0,0,0,-0.0410590532992018
ETH,0,0,0,0.161518827269863,0.159278585744463,0.0914238174027427,0.0352792221923442,0,0.136829662663725,0.142541334269466,0.0994782290002178,0,0.0776039475572184,0.0195723705029132,0,0,0,0,0,0
BCH,0.08879588783672,0,0,-0.0312164072254595,0.154332669253134,-0.460316012157586,0.0575124162268809,0,0,0.609478007034326,0,-0.119351224681531,-0.0853435036386947,0.183186874993779,0.0639796025115754,0,0.28150081032182,0,0,0
XRP,-0.146594619790739,0.572520815261003,-0.0741526680829125,0,0.0381332441715394,0,0,-0.153935995807855,0.558512726492395,-0.0419965322474595,0,0,-0.0391738639010881,0.147428181114958,0.0372798403204709,0,0,0,0,0
LTC,0.530369314613601,0,-0.0407219135488607,0.327380082726978,0,0,0,0.191521603510713,0,0.225018263657882,0.061805646869238,0.0346615630771645,-0.0841012134556264,0,0.0169491942576467,0,0,0,0,0
DASH,0,0.179262261871965,0.0449336192478337,0,0.149155455459363,0,0.0299493644661681,0.123139985720768,0,0.0247297100924547,0,0,0,0.11285103595457,0.0129236086016036,0,0,0,0,0
NEO,0,0.372292618520911,0,0,0.119821064334157,0.039693141522027,0,0,0.343410209585194,0,-0.0851388786252368,0.244132796270183,0,0.120363464588845,0.179425508079602,0,0,0,0,-0.289236284187652
XEM,0,0,0.00907546743018381,0,0.151654809547234,0.272886438445055,0.102870685366576,0,0.25855351680237,0.102762420110179,0.115653522491808,0.0771735784995187,0.0484051971084038,-0.0511705104010925,0,0,0,0,0,0
XMR,0.217019624510352,0.0783732562702494,0,0.152462927940546,0,0,0.0946888170918757,0,0,0.251199327201642,-0.0426779967162627,0.183602734665311,0.0726056624704033,-0.00646517128402409,0,0,0,0,0,0
ETC,0,0.17488888975771,0.291885940607818,0,0.567408723491011,0,0.00103003984993496,-0.0931102225709592,0,0,0.148697970943449,0.0325099391683727,0.08369442222921,0,0.0746050534553663,0,-0.0746217380277343,0,0,0
MIOTA,-0.47246054175343,0,0,0,0,0,-0.205198685742066,0.553510428911338,0,0.0823512853681052,0,0.414954083842744,0.0733150275136922,0.391973640967648,0.0657629559803743,0,0,0,0,0
ZEC,0,0.299195671106181,0.0849693844466713,-0.144001491533103,0.0447300729498997,0.124407255489529,-0.0950382058060415,0.245124910491716,-0.190559525827422,0.149590532040285,0.0459488343565845,0,0.0397738339071051,0.137800838138002,0.0537074739629764,0,0,0,0,0.179384596971371
ADA,0.36360792028556,0.040769878964553,-0.0801731437207176,0,0,0,0.143264036328099,0.450790347158254,-0.240167880225516,-0.252572601640313,0.196374608843132,0.0302669014276236,0,-0.341443557317747,-0.165683316177233,0,2.0228280373183,0,0,0
EOS,0,0.427041497996221,0.068129084058094,0,0,0.198283440099467,0.221034618916495,-0.307645337584161,0.222770398464883,0,0.315331805877006,0.163071824499956,-0.208215130317644,0,0.0937004746822359,0,0,0,0,0
XLM,0.0629187504029485,0,0.502717859061862,0.662169251946167,-0.403216266267728,0,0.282170072265091,0,0,0,0.774735785581079,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0170059797135078
BV010082.Index,0.0782486943323549,0,-0.0311184029269359,0,-0.030526332617202,-0.0297441883205964,0.0334754539841001,-0.0130512718159102,-0.0945089263966559,0.0422210785229113,0,-0.00807917027614466,-0.0324566038091802,0.0336050903832883,0.00726295416209296,0,0,0,0,-0.06465677702857
CVIX.Index,-0.0726523782514249,0,0.0683092081806023,-0.0344213496340219,0,-0.224797107101726,-0.0186589245163494,0.085586690851216,0,0.0611032424708145,0,-0.021282653104611,0.0643203058400933,0,0,0,0,0,0,0.0929215894444545
DXY.Curncy,0.000175796218888806,0,0.00716123806269513,-0.00179528043272744,0,-0.0281553421071874,0.00690766627022652,-0.00467316207798862,0,0.00353015629235953,0,0.0151977048064081,-0.00689013867024894,-0.00618228736663732,0,0.071666507971829,0,0,0,0
SPX.Index,-0.00556149837781172,0.00131781940262919,0.00298164750475645,-2.16840434497101e-19,0,0.0076259335160828,0.00326156629717167,0.00253346761394202,0,0.00613302100714573,0.00275089729070258,-0.0321441989438424,0.00162813900308348,2.71050543121376e-20,0.00188454730835362,0.0247989844383809,-0.0226340041575705,0,0,-0.0323059216174484
VIX.Index,0,0,-0.385114300862717,0,0.0947806251246033,-0.232486401366995,0.0606921707930982,0,0,0.193758507158101,0.0343611745953993,0.33226628972765,0.0678265353440389,-0.245548934969686,0.0567378994006976,0,1.26900799325845,0,0,0
