,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00202572793155772,0,-0.15167288094029,0.226884556491745,0.200359449331941,0.0162406396055519,0,0.0147324724244733,0.0550610725733209,0.140836107081869,0,0,-0.0858423515540828,0,0,0,0,0,0.0599457538827658
ETH,0,0,0.197530023913859,0,0,0,0,0.153035723798616,0.229770235872772,0,0,0.0531908800546517,0.00970388321525336,0.0426068274490577,0.200991650044398,0,0,0,0,0.155109937720601
XRP,0,0,0,0,0,0.0946257773561161,0.121161192834505,0.0155482268647395,0,-0.0625357111555388,0.0113684698070192,0.0399195813656265,0,0.169229903382875,0.483972947004988,0,0,0,0,-0.076637925214394
BCH,-0.461265552279349,0,0.754500177700672,0,-0.858751461463514,0.613145941214302,0,-0.359727075749086,0.595913103256513,0,0.514038505784622,0.128722052555585,0.764384544412193,-1.33378546546638,0.088638732152188,0,-0.867161091439878,0,0,-0.42197393490461
LTC,0.3218425020632,-0.0480036582161888,0,0,0,0.00171774852168478,-0.141167826573823,-0.0366852084505361,0.214182834070804,0.132033967454429,0.0168135343447365,0,0.113073338242081,0,0.174436673753932,0,0,0,0,0
XEM,0.306819251290328,0,0.2706319523474,0,0.155447116815919,0,0,0,0,0,0.277851292050817,0.120274669709816,-0.125347598317003,0,0.0117844395804739,0,0,0,0,0
DASH,0.0541204971204902,0.137859120569162,0,0,0.107286897560035,0.12053588802,0,0,0.14971263171588,0.033535080286678,0.299999684936515,0,-0.0229507230616836,0,0,0,0,0,0,0.101321882280577
MIOTA,0.272109783597089,0,1.14488491466854,0,6.93889390390723e-18,0.0925043488152461,0.0344313330499789,0,0.228931994838381,0.0423986220835381,0,0.0293531562725148,0,0.0926354366987849,0,0,0,0,0,0.0989136332017057
ETC,0,0.21921320250912,0,0,0.178280735769239,0,0.159716106613779,0,0,-0.028572577144874,0.258097559760497,0.0211745998311867,0,-0.113943457890625,0.153422432037474,0,0,0,0,0
NEO,-0.453455658161379,0.223171595623292,-2.04526217656982,-0.504087953123228,-0.218600141163284,1.25570182271486,0.765555111609842,0,0,0,0,0.0600987246661401,0.58057467982912,0,0,0,-3.95968834561041,0,0,1.38777878078145e-17
XMR,0,-0.00869849264446239,0,0,0.135658037709962,0.139735195965829,0.46548681356537,0,0,-0.0172103319986417,0,0,0,0.254232138315666,0,0,0,0,0,0
EOS,0,0.323450445328357,0.22719570266199,-0.0904903444284232,-0.421149930354451,0.0412073190693672,-0.240452241624013,3.46944695195361e-18,0.432016756465178,0.0990738489809214,0,0,0.285262294197054,0.374883362816623,0,0,0,0,0,0
ZEC,0,0.231382457206266,0,0,0,0,-8.67361737988404e-19,0.0573687922363287,0,0.0626734970391263,0,0.0278186425100586,0,0.231110423188617,0.14212564665079,0,0,0,0,0
XLM,-0.0946980052098161,-0.0466350577601153,0.301682877269746,0,0,0,0,0.0246595174181681,-0.0315863321911219,0.0575997318759269,0.614770852814202,0.0773469129807092,0.275402474386624,0,0.0127175810881926,0,0,0,0,0
DOGE,0.407311078452379,0,0.347348772880467,-0.101320948557041,0.173104013936765,-0.044615620170219,0.0178109678317525,0,0,-0.000757399206486194,0.437419718216301,-0.0502754453687891,0,0,0,0,0,0,0,-0.197488214863373
BV010082.Index,-0.0915332848822292,0,0,-0.00798161610336175,0.00144294937745867,-0.0314120012003674,0.0564016051136965,0.0109595119484656,0,0,0.00937045248106423,0,0.0412943147031414,-0.0286742385878878,0,0,0,0,0,0.0354031179164138
CVIX.Index,-0.0922279141191979,0,0,0,0.00672016270175885,0,-0.115872368855805,0.0737283914663609,0.0330442785866885,0.0131526343850141,0.0527873642444521,0.0343718344915435,-0.113002887151407,-0.0432727447252943,0.0984900575461979,0,0,0,0,0.0459228475164513
DXY.Curncy,0.0366724851962843,0,0,0,0.00380230689912174,-0.00363513464980888,0.0136308703829619,0,0,-0.0101759378435517,0,0.00180890432371265,0.000904114013549094,-0.010267880128416,-0.0199929095903847,0,-0.0658070377771771,0,0,-0.0302489678278166
SPX.Index,0,0.00784220861720799,0.00659763944853037,0,0,0,0.00520918049288941,-0.00641637329050713,-0.00252436110390072,-0.00222988333137001,0,0,0.00493138670316507,-0.00389638335268908,0,0,0,0,0,-0.0637443573026224
VIX.Index,0.150877742481179,0.19642242207123,0,0,-0.227117069134211,0.149307073149196,0,-0.115548285263509,0.25941059815317,-0.115859785217055,0.146154504347071,0.0521083181076909,0.126195684633006,-0.439384752280119,0.0897002556402796,0,0,0,-1.78997676262885,0
