,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,LEO,TRX,HT,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0507944507774264,0.37407958603611,0.163331896562304,0.0719579495034589,0,0.0642449886144696,0.346861956707882,0,0,-0.109714513682843,-0.160203447968729,0.158679691333812,0,0,0,0,0,-0.0846326280371672
ETH,0.0950867906812311,0,0,0.174997451604699,0.253426138934683,0.0693585691809102,0.0537135864010291,0.129188375580186,0,0.00000000000000000173472347597681,0.096630766304214,-0.0792036904121296,0,0,0.143685843135796,0,0,0,0,0.000125475343030074
XRP,0.114142007400325,0.233781398983935,0,-0.0000000000000000277555756156289,0,0,0.16670765510022,-0.0122098348563602,0,0,0.278344464635159,0,0.011888619413207,0,0,0,0,0,0,0.0691964362581818
BCH,0.253202102178699,0.452053985485104,0,0,-0.0782448509564922,0,0.132185391623529,0.191791442928369,0,0.127517902857467,0,0,-0.125433206046292,0,0.211162291717696,-0.0575232746787409,0,0,0,0.0269793443401182
LTC,0,0,0,0.176773376614506,0,0,0.294994007608647,0,0,0.0798198819725824,0.255457209022215,0,0,0,0.0366207554252208,0.0227804266195314,0,0,0,0.0127337699038605
BNB,0,0,0,0,0.199235971131735,0,-0.199762437113269,0,0.33583981541897,0,0,0,0.0750824395099728,0,0.184240152353845,0,0,0,0,0.0263307900918923
EOS,0.0871205189356958,0.222752875302934,0.335294869992808,0.0177278725115259,0,0,0,0.173466519497961,0,0,0.278598925188049,0.0357571651585585,0,0,0.0821508923156226,0,0,0,0,-0.0101056481809016
BSV,0.255382870095477,0,0.186441209332836,0.232983839748386,-0.0011696135345956,0,0,0,0,0.20527540652099,0,0.10210999353733,0.16468259108113,-0.116284556495774,0.255489418024377,0,0,0,0,0.125313517835902
XMR,0.193603901945427,0,0,0,0,0.24158912717712,0,0,0,0,0,0.419876092913649,0.382334810735837,0,0.0544354977311185,0,0,0,0,0
XLM,0.248199861615538,0,0,0.111583027251275,0.0696573693922984,0,0.0092023890922493,0.0000000000000000138777878078145,0.103360197676755,0,0.175078486385164,0,0.0373606805435355,0.00000000000000000173472347597681,-0.0568651218475127,0,0,0,0,0.00896662702004885
ADA,0,0,0,0,0.144241383709842,0,0.14404540245634,0.011580482205366,0,0.169041160548184,0,0,0.315226895003109,0.0271990390042054,0,0,0,0,0,0.022903968248739
LEO,0,0,0,0,0,0.155601568399167,0.24327569788705,0.0826096941897079,0.28119378873134,-0.493054968077838,0,0,0.00000000000000000693889390390723,0.471037167986919,-0.134867285039107,0.203489140263581,0.0217502846549234,0,0,-0.0729140628293121
TRX,0.333359698862783,0,0,0.0912469489466546,0.251818926546072,0,-0.0312509544165883,0.200034043704275,0.173702362574217,0.160712760243492,0.156783018195811,0,0,-0.216990609641801,0,0,0.194531753393333,0,0,0.0511153673442684
HT,0.316067794665111,0.22304715660235,0,0,-0.370618284056878,0.600405922649096,0,0.0198533055189276,0,0,0.327628486362996,-0.215061417166865,-0.1995787873782,0,0.108842527102987,0,0.342316843289281,0,0,-0.101880587915701
ETC,-0.135717505032043,0.000000000000000000433680868994202,0,0.449150948915614,0.249051147759066,0.278030130297603,0,0,0.112542313405855,-0.0498005225088007,0,-0.0922035894642511,0,0.151358815157384,0,0,0,0,0,-0.0352703360990246
BV010082.INDEX,0.0000000000000000138777878078145,0,0.106547398177128,0,0.097931123175414,0.209551829037023,0.278967490393162,-0.185075289111025,-0.653956898434005,0,-0.384155318011996,0.444561369177078,0.431637560457981,0.025909417239515,0.32320644799346,0,-0.468805890498996,0,0,-0.0538505324957533
CVIX.INDEX,-0.312408654281093,0,0,-0.12607169095283,0.298365802181352,0.224876224177065,0,0,-0.0484963299790933,0,0.25344991667643,0.0413542449578974,-0.172154365012662,0.026058689695202,-0.123552852887109,0,0,0,1.26740459521001,0.145609650572317
DXY.INDEX,-0.00160751604134772,-0.0173641460381052,0,0.0247301172422684,0.0176371877401653,0.0154729114517348,-0.0256084335438818,0.0117889481213949,0,-0.0110726535497713,0.0121719546439087,0,-0.0174965049165343,0,0.00334353599969158,0.0388833512456688,-0.000845117385382292,0,0,-0.00516044166458737
SPX.INDEX,0,0,0.0345661833186488,0.0584194258593797,0,0.012435924418741,-0.0302438145786446,-0.0085075289404,-0.0382191128212783,0,-0.0393242885582222,-0.0172827538451051,0.0175643521548205,0.0241157179897897,-0.000000000000000000433680868994202,0.0978087863115753,0.000000000000000000433680868994202,0,0,-0.0839743946278558
VIX.INDEX,0,0,0.322840636756531,0,0.357924971939073,-0.227395992789057,-0.076854039898004,0,-0.526693558853708,0,0.0951961059894058,-0.118522084679112,0.138293237629785,0,0,-0.248744859202397,0.0316970801037217,0,-6.32662465087034,0
