,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.134700016065427,0,0.0457587434972198,0.00881671416504663,0,0,0,0.0517021889767716,0.0873693446976438,0,0.151254773430417,0.114589965667596,0.08027072434361,0.0324551892598949,0,-0.151923870432049,0,0,0
ETH,0,0,0.373043201742305,0.131321042396457,0.0110512147056141,0,0,0.159007899935012,0.112112364590451,0,0.0142579032921889,0.0302853793750038,0,0.129082444933053,0,0,0,0,0,0
XRP,0,0.213073103193529,0,0.17434029778002,-0.00127072092035978,0.202103125644813,0,0,0.0199849909944387,0.150730125494365,0,-0.134779987038676,0,-0.0489793483863479,0.184914623748695,0,0,0,0,0.0567575033314237
BCH,0,0.324867387643082,0,0,0.204839025864954,0.0770388716618751,0,0.276232638057588,0,-0.0941654600006115,0,0,0.15744982145012,0.0602677943290161,0,0,0,0,0,0
EOS,0,0.664542204280506,-1.33451811373666,0.102346714805208,0,0.223641295476573,-0.0365242408426078,0.269680538073832,0,0.385708313378934,0.464981642904165,0,0,0.116825940083085,0.239673832277555,0,0,0,0,0.00993111375981728
LTC,0,0,0.136019587846322,0.0553949151994594,0.134579039028772,0,0,0.156391129858035,0,0,0,0,0,0.144112594351395,0.208917874597408,0,0,0,0,0
XLM,0,0,0,0.0860819510357029,0.127303570908619,0,0,0.444393241760698,0,0.0663939655389447,0,0,0.199559029358802,-0.0344527330970444,0,0,-0.0207525405876549,0,0,-0.0198916979607007
ADA,0,-1.38777878078145e-17,0,0.269383636939513,0.0570148698872604,0,0.0803120577629362,0,0,0.230020223643284,0.149196589057525,0.01296656722534,0,0.00986221982333428,0.149424626778361,0,0,0,0,0.0501399211645776
MIOTA,0.000690575657034842,-0.0952013384824796,0,-0.138667250332172,0.142441309925146,0.216218621812008,0.238720304092197,0,0,0.0569879545933981,0.594332186547934,0,0,0.0547647671191132,0,-0.26657966919628,0,0,0,0.0819288476473941
TRX,0,0.269724355558532,0.214611908582158,0.313548826353091,0,0,0,0,0,0,0,0.252538888547032,0,0,0,0,0,0,0,0.0236439006870638
NEO,0,0,0,0,0.038221458861939,0,0,0,0.497159831151645,0,0,0,0.0528230524138443,-0.0939014879472688,0.429149933459056,0,0,0,0,0.068813334690964
XMR,0.415922763348353,0,0,0,0,0,0,0.14579574916519,0,0.121459208981461,0.201836979434532,0,0,0.119698711765944,0.213771135473426,0,-0.116830412429562,0,0,-0.0511259135314395
DASH,0.121837085790293,0,0,0.143925724705577,0.011870604805115,0,0.0248811952731453,0,0,0,0.178020823491442,0,0,0,0.238923476749355,0,0,0,0,-0.0540267113223594
ETC,1.17576131411919,0,0,0.134504347326252,0,0,-0.0231882526342219,0,0.140695159009402,0,0,0,-0.0867175395548304,0,0,-0.174077699650789,0.33067090627668,0,0,-0.0974752328566143
XEM,0,0,0,0,0.166258109456976,0,0.359076203658686,0.100691206156775,-0.0487248515324842,0.00316286459513465,0.172739457962316,0,0,0.258211381673771,0,0,0,0,0,0
BV010082.Index,0,0,-0.0923739739233888,0,-0.137281996828161,-0.0017801918646768,0,-0.0673335371202909,-0.12496372791414,0.147629800505171,0,0.212623574394668,0.0203501455595445,0,0.0603445143106723,0,0,0,0,-0.22999345627871
CVIX.Index,0,0,0.436646132071526,0.113780253649968,-0.0656133685201209,0,0,-0.112747846042585,0,0,0.0542347651667165,0,-0.240433645613237,0.0962302049428519,-0.0326529056441452,0.338802302946211,0,0,0,0.173658502930202
DXY.Curncy,0,0,0,-0.0115481378848083,0.0122399756503814,0,0.0425570173295194,-0.0696861046607174,-0.00559911710771495,0.031954329541864,-0.0063358605223087,0,0,0.0249641048608497,-0.0183871231758483,0,0.0294491299440225,0,0,0.00906112448351627
SPX.Index,0,0,0,0.0107511380551655,0,-0.0196036814202197,0,0,-0.0239370244829405,0.0131699419191647,0.0038837986420184,0.00317156906225753,0,0.0145896649816761,0,0,0,0,0,-0.063609201887331
VIX.Index,0,0,0.151909109598006,0,-0.381997588985598,0.105319163447382,-0.0264968593048595,0,-0.195390385324855,0.106512174960056,0,0.028450597290022,0,-0.242339934022945,0.490848570914462,0,0,0,-4.07819454208846,0
