,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.238744638515692,0,0.724157570797236,0,0,0,0,0,0.0809690887970456,0.0139485887262433,0.0317695050416165,-0.0470987790889454,0,0,0,0,-0.0534804983893641
ETH,0.0747075042900313,0,0.00347113833692868,0,0.100699652715033,0.235170276749584,-0.199916748212291,-0.0148832086356875,0.621687081862061,0.18495718534279,0.0000000000000000000271050543121376,-0.0234081108382661,0.287709072950177,1.1412147521865,-0.150607622931722,0,0,0.097050671349585
XRP,0.0768045775523916,0.534926537155722,0,0,0,0.0303345722436714,-0.0207617281201819,0,0.133199286372403,0.203111806665606,-0.0334437173842642,-0.0787023135332139,-0.240033470165343,-0.62344161590941,0.206014494962069,0,0,0.0622111039389695
LTC,0.716163289657553,0,0,0,-0.0248857475821392,0.0196123041180455,0.0838158837296115,-0.0156566605348509,0,-0.0628361103809229,-0.000925737463285503,-0.00709880920831541,0,0,0,0,0,-0.0252615903910317
XMR,-1.11781457464202,0,0.472580326805435,-0.554159419850248,0,0.0804890274744507,0.244310886728603,0.192939733386632,0,0.0906239285794578,-0.0644649753489959,-0.0910362246534122,-0.396555588752347,0,0.192622132422266,0,0,0.0692618580415742
ETC,0,-0.303907973249132,-0.252978146684474,0,0.0462095701768797,0,0,-0.0753822398052154,0,0.279231478260221,-0.0273356787860874,-0.0803248001064943,0.280433501768438,0,0,0,0,-0.137290954712579
DASH,0,0,-0.159159667001697,0.857447463018049,0.306769380454779,0.0256241179698217,0,-0.0658038465926721,-0.323943197990954,0,-0.0816138378531767,-0.02640065058054,-0.183224569881444,0,0,0,0,-0.0418541907975819
XEM,0,0,0.447688223597821,0,0.210409655168071,0.283703375927179,-1.18291131435322,0,0,0,-0.167925525432929,-0.0824030621827273,0,0,-0.551891185929475,0,0,-0.0724024630435384
DOGE,0,0.162682007474743,-0.0120738693430391,0,-0.0994586179474478,0,0,0.00940431488088084,0,0,-0.0106640979083686,0.0308501083652213,-0.0314769270535793,-0.356717595363422,0,0,0,0.0204328965192014
XLM,0,0,0.213989719282781,0,0.108733700621383,0.31009207239494,-0.16938319016493,-0.183834765411164,0,0,-0.0780218087111455,0.0327334920363939,0.192528992018919,0,0.378281699540199,0,0,0.0375521320806957
ZEC,-2.0553072945098,-1.37781769682937,-1.39407800470759,1.22455940118991,0.498672643085615,0.403910995963481,-5.65793485877643,0,1.07530104724021,-0.7345393706381,0,-0.593460862646255,-1.36970769267479,0,0,0,0,-0.720997819203837
NEO,0,2.80607916411117,-3.26076342531566,0,-0.414218981623044,0,-0.824232963321256,0,2.55588790510657,1.01348251533778,-0.137135411919405,0,-1.36019262342622,0,0.749252747867128,0,0,0.447646276729216
DGB,0.277736643119875,0.238434789678433,0,0,-0.128643914642132,-0.119631582892628,0.620323589704754,0.182579185401672,-0.331783567535124,0.165995510898037,-0.0371305772557028,-0.0901573117839402,0,0.518523073528272,0,0,0,-0.057431722250242
BV010082.INDEX,0,0.0693306110977516,-0.0775975344166978,0,0.00479807874750696,0,0.0803607861109866,0.0302523355298509,0,-0.014450565376999,0.00995915670876958,0.016987606576722,0.0480929523039048,0,0.128909844817552,0,0,-0.155361852491689
CVIX.INDEX,0,-0.00000000000000000173472347597681,0.0165202699286005,0,0.0353040118291968,-0.313021288540814,0,-0.17577171899571,0.271751628788147,0.107963349955095,-0.0237780651992439,-0.044304933284102,0.122769978666304,0.462862194222589,0,0,0,0.209211557775657
DXY.INDEX,0,-0.0513914797426223,0.00842517784746597,0.0342499490892684,0.0119615930857519,0.0214128597620191,0.0326890431235056,0.00448614514217284,0.00492010124257126,0.00488154169950232,0.00304157137625166,0.00391533504607283,0.0146989559229692,0.174726662240415,-0.0252918530568466,0,0,-0.00111433618912686
SPX.INDEX,0.0461491485538424,-0.01408025397631,0.0118613227483942,0,0.00475324754764049,0,0.0109931703687283,0.00677320176412853,0,0.0145016677084334,-0.00105577204101226,0,-0.00193174370493264,0,-0.0150411504033745,0,0,-0.0457657861230882
VIX.INDEX,-0.73043786679227,0.532713299556157,-0.486529610624524,0,-0.131129362888378,0,0.231224849728063,0.28404202554573,0,-0.131715537288264,0.0505274198587099,-0.0126398413688789,0,-3.41423665464647,1.57351032529338,0,0,0
