,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.456424216967346,0.207612371341551,0.0857785673540234,-0.126010606363424,-0.0389274747406989,0.0446889957762274,0.21597884968329,0.0745727299449061,-0.15684660053003,-0.34020936232371,0,0,-0.0736848115257231
LTC,0.462638460356996,0,0.00406430821501035,-0.0624357788146886,0.75904879985339,-0.165828546077892,0.246275850984229,-0.207518065809703,0,0.0352950448927622,0,0,0,0,0
XRP,0.324354689118513,-0.273716562532399,0,-0.0943940954246549,0.920908877765732,0,0.306813700557175,-0.166553655995723,-0.058295141435413,0,0.025234432880276,-0.0978132057358276,0,0,-0.188050935047354
ETH,1.29669992734229,-0.9494206408253,0.603335372253608,0,0,0.65327492435329,-0.283627700528125,-0.454938759292663,-0.260851638599026,-0.050758586359978,0,0.3540127200699,0,0,-0.40969469298763
DOGE,0,0.360321142521406,0,0.0627925733681655,0,0.146367519874829,0,0.0938326311107348,0.166633904468274,0,0,0,0,0,-0.00615306389265463
DASH,0,0.41472952964966,0,0.00234753173569256,0.194765534976283,0,-0.340763444852868,0.10626129428067,0.0622947472075385,0.0161721227974847,0,0.0264586881858436,0,0,-0.0393968317116776
XLM,0.442334086217806,0.0958086454452623,-0.143051771513695,0.158988789903336,-0.408693202602871,0,0,0.0470459640659236,0.10537001931835,-0.00709892414607828,0,0,0,0,-0.166609381750517
XMR,0.179166849435679,0,0.0159945044732545,-0.194056151899462,0,0.688276729864341,0.205727986767072,0,-0.0946323206403971,-0.0733405399199189,0,-0.369153346519271,0,0,-0.474368089340667
XEM,0,1.14290629894449,-0.366411206210584,-0.344675990853924,0,0.778019376100014,0.166423973158774,0.338428462174324,0,0.0629076861891544,2.31100128842075,0,0,-7.5270128003423,0
DGB,-2.03818308032961,-0.615306251009997,1.73470441106215,0.396403611089825,0,0.353498783023733,1.27950649901843,0.72774175459279,0.947140424009023,0,-2.32568445673514,1.40813584414557,0,0,-0.451094428828416
BV010082.Index,-0.158183341225917,0,0.18633868607265,0.0149134804066071,0.0428500640893363,0.0846804875823484,0.0655951704079687,0.0890103610053024,0.043391571611309,-0.0601653837819135,0,0,0,0,-0.059011401096767
CVIX.Index,0.172725942348375,0,0,-0.00375371530304461,-0.17158075839393,0.00654931360577346,-0.275232784095133,-0.276546739138402,0.0885095293832486,0.00926787662763768,0,0,1.23663810176701,0.00725048178757065,0
DXY.Curncy,0,0.0222217327653605,-0.0506406905222616,0.00300878829536637,0,-0.0137816665974345,-0.0111302257290991,0.0368478633366479,0.0102849756422002,-0.0110697475093521,0.103313916880113,0,0,0,-0.0235974757951275
SPX.Index,0,0,0.011632730315578,-0.0199534815197268,0,0.0327081418615332,0.0463797143492923,0.0270734973019626,-0.0250207616544316,0.00583695369630159,0,0.0404510171060576,0,0,-0.0816895257400958
VIX.Index,-0.104273635406369,0,-0.151030935428412,0.0972505553034513,-0.0828490233056557,0,-0.0045527347413267,-0.140165377949693,0.100140434962213,0.133113016297646,0,-0.455157734925445,0,-4.0070442165089,0
