,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0733632323685136,0.0112377384885386,0.289550211798063,0.0334115682582784,0.0314218130776331,0.102316216589705,-0.0603251823933073,0,0,0.0153013596467709,0.0640618481012959,-0.0888083069681787,-0.0242268308290003,0,0,-0.0417031306773533
ETH,0.996439275510149,0,0.0210029646804345,-0.611286846524561,0.0105864420992633,0,0.187479175798618,-0.022366959851006,0.216194631144237,0.0249020656106587,-0.0157857195875954,-0.0900683148444045,0.899420856014761,0.138660356182156,-1.22853794766938,0,0.153589172625343
XRP,0,-0.485730250837682,0,0,0,0.0364086421349561,0.26299274582127,0.14935497288729,0.355918013030081,0.362336397884682,-0.106069535693043,-0.0587221744329307,0,0,0,0,0.0698698655717657
LTC,0.497679583789763,-0.0778653317523202,0.0137276686268774,0,0.0933872875569884,0,0,0,0,0,0.0242999177831592,0.0373726028399872,0,0,0,0,0.0369441231648297
ETC,0,0,0.0155309018798792,0.947574149131455,0,0.125387981623867,0,-0.120537300246228,0,0.218591345623883,-0.131326552046082,0.384277389132039,-0.647105840848727,0,0,0,0.0611292980670411
XMR,1.43274041741526,0.724936159245285,-0.148483556665696,-2.77555756156289e-17,0.0775105817644008,0,0.207465856335619,0.242777022576459,0,0,-0.305882927178095,-0.229789966266618,-0.975524737903962,1.75566764747891,0,0,-0.325036588247178
DASH,0,-0.36454973459135,-0.0554689737307301,0,0.088039982722464,0.0501266558178885,0,-0.217551642365568,0.371273012010688,0.158735841542516,-0.069744170133467,-0.0543887545672277,0,0,0,0,-0.0526367363946417
XEM,0,0.426228880147577,0.206425119905427,0,0.0600611283499313,0.193590749583239,-0.550879624201639,0,0,0.0833486219015018,-0.0896304112091336,-0.0333427743147174,-0.634353699435279,-0.881269706124452,0,0,0
DOGE,-0.753589952074364,0.129540980067443,0,-0.035902505248115,0.0845928855431124,-0.0865424922072828,0,0.0320037193659918,0,0.0245809697796069,-0.00310353434734933,0.0763159199869652,-1.04508890068615,0,0,0,0.045618281709463
XLM,0,-0.104810100036862,0.561117100680625,-0.865008505916864,0.207234400730997,0.0542538472462111,-0.166230440254295,-0.185572214216459,-0.0171538156352265,0,0.0338954558914146,0.134658270238345,0,0.346379789740863,0,0,0
NEO,1.58565160783521,1.79038237945101,-1.66151069429805,1.37345751055447,0,0,-2.67980685348131,1.02421185187788,1.9425417030215,0.929822573597992,0,-1.17705133707959,0,5.26011239720135,0,0,-0.807259696138139
DGB,0,-0.51116619636193,0.110497534198736,0,-0.132133677793016,0,0.276325472840647,0.310572865797782,0,0.206628026976979,-0.0312883120226882,0,0.352853454181138,0.630995331162851,0,0,0.0665758747437455
BV010082.Index,0,0.0828981026394819,-0.0741015358015673,0,0,0.0428107896735924,-0.13742928152483,0,-0.206561736110495,0.0888311280970168,-0.0117401151132731,0.056914531292172,0,0,0.113422557072846,0,0.0614112488544485
CVIX.Index,-0.368862760080133,0,-0.177909009053756,0.38849965934584,0.071405388259202,-0.00506457869407369,0.237863947387116,-0.0770681966246413,0,0.176645374377238,0.0057283526185934,0.0361931592022333,-0.0380481938001248,0,0,0,0.107026509611213
DXY.Curncy,0,-5.42101086242752e-20,0.0193996275671555,0,-0.0052403199086851,0.0077560381884042,-0.032551071763951,-0.0310366666927473,0,0,-0.00473753646956158,-0.00430613051777069,0.192021680369015,0,0,0,0.00658231938887015
SPX.Index,-0.0369155956677679,0.0330744628882377,0.00101416620919538,0,0,0,0,0.0264094084029875,0.0292334588051633,0.00264791559951722,-0.00247268346509566,0.0226993136486588,-0.0181655293076419,0,0,0,-0.0687190021404711
VIX.Index,-0.164921084170601,0.331080928588994,0.077776563054066,0,-0.318763103386027,-0.0726462401297583,-0.498800207322726,0.332885498104927,0,-0.192535733767381,-0.0151334691221216,0,0,1.16034165143078,0,-5.33107176214032,0
