,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.193122027037887,0,0,0.0202555654425424,0,0,-0.00000000000000000346944695195361,0.0404200966348115,0.091049626898538,0,0.141699514751308,0.126898924867848,0.0747945347297684,0.0285463795058433,0,-0.158892592463162,0,0,0
ETH,0,0,0.295802067945441,0.163418472240928,0,0,0,0.183987729392634,0.108884634450545,0,0,0.0457763146865204,0,0.125874071454986,0.0142661530874639,0,0,0,0,0
XRP,0,0.134145618880869,0,0.142248233202222,0,0.106014116596876,0.182278574765369,0,0.00580239400484654,0.169500811811923,0,-0.0641105757598533,0,-0.0271848061609785,0.0996125934500405,-0.03146514221363,0,0,0,0.0582117505467439
BCH,0.297077518619773,0.252933058924154,0.170692361061889,0,0,0,0,0.394192921452886,0,0,0,-0.0759171844601172,0,0.0802242922606524,0,-0.460598725367179,0.147786878518951,0,0,-0.130024960775413
EOS,0,0.290806699539823,-0.676180736421299,0,0,0.677558610632837,-0.388952865555571,0,0,0.508847404501059,0.347228149032206,-0.0729810624644324,0.421611442198493,0.0542766910223398,0.267211029698467,0,0,0,0,0
LTC,0,0,0.065697429489504,0.250254723969053,0.0624584114078391,0,0.0788374357668811,0.0771027529668354,-0.0535414901751639,0,0.0000000000000000138777878078145,0,0,0.12918432314636,0.251538161883527,0,0,0,0,0
XLM,0,0,0,0.0921623100597201,0.133998696963564,0,0,0.447872266458236,0,0.0548486843832541,0.000000000000000000867361737988404,0,0.187737492505679,-0.0347130685044439,0,0,-0.0267926233336132,0,0,-0.0124634569169664
ADA,0,0.339733314164102,0,0.0437509467760955,0.113057694864038,0,0,0,0,0.0893384277091206,0,0.159247387739885,0,0.00332544092900514,0.131494931389895,0,0,0,0,0.0466926766905417
MIOTA,0.513223945750573,-0.307445548206072,0,-0.221499867282938,0.117990178993125,0.627112074030139,0.198944657734015,0,0,0.00462579787329423,0.676815155334431,0,0,-0.00000000000000000693889390390723,-0.208759818115565,-0.386757353782856,0,0,0,0.0525495220888681
TRX,0,0.276040348739479,0.223133859481251,0.296203851091665,0,0,0,0,-0.00246095287746973,0,0,0.265056383360093,0,0,0,0,0,0,0,0.0230417236426542
NEO,0,0,0,0,0.0506423318521376,0,0,0,0.52304164144833,0,0,0,0,-0.00835332654912627,0.36367748899072,0,0,0,0,0.0735236623472108
XMR,0.532238771368194,0,0,0,0.0486961647068235,0,0,0.33723017591452,-0.173715839292992,0.0661786020721973,0.311780107975196,0,0,0.0504546331080569,0,0,-0.101922308629748,0,0,-0.0747416900031597
DASH,0,0,0,0.182791647464226,0,0,0.0471453540354971,0,0,0,0.18649443627455,0,0,0,0.234063492325172,0,0,0,0,-0.0545953689071967
ETC,1.29750030797781,0,0,0,0.113545354915205,0,0,0,0.0740074025568533,0,0,0,-0.39706405516848,0,0.109835705398526,-0.0838829856881774,0.319196789978104,0,0,-0.129805580323104
XEM,0,0,0,0,0.117525907052206,0,0.406259550920603,0,0,0.247295685669138,0.0665124822548678,0,0,0.17769150187054,0,0,0,0,0,0
BV010082.INDEX,0,0.1134087395411,-0.209906734983267,0,-0.124476241528148,0,0,-0.0966536165865557,-0.101089502158819,0.130125206398336,0,0.221619951459792,0,-0.0140311497895151,0.0506017887599421,0,0.0571171665202562,0,0,-0.221663108372127
CVIX.INDEX,0,0.00350709537858681,0.303388191074012,0.184700641737055,-0.0303154443660959,0,0,-0.164996777702534,0,0,0.0560409679838135,0,-0.246530934637163,0.114598979772291,0,0.304126931111933,0,0,0,0.17384920758436
DXY.INDEX,0,0,0,-0.0198000191872261,0.019633340404625,0,0.0410341339326958,-0.0689679209883563,-0.00279890265548047,0.0348008015041751,-0.00815941118556052,0,-0.00339400178664454,0.0271321157888595,-0.0234818699512041,0,0.0207174738647189,0,0,0.00992510585243252
SPX.INDEX,0,0,0,0.00907107507407498,0,0,0.00545716387550767,0.00451778008584601,-0.0297592667714864,-0.000000000000000000433680868994202,0.0086335816314406,0,0,0.00484282308853634,-0.000000000000000000433680868994202,0,0,0,0,-0.0634323781136852
VIX.INDEX,0,0,0.0469946993798695,0,-0.320620513139341,0,0.00000000000000000693889390390723,0,-0.153454070178515,0.0227585124686026,0,0.0824118413188254,0,-0.196658780850893,0.536585910648474,-0.293626174160031,0,0,-3.37003524227467,0
