,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.172090215568094,-0.0693681017618743,0,0,0,0.0701774749588299,0,0.285750862966802,0.0688900854939657,0.181131026192653,0.0655952520926205,0,0,0,0,0,0
XRP,0,0,0,0.194102831045523,0.0798808413593161,0,0.407904194411415,-0.0219251467794297,0,0,0,0,0.0311341588440828,0.375748352555198,-0.0141441143407838,-0.437869690212136,0.487960175019876,0,0,0
ETH,0,0.175966431441289,0,0,0.0296909951657675,0.234733721797569,0,-0.0134603845811538,0.0438330925946338,0.15109037645583,0.190658531019325,0.171368612222397,0.0233193040329844,0.0361058581534651,0.0685901598957908,0,0,0,0,0
XLM,0.367762674264587,0.245557679375146,0,0,0.0260916519182921,0.0854536452617838,0,-0.0632755838670679,0,0.240796140421204,0.122471044266733,0,0.253172310018748,-0.0740995154263343,0,0,0,0,0,0.0372242171300476
BCH,0,0,0.319300130612544,0.176133258023261,0,0,0,0.0984394608064728,-3.3881317890172e-21,0,0,0,1.10017060750612,0,-0.421473186027438,0,0,0,0,0
EOS,0,0.363930781439542,0.190474531717258,0.0700720068310828,0.164202635929802,0,0,0,-0.253620157127355,0,0,0,0,-0.157667304248689,0.474878070453413,0,0,0,0,0.04031643582432
LTC,0,0,0,0,0.182808828067917,0,0,0,0.0800229366621976,0.0831329009584323,0.172712027631743,0,0.17377635001391,0,0.194749631227818,0,0,0,0,0
BSV,2.20926852949478,-6.93889390390723e-18,0,-3.60195358346315,1.50640758051851,-0.859116856880381,-3.50937152571257,0,1.55081163026125,0,-0.362778626685168,0,0.580997724775849,0,2.52651704161242,0,0,0,0,0
TRX,0,0.0364173413436881,0,0,0,0,0,0.00891975959994066,0,0.431018398941065,0,0.442600583439571,0,0.0861202393861191,0,0,0,0,0,-0.075640155776532
ADA,0,0,0,0,0.148240301896126,0.151697466996447,0,-0.0275092001460736,0.267130741892504,0,0,-0.0596901313343214,0.270990894365544,0.016400825005902,0.224726997549011,0,0,0,0,0.0229748818920913
XMR,0.30776896301557,0,0.336708839396148,0,0.0686028601441315,0,0,-0.0158493922236598,0.000388978906302755,0.0245074671189423,0,0.284751096795917,0,0,0.139763335988501,0,0,0,0,-0.0762590586780869
BNB,0,-0.0427370484691907,0.666490198133889,0,0,0,0.045205128505415,0.0343997496827093,0.101120270076411,0,0,0,0,0,0.0870153234030483,0,0,0,0,0.0169451190333861
MIOTA,0,0.107879973674803,0,0.16747759789457,0.0153506920405099,0.105140518532515,0,0.0512404424830242,0.220244688184307,0.131243372756726,0,0,0,0.150593810800499,0,0,0,0,0,-0.0517468033548301
XEM,0,0.0895785807298444,0,0.198352777937705,0,0,0.045770194615194,0,0,0.307056182595727,0.0762100443302036,0,0.0925088946557253,0,0.0558785706266662,0.153828582245163,0,0,0,0.0320791918150258
DASH,0.322043080193305,0,0.146217768589891,0,0.071987933113498,0,0,0.00275853891172136,0,0.444306284229385,0,0.0736729306939434,0,0,0,0,0,0,0,0.0332841679625293
BV010082.Index,-0.174516405337515,-0.198667048001917,0.171321670248429,-0.0342793209827353,-0.0340097542989421,0.0252020737448437,0.0545551420724702,0.0160651553107314,0.000452032177123442,0,0,0.17307035618593,-0.17110517015269,0.118842583520547,0,0,-0.0504202527057228,0,0.489535808576662,0
CVIX.Index,0,0,0.469715494122906,-0.143770751989336,0,0.051170755238617,0,-0.00650524691838923,0,0.117908098335209,-0.506869097012888,0,0.0385701800065227,0.0259479372553873,0,-0.149396470892028,0,0,0,0.0520592603763094
DXY.Curncy,0,0,0.0551632902443505,-0.0272242709004216,-0.0109007676007845,-2.16840434497101e-19,-0.0368559882374293,0.0102036202934133,-0.0201389223433737,0,0,0,0.0237251491545237,0,0,0.0490931846143421,0.0102402685419865,0,0,0.00557925628635934
SPX.Index,0,-0.00742527234304835,-0.166560130419332,0.0865750322963605,-0.00687151377338789,0,0,0.0128020982259959,0,0,-0.00774670118874784,0,-8.67361737988404e-19,0.0464422910481797,0.0326154213344189,0.0992688139252922,0.0278457540008463,0,0,-0.120061021615404
VIX.Index,0,0,0,0,0,-0.578680548836741,0,0,0,0,0,0.0587868172095671,0.476599658844266,0.166044308872242,0,0.594860550055156,1.3091455966973,0,-5.73263532625552,0
