,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0680147518051483,0,0,0,0.0979997003894954,0,0,0,0,0.0833915559635336,0.279291688562772,0.134244397908701,0,0.10415971810763,0,0,0,0,0
XRP,0,0,0.229357700129774,0.0578245166840744,0.0616545308791231,0,0.160556289046632,-0.0444321965851943,-0.047661288657985,0,0,0,0.0795398747392436,0.00864419026127238,0.21343795141345,0,0,0,0,0.0452217865916934
ETH,0,0.219094027491355,0,0.0859667230042902,0.010502490396169,0,0.113265148122356,0.00199067058865416,0.0356810280415305,0,0,0.359358129697771,0.114638450940765,0.0526129673253028,0,0,0,0,0,0.0263396461866006
BCH,0,0,0.51162080556867,0,2.77555756156289e-17,0,0,0.189465839888588,0,0.857925228023335,0.161270976112311,-0.668143344099959,0.378866841815314,-0.108768480022271,0,0,0,0,0,-0.251372674744825
EOS,0,0,0.292599663047147,0.0691609667628212,0,0,0.104183167413338,-4.33680868994202e-19,-0.336630037162334,0.571744643927856,0,0,0.195803084691276,0.0727067764282171,-0.151060359975255,0,0,0,0,0.0521244880111566
XLM,0.608549614464165,0.155243778857897,0,0,0.0426897711269331,0,0,-0.00211584730063599,0,0.119153000880851,0.0765905054323732,0.111090946177034,0.0247129084394353,0,0.0417336502045673,0,0,0,0,0
LTC,0.151334431888851,0,0,0.0352559879307654,0.136682554111658,0,0,0.0162716399789872,0,0.142663824662386,0,0.197751368609184,0.196426919798763,0,0,0,0,0,0,-0.0642163042329716
BSV,0,-0.406321964587732,0,1.04423545728951,0.3084060652087,-3.73291219967053,0,0,0.37825429923527,0.380780050627061,0.336362241008635,0,1.05473553664147,0.576709882705771,-0.128716070485051,0,0,0,0,0
TRX,0.403628778231447,0,0,0,-0.0529494714103253,0,0,0.00456651723262559,0,0.392665628839328,0.0640705223983236,0.0929940588846563,0,0,0.0656112883493799,0,0,0,0,0
ADA,0,0,0,0.110816477319698,0.280521402908951,0,0,-0.011363889250996,0.268043857057313,0,0.141261452605339,0.129089702434325,0,0.0120943191924008,0,0,0,0,0,-0.00545485460122401
MIOTA,0,0,0,0.0136789805980885,0.181969585831402,0.211550808529029,0,0.0734725795779897,0,0,0,0,0.168422710948183,0,0.368354549440864,0,0,0,0,0
XMR,0,0,0.236454310199631,0,0,0.108030906587548,0,0.00879642116512588,0.198847793666276,0.163242776948412,-6.93889390390723e-18,0,0,0.276369410503468,0.0579607938457161,0,0,0,0,0
BNB,0,0,0.403143337611143,0,0.309502857425256,0,0,-0.0604114009299775,0.26232005546936,0,-0.00128661885058717,0,0,0.0203970898126244,0.0737527226862679,0,-0.74624431400279,0,0,0
DASH,0,0,0,-0.0647869780540598,0,0.279775753233092,0.212571069730282,-0.00804961388548381,-0.224986208256926,0,0.201351840915833,0.471873624693232,0.194807278468051,0,0,0,0,0,0,0
XEM,0,0,0.120822313609212,0.215845719270839,-0.0695004584835863,0.497350983438669,0,0.0145274901779302,0.0598598837273157,0.0108911014728042,-0.088650738053645,0,0,-0.0569183224765345,0,0.360475934580428,0,0,0,0.0365076447486858
BV010082.Index,0,-0.275541412726066,-0.122065155557503,-0.0164029608138473,3.46944695195361e-18,0,0,0.0176107460782455,-0.0646877363058728,0.0273480530107605,0,0.11039959799067,0.127098902305338,0.009485909380456,0.11713359551487,0,0,0.177615764476316,0,-0.0509776525817537
CVIX.Index,0,-0.200530032976544,0,-0.0275589232237578,-0.129952474132295,0.0270963595754055,0,0.0504693142745858,0,0.158247140944348,0.122258705473252,-0.0856804201847946,0,0,0.118640512940417,-0.509240937892574,0,0,0,0.0894924825160786
DXY.Curncy,0,0.00338827415107464,0,0,0,0,-0.00563163911760257,0.00760268368980831,-0.0278751949723888,0,0,0,0.00604283835805008,0.0115556265240728,0,0.0557549863656396,0,0,0,0.00768772903751328
SPX.Index,-0.111616575710444,0,-0.0161300006026881,-0.0125041775724731,0,0.0240508549168303,0,0.0181837601915785,0,0,0,0,0,0,0.0537140572465404,0.0459779291286339,0,0,0,-0.12333494422057
VIX.Index,-0.581393432809639,0.371258718340226,0,0,0,6.93889390390723e-18,0,-0.018575148802447,0,0,0.0654545342292148,-0.0872603596604175,0,0,0.277154088357541,0,1.28504409810781,0,-3.5592136515903,0
