,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,ETC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.446693489010677,-0.0932819532995453,-0.023899689323156,-0.194904278356299,-0.00336534126748158,0.134120883328936,0,-0.0326021487036142,0,0.000899910808323671,0.165447963582347,0.00742601281994109,0.119670422671726,-0.0135297608954539,0,0,0,0,-0.311850125762388
ETH,-0.111989944714331,0,-0.0527182847910555,0,0.0373542973826147,-0.0124356516322937,0,0,0.0534564495076509,0.135385695194906,0.0600155777969349,0.0710812878528784,-0.0333327865874578,0.0895461054881145,0.0989226821154049,0,0,0,0,0
BCH,0,0,0,0,-0.274168580573994,-0.149448151508959,0,0,0.137490581503961,1.38777878078145e-17,0.141476701447852,0.146384903539785,0,0.0982451020983987,0.416718552616911,0,0,0,0,-0.660301421367994
XRP,-0.175542978970599,0.455307226036474,0.117153843527347,0,0,0.104839729770273,0,-0.0120974454956973,0,0.271020491791358,-0.0442104284501997,0.195132310746003,-0.0335382654508794,-8.67361737988404e-19,0.0490841233155891,-0.229266387847606,0,0,0,0
LTC,0.127753852337532,0.50822053627686,0.00423369954680051,-0.0788028637695146,0,0,0.0650613986021544,0,0.239432666072583,0,-0.0243962694873273,-0.00844293215972382,-0.0884391520617079,0.115938584372502,-0.0652619667364038,0,0,0,0,0
ADA,-0.0129502552304646,0.0389465732307403,-0.142034193867842,0.368318350941392,0,0,0.131159923334868,0.107104809124035,0.135259185234804,0,0,-0.273806764848651,0.0455272122536575,0.175779904108817,0.386432802009327,0,0,0,0,0.525147961783873
MIOTA,-3.46944695195361e-18,-0.108052667377074,-0.00991438967888436,-0.282178444762984,0.0928707504453583,-0.0804236214362022,0,0,0.0944491028278922,0.52680550907161,-0.142542884605254,-0.00114670387671353,0.106487394454324,0.28379676957502,0,0,0,0,0,0.255495623313818
DASH,-0.196989340798777,0,0,0,0,0.0182278576785808,0.0636655887432344,0,0,0,0.0902207632737895,-0.0491607607713735,-0.00720981135324865,0,0,0,0,0,0,0
XEM,-0.0355898844577699,0,0,0.0945161631667675,0,0.137018115825943,0,0.211396127878412,0,0,0.0309921779872873,0.0969764100458512,0.101157230398211,0.0730508187847169,0.151876508885494,0,0,0,0,0
XMR,0,0,-0.0978596820093833,0.0978442046443528,8.67361737988404e-19,0.0852719073722736,0.150430435839703,0,-0.0292508664268788,0,0,-0.0218687977783726,0.0606810830218716,0.174255783078707,0.117304285193453,0,0,0,0,0
BTG,0,0,0.138052459742811,0,0,0.033187481652159,0,-0.566722469669312,0,0,0,-0.609845730808433,0,0,0,0,0,0,0,-1.05955522989681
EOS,0.00093925497397418,0.435528334838512,-0.0863451633946372,0.22608244469526,0,0.11155593051303,-0.101068790633945,0.262519945983832,0.0823673430596119,-0.711271189928127,0,0,0.104407617476812,0,0.36391948261607,1.36315310855043,0,0,0,0.143028634976325
XLM,0,0,0.229242404483896,0.136116360532934,0,0.308062788995353,0.399294409957472,0,0,0,-0.0841188146605605,0.357405193154915,0,0,0,0,0,0,0,0
ETC,0,0.452009642796597,0.247594346889473,0.0415902489271898,0.0230491405591178,0.134180336721169,0.0902200019545861,-0.366159180412946,0,0.220956517053862,0,-0.0286877719430549,0,0,0.0733592521129457,0,0,0,0,0
NEO,0,0.230400626933414,0,0,0,0,-0.385320155455462,0,0,0.281108820827421,-0.0647160280256996,0.0324834033731295,0.158132981911968,0.217388775159388,0,0,0,0,0,0
BV010082.Index,-0.038724652982724,0,-0.0490576252045118,-0.00561774347757125,0.0153614719162757,-0.0130704495069685,0.0140413855620515,0.0200189574725023,0,0,0.00165149524944769,0.0048475836896393,0.00755512100020566,0.0117761497291261,0,0,0,0,0,0
CVIX.Index,0,0.0393196408660109,2.16840434497101e-19,-0.0158663402045517,-0.015955030560797,0,0,0.0111666949401011,0.0392621795316236,0.063946626695658,-0.00427315348882586,-0.00231205627498965,0.0141177332729421,4.33680868994202e-19,-0.00540765366336705,0,0,0,0,0.0880173374379028
DXY.Curncy,-0.0238457921700364,0,-0.0198569940456236,-0.00945241131667349,-0.0146928473731537,0.00601871406628215,-0.00525715700512574,0,0,0,-0.00543943498169179,0.00435882936887279,0.00355874771474942,0.00347581656610905,0,0,-0.0728480336730656,0,0,-0.0231979012770715
SPX.Index,-0.0188899372234804,0,0,0.00272733061126026,0,0.00132448784862495,0.00723512268110616,0.00408032491553632,0.00222950307304895,0,0.00253581439889436,0,0.0020658705066979,-0.00740592789429561,0,0,-0.0379944453078066,0,0,-0.0102740054787719
VIX.Index,0.0336311245682558,0,-0.4126388306479,0.156138831711856,0,-0.105451841286376,0.120630587814934,0,-0.034301104061444,-0.0787886641533062,-0.0264744758571376,1.73472347597681e-18,0.0892867845556807,0.1524807083911,0.156115893500397,0,0,0,0,0
