,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00579610610024121,-0.0698616672459397,0,0.0788382850271698,0.118460073795989,0.142397742741299,0,-0.00706455616022375,0.0237120721333165,0.0449562483561784,0,0,-0.16735148615768,0,0,-0.0168755607824908
ETH,-0.122291504984023,0,-0.0736579100815405,0.280887399815044,-0.127334277573143,-0.102631607990146,-0.0748076861064089,0.160713639656284,0,0.0748397921074213,0.168025783402413,-0.000677312637154866,0,0.352867730277758,0,0,0,0
XRP,0,0,0,0,-0.502341681594081,0,0,0.447509739524949,0,0.595544177164171,0.249908913423761,-0.792903901945558,-0.0968544527758481,0,0,0,0,0
ETC,0,0.228618081468107,-0.0511880823834015,0,0,0.16713961874216,0.168554047645326,0,0.0730655688305152,0,0,-0.0295293094819236,0.0475200707714372,0,0,0,0,0.0385267973380978
XEM,0.863158555738603,-0.166146622804166,-0.0622341942129962,0,0,0.0336056292182755,0.154452099871467,0,0.108079194160226,0.277252932260579,-0.220747739383697,-0.0675465005163074,0.12833292057098,-0.902555577184755,1.54932088962333,-12.8105860017938,-5.44466359606495,0
LTC,0.434262775806225,0,0.0457877070108954,0,0.124226298955304,0,0.137968242374558,0.163464936382767,-0.0685370725841114,0,0.124448855995324,0,0.247254023039716,0,0,0,0,0
DASH,0,0.210548003209617,-0.0702995835936035,0.084325262742113,0.0859125051799514,0,0,0.271728563240131,0.433080178142711,0.0877238855815223,-0.0663962487693075,-8.67361737988404e-19,0,0,0,0,0,0
XMR,0.0299936516223859,0.444899383384003,0,-0.151851155146461,0.157407768995115,-0.0213970077226069,0.0727486633576253,0,0.160503033300536,0.159017940788786,-0.071167954588999,-0.0658741618790784,-0.113432974465399,0,0,0,0,0
ZEC,0.337170810132081,0.141672846591532,0.00165204867779004,0.0163423807821238,0,-0.135390200362957,0.372852122943821,0,0,-0.0398664180872657,0.251511916438257,0,0,0,0,0,0,0
XLM,-0.678189464005357,0,0.24189083368159,0,0,0,0.605213170823607,0.371650242026448,-0.396105455088685,0,0.436005885348071,0.123935566585218,0.231516468627942,0,0,0,0,0
DOGE,0,0.197747382953057,0,0.0333702966299033,0.0942439501609428,0.298529399030859,0,0,0.323243812565522,0.238612356786564,0,0.0385726939245973,-0.00681228288049088,0,0,0,0,0.32942521795094
DGB,0,0,0,0,-0.224114918087905,-0.0748112809304664,0,0.300761679817325,-0.17326469672485,0.0214756839564856,0.349307031392254,0,0.0911477372200273,0,0,0,0,0
NEO,0.308902105520443,0,0.185673080925765,0.573524032119222,0.216020014454662,0.187756764217755,0.638983924526676,0,0.115917739783877,-0.145057086777819,0,0.0444661743991514,0,2.04689278794449,0.14720007026692,0,0,-0.113820601302636
BV010082.Index,0,0,0,0,0,-0.0261377683011897,0,0,0,0,0,0.012943669048317,0.0127120805192929,0,0,0,0,-0.0449622338386763
CVIX.Index,0,-0.0600425864635843,0,-0.318731281634318,-0.449415261885009,0,0.0856132541124151,0.0895291626281753,0,0.0211466438252828,0.00983169153113433,0.0251731315023286,0.287749773758828,0,0,0,0,0
DXY.Curncy,0.00887573765292409,0.0159552426970861,0.00193364196174085,0.0164456727059035,-0.0160957116045387,0.000929798697093633,-0.00941498812353337,0.00260869175880542,0,0.00930041850379877,-0.0128454221870764,-0.00363737958006976,-0.00397885017265814,0.08932593701459,0,0,0,0.02279637064939
SPX.Index,0,0.00918046750553416,0.00010554932859038,0,-0.00586188716306337,0,0,0.00505317209401005,-0.00983302150725223,0.00463788014537091,0,0.00349458870912778,0,0,0,0,0,-0.0338869140105458
VIX.Index,0,-0.0397115627747144,-0.000815522723293861,0.275604385585069,-0.229809416444559,-0.199965753830031,0.0169611734343143,0,0,0.209220284756079,0,-0.133692915109393,0,-2.99312072868569,-0.657656579355466,0,0,0
