,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.156920909257663,0.0947098892154777,0.0161109258177134,0,0,0.0653238441412914,0.0871812957489689,0.00968113309078944,0.0805173806957702,0.1301988023496,8.67361737988404e-19,0.0340413959810004,0,0,0,0,0.0153133794923216
ETH,0.249742514313662,0,0.114232190775921,0.017451337401822,0.23915587038824,0,-0.094499069139192,0.270123472725711,0,-0.392527919324174,0,0.188921797401307,0.239360068962669,-0.0632237968600644,0.144957450718252,0,-0.153411217035839,0,0,0
XRP,0,0,0,0,0.0466793011693606,0.260411727094831,0,0.107979724938743,0.121325559612519,0,0.242851261582027,-0.0450977320116186,0,0.183035834965857,-1.73472347597681e-18,-0.136180825445401,0,0,0,-0.0955277028471753
BCH,0.0765914990423684,0.447380821482658,0,0,0.194265443088785,0,0,0,0.34264946560826,0,0,0.00173856827299653,0,0.0624938145204431,0,0,0,0,0,-0.0752457914146951
LTC,0.0818881089053538,0.292072843265686,0,0.202972643232472,0,0,0.104429891436745,0,0.00878710200776145,0.171694481064679,0,0,0,0,0,0,0,0,0,0.0173010890725283
EOS,0,0,0.191323917494412,0,0.0588127974125774,0,0,-0.024119775128164,0,0.0867765156810567,0.323054169256622,-0.108697860765461,0,0.083223794412087,0.343503256262659,0,-0.298449332966976,0,0,-0.0398063158535446
ADA,-1.38777878078145e-17,0.16439357335501,0,-0.0791307713227938,0.0828561738854556,0.51774313825738,0,-0.049161543973721,0.101418002645682,0.0563823104985558,0.128027569752288,0,0,0.0963692777246361,0.0179693688321088,0,0,0,0,-0.0569174857264679
XLM,0,0,0.246499349380062,0,0,0.04529959787142,0.0235732931579849,0,0.0457720676764362,0.105793596337361,0,0.202344076465455,0.0781309743733995,0.00741054893533169,0.135739046486395,0,0,0,0,0
NEO,0.0730591918097682,0.583155727492874,0,0.0890672435182898,0,0,0.0845111551358778,0,0,0,0,0,0,0,0.275043997817905,0,0,0,0,-0.0917956323147441
MIOTA,0,0,0.0745608963523393,0,0.133815847846524,0.0550144222886102,0,0.135753737353664,0.248223883836699,0,0.086751554216018,0.0707354021612337,0.109296254785349,0.0317808780295607,0.107505453244451,0,0,0,0,-0.0494808088879836
XMR,0.670878839217571,0,0,0,0.318996215523347,0,0,0.25193304249047,0.165416110625628,0,0,0.0994966108920358,0,-0.403534555553107,0,0,0,0,0,0.0377151240540918
TRX,0,6.93889390390723e-18,0,0.135598424388527,0,0,0,0.10371382094505,0,0.207198568889457,0,0,0.281571201951382,0.0531052610954499,0,0,0,0,0,0.0548392986282314
DASH,0.348299155092051,0.213433807994633,0,0.0544936521030474,0,0,0.11652653787599,0,0.0337756688582359,0,0.0240476774455954,0.0927404017768733,0,0.0191783908840463,0,0,0,0,0,0.0525139915193959
XEM,0,0,-0.0265605656503296,-0.0463119893127748,0,-0.087998190709947,0.334639672237699,0.477278745214601,0.136064596061348,-0.0381946501164033,0,0.136319782770808,0,0,0,0,0,0,0,0.110503933119627
ETC,-0.303648814429234,0,0.310871490952853,0.125490909387951,0,0.386144165447574,-0.0918718487682499,0,0.205971769329694,0.257797572583194,-0.108506195262897,0.0951166255013529,0,0,0,0,0,0,0,0.0150428288610724
BV010082.Index,0,-0.0296776948865235,-0.0246149098731415,0,0.0260078243388334,0,0,0.0628045098551965,0,0,0,-0.0661694169869139,0.118070617350549,0,0,0,0,0,0,-0.048488984879762
CVIX.Index,0,-0.189311864092928,0.0960219234214089,-0.154767386690914,0.108319814988002,-0.0306286512693873,0.127241630576784,0.0347394661272322,0,0.00530253419837919,0,0.0499388633977761,0.170668281871766,-0.223099398170925,0,0,0,0,0,0.039388905090127
DXY.Curncy,0,0.0237328691683226,0.0125725571200802,-0.016845601994473,-0.00371391368805947,0,0,-0.00310233711045592,0,0,-0.0248987677488929,-0.00740186239892782,0.0170841473444536,-0.00431805423611611,0.00451946477746884,0.0424415919817452,0,0,0,0.00849134047798102
SPX.Index,0,0,-0.0596031719390041,0.00780606370350502,0.0240584433022026,0,0,0,0,0,0.0317253934697568,-0.0582566829067076,0,0.0436414582670535,0,0,0,0,0,-0.0676912279749303
VIX.Index,-0.808966149187938,-0.43170076091562,0.193608440411266,0.0235858649112981,0,0.19074282199883,0,0,0.0354434104851,-0.0101267955920837,0.0814034695339579,0,0,0,0.214145667965751,-1.02249034912229,0,0,-5.70455174033274,0
