,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.161003706828167,-0.193300028432213,0.178706351611437,0,0.0747965358476744,0.170770794980644,0,0.205899232536441,0.0662400104546318,0,0,0,0,0.0216948036690863,0,0,0,0,0.0500324830146491
ETH,0.195064737768372,0,3.46944695195361e-18,0,0.122396104494367,-0.0522860026615191,0.0185364639943694,0,0.106597918529755,0,0.168846093025343,0.0981899273650076,0.117324643963621,0.133479499024032,0,0,0,0,0,0.0458623218260652
XRP,1.73472347597681e-18,0,0,0,0.358373449980193,-0.0203932841809401,0.109661948950037,0,-0.140642071174095,0.209525508619842,0,0.0478599220631964,0.220294854842377,0.0610514235251329,0,0,0.0713811010575548,0,0,0.0428090965740913
BCH,0.2151057310944,0,0,0,0,-0.0204341013852009,0.348675716670373,0.136038741189664,0.136783423695467,0,0.1523387013781,0.0795321547875582,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.509802834763023,0.022957472767709,0,-0.110217885698886,0.288920248222295,0,0.305006041046088,0.158222872142351,0.216512251417112,0,0.074855629256501,0,0,0
XLM,0.194921791399028,-0.235354628723647,0,0,-0.186511387464761,0,0,0.264976091119362,0.281906699628724,-0.0701138008063783,0.238936695002215,0,0,0.30118179566422,0.124904488806684,0,-0.0102995090035796,0,0,0
LTC,0,0,0,0.257767457781341,0.300887463085769,0.040665153987873,0,0.157927804471215,0.0630165727798467,0.0261348883793065,0,0.178039019975714,0,-0.021256529535237,0,0,0,0,0,0.138590145928446
ADA,0,0,0,0.478104006528303,0,0.266151576416362,0,0,0,0,0.105669932465989,0,0.119504270289488,0,0,0,0,0,0,-0.0397110838324286
XMR,0.30681268723057,0,0,0.316756998103839,1.73472347597681e-18,0.0973914462724088,0,0,0,0.0308880421649339,0,0.14444288390084,0,0.1483492787427,0,0,0,0,0,-0.0415747925711898
MIOTA,0.391455782275433,0,0.378054254334095,0,-0.267665955825269,0.231248125569601,0,-0.222078715107361,0,0,0,6.93889390390723e-18,0.0131314138437071,0.807740560657413,0,0,0,0,0,0.0139672941385822
TRX,0,0.4834283598295,-6.93889390390723e-18,0,0.40039674250843,0.0805053146584979,0,0.351989142365006,0,0,0,-0.170331881407087,0,0.18929194716614,-0.313999683681035,0,0,0,0,0.0096906250477819
ETC,0.41139787519454,0.611621749769718,0,0,0,0.0741883787749263,0,-0.205739227530674,0.0759964300466518,0.453900731699058,-0.31292519475817,0,0,-0.127430400727669,0.112539007525364,0,0,0,0,-0.0410093872243387
DASH,0,0.292799211836323,-0.137474857395197,0,0,0,0,0.164917119794651,0,0.0562279900591432,0,0.0775703976047531,0,0.39769075553178,0,0,-0.0776718097249794,0,0,-0.013117293557984
NEO,0,0.538406689380605,0,0,0,0,0,0.0218111587451074,0,0.407876493585374,0.0849739758954643,-0.141879113042721,0.0821898122393396,0,0.250767340922218,0,0,0,0,0.14572156558818
XEM,0.23718581279037,0.346307540560344,0,0,0,0.247279069481055,-0.216246097939221,0.161222492167375,0,0,0,0,0.29485308911783,0.138681373131662,0,0,-0.220493299294411,0,0,0.0980165151071094
BV010082.Index,0.0806586198684025,-0.116439060126545,0.085187284548597,-0.0331694640669497,-0.0357821271093386,0,0,0,0.0210356857798092,-0.0039568133247209,0.0387390202691902,0.0252789337177586,0.0413437986789515,-0.0319017247978342,0.0311821521019736,0,-0.104610161505987,0,0,-0.0351121863245738
CVIX.Index,-0.185954170478518,0.188546841714882,0,0,0.00908553823693957,0.021086632406778,-0.0212975128313826,-3.46944695195361e-18,0.00859882836089247,0.0267203466581033,0,0.0940384965325293,0,0.026269249008117,0.0196908892800189,-0.0785180239596558,0,1.27612346388541,0,0.164156103143251
DXY.Curncy,0,-0.0913961859483583,0.0184920939472913,0,0.00945448777098872,0.00411645175306111,0,-0.0186721659448391,0.0304969419588901,0,0,0.0289514343054222,0,0.0112653370235877,0,0,0.158569196643898,0,0,-0.00173515253348831
SPX.Index,0,0,0,0,-0.0197504052420364,0,0,0.00558133029160083,0,-0.00685229077305747,0,0,0,-2.16840434497101e-19,0.0118738087092048,0,0.016077761081026,0,0,-0.0672735823557871
VIX.Index,0,0,-0.295605552871637,0,-0.111471593590956,-0.12671685804332,0,-0.294639398665334,-0.3048889050012,0,0.207114211823423,1.73472347597681e-18,-0.00618651757872666,0,0.678118941091299,0,0.205377535038762,0,-5.29636980990565,0
