,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,XMR,TRX,LEO,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.35155524640329,-0.123043310683427,0,0.0540228632208378,-0.0659766807755802,0.319773085838969,0,-0.107978767131881,-0.119622181306294,0.257057471514317,0.144491746985445,0,0.112578536507014,0,0,0.0160894501144667,0,0,-0.00196038065917106
ETH,0.306825146964844,0,0.0672156513421921,0.115626699594909,0,0.307896618134757,0.0316424591852183,0,0.0361217110066357,0,0,0,0,0.0436203349841765,0.191146355329728,0,-0.0240050414826583,0,0,0.0484277912763318
XRP,0,0.0877834768319242,0,0,0.00798228378499721,0,0.134344329400538,0,0.20376515882408,0.163205771627107,0.169538030537106,0.243594634751271,-0.106228952792364,0,0,0,0,0,0,0.0073932329239862
BCH,0.16299163145115,0.289349120802125,0.00539378402070742,0,0.274981612622712,0,0,0,0,0,0.0257924643272841,0.0890882619196992,0.0325515680847234,0,0,0,0,0,0,-0.00325940747518578
LTC,0.0758615169946867,0.273680633725349,0,0,0,0.193625741629295,0,0,0.138554794160784,0.180079186745703,0,0,0,0,0.13338617975756,0.175213520313239,0,0,0,0.0512030201114587
EOS,0.0430624243439869,0.0255848483615207,0,0,0.273313598255743,0,0,0.380340740204116,-0.128447106948473,0.378157162564673,0,0.079696001044637,-0.183456152960066,0,0,0,0.031697012969929,0,0,-0.0428114980388469
BNB,0,0,0,0.368783875427277,0,-0.361004014497112,0,0.0643299684947761,0,0,0.132912407767852,0.330462670738699,0,0.35767593462529,0.139128944439675,-0.215847525491769,-0.331556969771244,0,0,-0.0881584242169397
BSV,0.106898020714098,0,0,0,0,0.225894630402519,0.275244067567627,0,0,0,0,0.146275795011729,0.320707833386495,0,0.0947513875883138,-0.0871560654709296,0,0,0,0.0767264121563845
XLM,0,0,0.999835907059205,0,0.286011902288805,0,0,-0.14522737323837,0,0,0.119040096408694,-0.199395827978131,0,0.00000000000000000693889390390723,0.0181448694770622,-0.118685775664779,0,0,0,0
ADA,0,0,0,0,0.115981041960921,0.192751198199559,0,0.0442568305816905,0.216497371678554,0,-0.0000281264755411921,0.272842971856161,0,0,0,0,0.0976210676720089,0,0,0.0111265968749963
XMR,0.119687427136089,-0.104809668743385,0.0038461687280267,0,0,0.232930559700016,0.412011110042842,0,0,0,0,0,0.446338068501927,0,0,0,-0.00157192553588726,0,0,0
TRX,0.122713625854993,0.300897944355015,0.738171788664064,0.332814456429032,0.0254533837838029,-0.0868839000460663,0,0.102241872113566,0,0,0,0,-0.00000000000000000346944695195361,-0.154520318790419,0,0,0.07078096217151,0,0,0.0675297623319046
LEO,0,0.0756110972349476,0,0,-0.00568294415085342,0,0,0.266421649126306,0.0138151854305877,0,0.0985861846172283,0,0,0,0,0.414700824898783,0.231517158126638,0,0,-0.0494509817596246
HT,0,0.345828168374945,0,0,0,0.074492665858218,0.395461495568971,0.111826523621376,0,0,0,0.0550745383625014,0,0,0,0,0.0930354238667996,0,0,0
DASH,0.218278364984029,0,0,0,0.109864429344298,0,0.0143035990729441,0,0,0,0.278785019645529,0,0,0,0,0,0,0,0,-0.00753487168092185
BV010082.INDEX,0,0,0,0,0.342052396474266,0,0.0729771229753945,-0.950188797139297,0,-0.243633856672821,-0.256806493511498,0.263491277708455,0.58514216740206,0,0.295912166634719,0,-0.25373308889967,0,0,-0.0750044835476499
CVIX.INDEX,0.747671961605226,-0.26627632573737,-0.00518474196009144,0,0,0,-0.735963583883519,-0.191279179976128,0.261723839847589,0,-0.387401336206015,0.243201691583025,0.127506553080507,0.358739872061637,0.252785037936774,-0.442123697038141,0,0,0,0.00198416704515879
DXY.INDEX,0.0173574458470885,0,-0.0145360293662236,0.00778517719838602,0,0,-0.0359730004352263,0.00886915170759058,0.0204837882185304,0,-0.048122578827476,0,0,0.0224330549416544,0.00661835852561408,0.00410742429846578,0.014915766756049,0,0.0581240067667852,-0.0103921711925319
SPX.INDEX,0,0,0.0706560518706744,0,0.0566279340351696,-0.0764384656683448,-0.000000000000000000867361737988404,0,-0.011176439557884,0,-0.0186319889798462,0,0.00731837482772366,-0.0130649387554482,0.00723600767981284,0.0760984789759409,-0.0225278084394978,0,0,-0.0944431259123514
VIX.INDEX,0.0229424165103645,0,0.593823459863375,0,0.0000000000000000277555756156289,-0.402740737059348,-0.193424866079628,0,-0.0147086010449799,0.3981187749804,-0.277757147051806,0,-0.407356267766506,0,0,-0.0614082555084421,0.260873535275165,0,-6.17088008867536,0
