,BTC,XRP,LTC,XLM,DASH,DOGE,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0177747208964624,0.125017796930345,0,0.113342746658467,0.108289332315511,0.0778153050321587,0.0335467324104279,-0.0225547755174615,0,0,0,0,-0.033296539027674
XRP,0.621567839756299,0,0.0891193342370682,0.285825517485913,0,0,0,-0.0923465542200506,-0.0939855407314704,0,0,0,0,0
LTC,1.06150805098589,0.257220247363918,0,-0.342019738267593,-0.137606370798849,0.143212065504013,0.0713420333807848,0,0,0,0,0,0,0
XLM,2.02876865371478,0.481697283088006,-0.911174235007468,0,-0.220224407021316,0.148001371362554,-0.226152406409501,0.119325421174302,-0.103698942769334,0,-0.0927796261003794,0,-4.03113484385004,-0.549033443726611
DASH,1.2277809085757,-0.028759739050236,0.315256475053548,0.267157690897045,0,-0.0833161675551043,-0.451791410940053,-0.040185439073304,-0.187892278157088,2.09270605063535,0.0227161248707931,0,0,0.153217609682717
DOGE,0,0,0.196674367190631,0.401165314187727,-0.0128516338309093,0,0.22702926513608,0.23708154914031,0.0925914508048371,0,0.449911379440457,0,0,0
XMR,1.8465817101552,0.204829712127515,0.0531252022732854,0,-0.595260950001292,0.08519563869166,0,-6.7762635780344e-21,0.272798569455686,0.970444146353103,-0.326083370526351,1.78335514246295,-8.49685375879029,-1.04366981296934
XEM,-0.840325544765061,0.311826007034881,0.307122396757911,0,0.521589912372227,0.904237073024321,-0.534254551029395,0,0.275802076398096,2.00407289757851,-0.890978679189348,-4.70736396188689,0,-0.613813882723233
DGB,0.181999265035366,-0.228884964457223,0.493973762925908,0,0.281484412047628,-0.0926858969109433,0.325613964256079,0,0,2.86793363898638,0.0149243698667803,0,0,0.488397797298566
BV010082.Index,0.0257428226772357,-0.0454391587570575,0,0.0684537058138633,0.0964029001020542,-0.144072833886781,0.0445884127722678,0.0242577744434033,0.0665571777420962,0,0.0716550573569095,0,0,0.0529019020311878
CVIX.Index,0.737895039396828,-0.118887515808816,0,-0.037240989405107,-0.301659019843594,0,0,-0.0950019063694658,0.303726882290645,0.547158257689106,0,0.862594308604568,0,0.0527873276469822
DXY.Curncy,6.7762635780344e-21,0,-0.0596419272753339,0.0395806139238993,0,0.0559040658906335,-0.0117902124481574,-0.0194849000665234,-0.0290741999761176,0.177456411703501,0.0927604769486251,0,0,0.0100405069609054
SPX.Index,0.0162797326998399,0.0019656011505908,-0.0105058506406931,0,0.00303406422206701,0.0135412475317971,0,0.00615156874264149,0,0,0,0,0,-0.0873441328406676
VIX.Index,0,0,-0.0884023322146895,0,0.00951485148531656,0.215735087977619,-0.167319306813322,-0.0857239184101434,0.072865123493305,0,-0.0536073582466714,0,-9.70506392781908,0
