,BTC,ETH,XRP,XEM,ETC,LTC,MIOTA,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.179589831045533,0,0.0995688295722594,0.0975515816484705,0,0,0.0200787658148249,0.0599702733526306,0,0.012218205338658,0,0,0,0,0
ETH,0,0,0,-0.010049225880128,0.0716218832134253,0,0,0,0.191897250716189,-0.00109782180943519,-0.0251478443356034,0.0789898700840274,0.028337912101365,0.041360205582922,0,0,0,0,0,0.118773283194259
XRP,0,-0.202455802541249,0,0,-0.434730196157363,-0.16791527745295,0,0.408454199757131,0.284069640244463,0,0.253046135815494,-0.0674399218596939,-0.0251970892834433,0.229234094204317,0.121680614559479,0,0,0,0,0.0671027901010486
XEM,0.169552649771474,-0.169395281135631,0.031217250866442,0,-0.458885541573089,0,0,0,0.0735917218982519,0.245923547895375,0.0531017984594399,0.0626993276127414,-0.0225440023366915,0.195873114374706,0.408184070845073,0,0,0,0,-0.224319054571108
ETC,-0.0615460157644691,0.025964353953452,-0.323435336740958,0.144516039198669,0,0,0,0.27261352713927,0,0.0172788304021936,0.0510657563940747,0,-0.0342646213824252,0,0.146601134160156,0,0,0,0,0.0759577539399663
LTC,0.50755408182835,-0.025436405521426,0,0.154187214264005,0,0,0,0.169763816054501,0.179933771510561,-0.0972428076270594,0,0.119271872338031,0.00728387742903453,0,0.236181302199392,0,0,0,0,0.0626011634905731
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.164157384533484,0.0205990938319957,0.0184616502692111,0.0782529290518882,0.0867092331085266,0,0,0,0.281537226073769,0.301506675372182,0.0625175876389518,0.0263191336604499,-0.00162365689489368,0,0,0,0,0,0,0.0888087931711978
XMR,0,-0.102963689042864,-0.136835893816915,0.17688129771103,-0.173562467582312,0.283681726447908,0,0.565937709154961,0,0.0894393803712476,0.0549429357461011,0,0.0585299883843503,0,-0.155355055435786,0,0,0,0,0
ZEC,0,0.105563428608876,0.012911423165343,0,0,0,0,0.198206934192197,0,0,-0.0322518660079989,0.215167764893425,-0.0184363663965032,0,0.0374191194388861,0,0,0,0,0
XLM,-0.853304279652522,-0.332290590560816,0.425355869565883,-0.221844794028238,-0.14942136655531,-0.436639640463354,0,0.481326569943964,0.745142619345027,-0.527182008543051,0,0.166276771983417,0,0,0.457571005646539,0,0,0,0,0.418348586644086
DOGE,0,0,0,0.302240401317175,0.149598950174234,0.0920842237989846,0,0,0,0.243561438489666,0.165290218488917,0,0.0466990491838047,0,0.093413077955382,0,0,0,0,0
DGB,0.546587584493363,-0.413534323125297,0.772724026343881,-0.089257266658844,0,-0.00348520193394072,0,0,0.497811026621677,-0.310102168764902,-0.496026994905702,0.578913928904141,0,0.396132671896421,0.076007231386141,0,0,0,0,-0.157316045271942
BAT,-0.411943328734472,0,0.156328717172837,0.154986332009871,0.066507157474796,0,0.831603613125316,-0.120501988529669,-0.0277300468425878,-0.0451141795297338,-0.0173878154139703,0.082226123153678,0.0400739328737563,0,0,0,0,0,0,0
NEO,0,0.566833986663384,0.486008834619379,0.0328352977885855,0.527486999390851,0.658759355907729,0,0.163568940064681,0,0.315004980122154,-0.142039961092987,-0.132773174764782,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0146069989090986,0.0199126787090174,-0.0414305156301296,0.0894579278087251,0.0259738087904004,0,-0.085394582166911,0,0.0772912847304663,0.0479954802582334,-0.0329668672661567,0,0.00452000064872655,0,0,0.0728443439646107,0,0,0
CVIX.INDEX,0,0,0.0527361296520158,-0.46205784609626,-0.303787794404671,0,0,0.074263700149461,0,0,0,0.0716201604203415,0.0190836227783113,0,0.189682161098956,0,0,0,0,-0.0558910580902224
DXY.INDEX,0,0.0240329042500761,0.0100940989818095,-0.012924261509055,0.0145132315824543,0.00151214746889542,0,0.00611788006773227,0.00157488307289824,0,0.00653578471976068,-0.00660816280377068,-0.00236219519371968,0,-0.0105385807712865,0,-0.00106005257294987,0,0,0.00929729226829358
SPX.INDEX,0,0.00664299257973681,0,-0.00737482848686189,0.00117387224985914,0,0,0,0.00714784564302254,-0.00551047610959678,0.0039553836538263,0,0.00357058728320888,0,0.000786367368170568,0,0,0,0,-0.0326278885815676
VIX.INDEX,-0.332510884065156,0.00947328145244682,0.0530934307016383,-0.300554588214555,0.392229130906375,0,0,0.127628049599275,-0.11746107839837,0,0.224964260741188,0,-0.0634561883933033,-0.0000000000000000138777878078145,-0.0693207556174814,-3.01674793273204,-0.726695263676295,0,0,0
