,BTC,ETH,XRP,XMR,LTC,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0121370093681551,0,0.188431086159858,0.311527150011741,0.206646980710999,0,0.170352749770725,0,0.0348275419715453,-0.0581268534418543,0.0378616560912232,0.0832854655573237,0,0.163751340615682,0,0,0
ETH,0,0,0,0.128489788873945,-0.183632580523876,0.384188001936892,-0.0812764642718861,0.0100049902862705,0,0.0480978089043031,0,0.14144877399867,0.276431173639738,0,0,0,0,0
XRP,0.0573346079894618,0.199968882281095,0,0,0,0,-0.189065173488942,0.090845869160663,0.140881159034827,0.0527243899576992,0,0.00287389519415301,0,0.207744395115466,0,0,0,0.0976358924684385
XMR,0.730590119495501,0.188472855457111,-0.188167073847583,0,0,0,-0.0863027572738844,0,0,-0.0469268893919962,0.113528385628778,0,-0.105022550543715,0,0.577423592421828,0,0,0
LTC,0.582180819741754,0,0,-0.0694352413921007,0,-0.0888040438433309,0.0875557093179089,0.134940310530875,0,0.123570920943938,0.18597275547568,0.0293872175363132,0.00130849605132025,0,-0.158645234761003,0,0,-8.67361737988404e-19
DASH,0.685871368948127,0,0.0800204563280286,0.216030899711736,-0.511179152216023,0,0.190379142758885,0.155559515055724,0.6117693323589,0.0102892575153173,0.00977588546431506,-0.153575010785187,0,0,0,3.04507878713142,0,0.0562428719237149
ETC,0.430672387542766,0.382657654540735,0,0,0,0,0,0.0268210269231536,0,0.147934459914636,0.291415346414708,0.0654417875910085,0.147469422103326,0,0,0,0,-0.159370629899443
XEM,0,-0.363223233165714,0,-0.272909395016777,0,0.698876328017066,0,0,-0.364406867020577,0.341209119532367,0.163582230437347,0.110085252625806,-0.0529827407254632,0,0,0,0,0.309175325614247
DOGE,0,0,0,-0.0276649449216465,0.222174866376012,0,0.120240624340562,-0.00668738599796806,0,0,0.0415505350229375,0.0193152471754153,0.0562902027620205,0,0,0,0,-0.0857034812834679
ZEC,0.322954617555013,0,0.380183305560013,0.100117652853942,0,0.144033579258723,0,-0.00800271003485702,0,0,0,0.151251748709407,0.413668018695378,-0.34193881084492,0,0,0,0.293999639395906
XLM,-0.641277950694058,0,0,0.0731032008603887,0.208954259312605,0.268672289817061,0.216250025900005,0.131493722688571,-0.422215143517245,0.257291921756327,0,0.283658285986677,0.0931676466977161,0,0.27298802156493,0,0,-0.137044564373169
NEO,0,0.0862868484616787,1.20501621076713,0.320168763255443,-0.257295623386737,-0.408339706165037,-0.0228012041758242,0.155638618959664,0.141347239073439,-0.0235570324444603,0.334859305159271,0,0.0683926588742796,-0.906309163797661,0,0,4.20703773528565,-0.0205937122129734
DGB,1.36177636409207,0,0,-0.31959562568386,-0.93532899365026,0,0.195596604069199,0.0851636897723339,-0.0107920848195029,0.0148689344534497,0,0.163779408584326,0,0,0,0,0,0.0903197016431747
BV010082.Index,0,0,0.0895974804543706,0.0781025421325908,0,-0.0514252057863094,0.0390787062554421,-0.128678497766832,0.15374080930756,-0.0135951153167476,0,-0.0248292883117146,-0.069707882915619,0,-0.303320617746624,0,0,0
CVIX.Index,0.0947696842805734,0.128371134580044,0.187307027849631,0,8.67361737988404e-19,0,0,-0.179129691640009,0.0710738385229973,-0.0500434079983106,-0.0250880446765237,-0.0382287528110969,0,0,0,0,0,0
DXY.Curncy,0,0.0253395290657468,-0.0840877860938583,0,0.0241747793056455,0.0120628380841274,0,-0.0161363452812085,0,-0.000285979916270061,-0.00697560513840117,0.00518167752481935,-0.0120906973162735,0.0990740762418344,0.0517865128961068,0,0,-0.0213002236325166
SPX.Index,0,0.00459797260735224,0.000479463463677666,0,-0.0330072190421601,0.0286742907652581,-0.0114790704897281,0.0117165943463851,0,0.00247673312516684,-0.00155750568502439,0.0202897009262101,0,0,0,0,0,-0.0598936784504823
VIX.Index,0,-0.0252160122811475,0,0.253285617245169,0.136592900000277,0.00313938234379495,-0.48613839059402,-0.206933728501574,0,-0.00321510438645879,0.222685062337075,0.0964500289843828,0,0.450979513605474,0.324488037964432,0,-0.875624681844902,0
