,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,8.67361737988404e-19,0,0.073535497526507,0.0226254131264159,0.115056837401086,0.118208777976861,0,0.0232570250814148,0.000883243581918563,0,0,0.145574749744826,0,0,0,0,0,0,0.0235839374474049
ETH,0,0,0,0.167520645154408,0,0.159909651264709,0.0503784329671915,0,0.147292733493567,0.00124780565038111,0,0,0.092030051923202,0,0.328899287400638,0,0,0,0,0
XRP,0,0.231295852732918,0,0.0601158826276606,0,0.0870804239666275,0.0683693898201338,0.00214626156167646,0.0883363910419214,0,0,0.0270077772806853,0,0,0.170402957344735,0,0,0,0,0
BCH,0,0,0,0,0.253087574173752,0.298031183976564,0,0.267211310607706,0,0,0,0,0,0,0.0176092717189301,0,0,0,0,0
BSV,0,0.913196520488867,0.38803207195967,1.33439841003791,0,0,0.640254145398054,-1.69534822990636,0.00191228384342969,-0.0198906414811239,0.125107880821675,0,-0.82247453028769,0,-0.547011754314604,0,0.0419222928200332,0,0,-0.0141912747366383
LTC,0,0.250492475929166,0,0.136833836095681,0.00781196466783761,0,0.300281891619836,0,0,0.000136986449298804,0,0.190622700013004,0,-0.0590199705884239,0.169944218306876,0,0,0,0,0
EOS,0.169670300429634,0.0535370419271992,0.252134590857833,0,0.111489921015452,0.257643431090512,0,0.0659227208704901,-0.180536501459901,0.0011925196008467,-0.0226482674735905,0.103572719472477,0,0,0.290057383494924,-0.192455784050882,0,0,0,-0.0529743976719064
BNB,0.0897657221808585,0.178404006661291,0,0.27367709788533,-0.0595533452414282,0.288453054904092,0.0409224449067402,0,0.0820920764919055,0,0.0539856411697041,0,0,0,0,0,0,0,0,0.0256764057919147
XTZ,0,0.249973438600207,0,1.73472347597681e-18,0.00315581696980971,0,0,0,0,-0.00500938062246269,0.410034864348947,0,0,-0.0797478308796944,0.156349700082054,0,0,0,0,-0.0239844392166331
INNBCL,0,32.5622070471212,9.74947494333923,0,-0.15946971062052,0,-1.84096627331098,0,-1.10312396335129,0,-6.18000762247599,-48.3274457022719,14.4449136030728,15.8442981663814,0,-8.82956925578216,0,0,0,-1.9949179000769
LINK,0,0,0,0,0,0,0.147722863601959,0.0800337699833811,0.160026268698942,-0.00654319552167559,0,0,0,0,0.333742827059147,-0.0839079098630638,0,0,0,-0.109087972731873
ADA,0,0.0541309664802938,0,0,-0.0161065577478529,0.28813815051538,0.148714137955803,0,0,0.00181797967955713,0.112240706595067,0,0.12948791169535,0,0.208781348690933,0,0,0,0,0
XLM,0,0.155230811202401,0.242150796002431,0.105617446501438,0,0,0,0.141800004858175,0,-0.00207915606921018,0,0.000170813316585242,0,0,0,0,0,0,0,0
LEO,0.211757765918733,0,0,0,-0.0107188147199575,-0.220318507344605,0,0.159189198668728,0.0212091867502963,0.00851578105582654,0.02244027422519,0,0.226664157675811,0,0,-0.0403610643993232,0.0539567329686646,0,0,0
TRX,0,0.0674147254506427,0.252806723637981,3.46944695195361e-18,0.0147128522905474,0.190926350973528,0.124914323681791,0,0.0115432162372478,-0.00213478773730854,0,0.296228974127305,0.0511867462104413,0,0,0,-0.0143706943746233,0,0,0
BV010082.Index,-0.670571241252918,1.28793618631323,-0.7354525648414,0,0.173474871108665,0.00316563645461088,-0.579647589635304,-1.00266586667789,-0.999790176003067,-0.0231053740900689,0.334626892366458,0,1.52963420712253,0,0,0,0,0,0,-0.109693490760372
CVIX.Index,0,-0.10280155499989,0,0,0.0471446756557644,0,0,0,-0.20023982374159,-0.00514192018118684,0,0.410376765031993,0,-0.0971173462086551,-0.312289370921644,0.039795848579327,0,0,0.743074527640633,0.14756274794995
DXY.Curncy,0,0,-0.0106078223783501,0.00228203297175639,0.00224554753546303,-0.0235197809839279,0,0.0195111876349898,-0.0125361429696798,-0.000465971878445779,0,0,0.0391534565266953,0,0,0.0405737819767988,-0.0282764939667852,0,0,0
SPX.Index,0,0,-0.00410767145703181,-0.0159203659959474,0,0.0216934401521811,0,0,0,0,-0.00176407832340508,0.0273057644542448,0,0,0.0512192839722241,0.0739851955771949,0.00692624920302793,0,0,-0.107386667518349
VIX.Index,0,0,0,-0.0299430049062951,-0.0094196250990236,0,0,0,0.0410588979990709,-0.011487925737341,0.0773788421057824,0,-0.332946296017038,0,0,-0.198872617002844,0,0,-3.57117288331164,0
