,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00202572793155747,0,-0.15167288094029,0.226884556491745,0.20035944933194,0.0147324724244725,0.0162406396055523,0,0.140836107081869,0.0550610725733208,0,0,-0.0858423515540826,0,0,0,0,0,0.0599457538827662
ETH,0,0,0.17088147869632,0,0,0,0.224732723994996,0,0.148500147456308,0,0,0.0543730033488042,0.0260674245780384,0.0494208040146035,0.226619512182594,0,0,0,0,0.132705920916621
XRP,0,0.17775739473066,0,0.00189939006725787,0,0.160669376593703,0,0.266119066861288,0.0880690940120963,0.0147068561328752,-0.0315441911921257,0.0430353699548505,-0.231794762475885,0.217373069013417,0.09412787165821,0,0,0,0,-0.0217791963691422
BCH,0,0,0.478015192219068,0,-0.847201030601376,0.546610376483538,0.439356327336745,0,-0.343488034396341,0.544760012042256,0.00311857712867429,0.151447203529346,0.776519804284523,-1.4669519134587,0.224378341945073,0,0,0,0,-0.93788443620065
LTC,0.325249900518654,-0.0558845848600396,0,-0.0451294163940166,0,0,0.211775999656109,-0.139254311335441,-0.0382259626981784,0,0.127231516161003,0.0137311643619429,0.105611438791383,0.00657919598121701,0.188337145996182,0,0,0,0,0
XEM,0.372900079494507,0.0233763292019054,0.227134406286602,0,0.177102543905108,0,0,0.000000000000000000216840434497101,-0.0352178288662194,0.249811822640145,0,0.115098777402968,-0.143041824363404,0.0229388945963951,0,0,0,0,0,0
ETC,0,0.297497210907258,0.173388315953398,0,0.337002808309533,0.027924070338267,0,0.194818902725249,0,0.0185570224285044,-0.0442535225565138,0.00270930344438913,0,-0.0335731786136278,-0.0107612320920193,0,0,0,0,0
DASH,0.175947808498397,0.112719279625836,0.0356325369886423,-0.0472094862514098,0.0524577335835085,0.20004172303936,0.159993610472829,0,0.0509882567749005,0.165805438457756,0.0649534910393598,0,-0.108935742183437,0,0,0,0,0,0,0
MIOTA,0.543691001253169,0,1.14933810526431,0,0,-0.0324421651406433,0.145531307774195,0.0758283701866096,0,0,0.0380423033420038,0.0248018913151075,0,0.121761347181236,-0.00000000000000000346944695195361,0,0,0,0,0
XMR,0,0,0,0,0.13204763590724,0.136250275944238,0,0.449459420875838,0,0,-0.0165109718522791,0,0,0.264591732369148,0.0206357506249438,0,0,0,0,0
NEO,0,0.318386316067946,-2.00895814105996,0,0.102574010111675,0.749021652952924,0,0.70785814764202,0,0,0,0.0724415324990212,0,0.126963451334398,0,0,0,0,0,0
EOS,0,0.555114735736929,0,0,-0.485252292176449,0.356681676695423,0,-0.059560403550294,0,0,0.174727947741389,0,0.141181756593818,0.0447672403451295,0,0,0,0,0,0
ZEC,0,0.227857924599292,0,0,0,0,0,0,0.0656499184910522,0,0.0600400896043363,0.0294764777607797,0,0.226149051401526,0.13417289797149,0,0,0,0,0
XLM,-0.334427242053511,-0.0694464111098332,0.285055312420706,0.0430023872750403,0.0148899029992112,0.241214845851791,0,0,0,0.605771222571421,0.0835519466195468,0.0597543335587158,0.257815370845932,0,0.0681722865673696,0,0,0,0,0
DOGE,0.105796120216155,0,0.053196539258116,-0.0943091887952349,0.0423462505433303,0.407256350986338,0,0.025729630596088,0.0810976915795653,0.161564125786511,0.0350899786528156,-0.0552123480860452,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.101767608282924,0,0,-0.00909207347288654,0.00316758956469038,-0.0336148809435931,-0.000000000000000000867361737988404,0.0577437029933157,0.0102489038088477,0.0111866200411874,0,0,0.0424174450856516,-0.0273551781151179,0,0,0,0,0,0.0299262976139095
CVIX.INDEX,-0.0769018014460196,0,0,-0.0691213615853731,0.000488111853245496,0,0.0414964801383956,-0.0827491061064458,0.0561581621248833,0.0374669276193534,0,0.0350570690162953,-0.102893502276574,-0.052636066853387,0.124008986976613,0,0,0,0,0.0235606210668756
DXY.INDEX,0.0467879952438383,0,0,0,0,-0.00487157298437414,0.00666372452042735,0.00066632087755503,0,0.00532898066697321,-0.00896697684939302,0.0015546507317058,0.0037111902167794,-0.00812472621352026,-0.0285859241397508,0,-0.0608165266206019,0,0,-0.0278053361622894
SPX.INDEX,0,0.00941737480495348,0.00719650600509575,-0.00558420861270471,-0.00159422246027174,0,-0.00153587217421363,0.00407353061845143,-0.00682609948039661,0,-0.002087587762947,0.0013497123134188,0,-0.00331478497578581,0,0,0,0,0,-0.0669909598819308
VIX.INDEX,0.221054982693927,0.161762520884217,0,-0.198338893039468,-0.342180129227664,0,0.109737300216639,0,-0.155738971440067,0.0823428670560952,-0.0706602074257688,0.0691698324787736,0.00000000000000000346944695195361,-0.0184761697021697,0.221585079566529,0,0,0,0,0
