,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.155723324045885,0.0739898148720117,0.266587237594968,0.241819790270245,0.1464256734508,0.0620174160643157,0,0.0550158099283163,-1.73472347597681e-18,-0.0992325012039057,0.0206902673687476,-0.0296728232039565,0,0,0,0,0,0
ETH,0,0,0,0.23346384356163,-0.0212442042376493,0,0,0.0319577650606074,0,-0.0132351674865792,0.408551527892207,0.16109713621219,0.0414945847080299,-0.116823022557581,0.230782541802834,0,-0.326077397048574,0,0,0.108763167422165
BCH,0,0,0,0,0,0,0.795925234618638,-0.437130639379857,0.392942070789031,0,0,0.541196264737178,0.11920765226263,-1.31900398856655,0.128257295081252,0,0,0,0,0
XRP,0,0.400662814164712,0,0,0,0,0,-0.0989065817497395,0.0681580533421696,0,0.111480586807971,0,0.0289778088020884,0.292684990220435,0.0171579830160778,0,0,0,0,0
LTC,0,0,0,0.0597363703223683,0,-0.0998059535989369,0,0.116001977240864,0.088129699325978,0,0.255902502648718,0,0.00110144364632971,0.0226798567724354,0,0,0,0,0,0
DASH,0.25057715957205,0,0.0491118116454714,0,-0.131854882654998,0,0.161049427997973,0.119511208507353,0.0957309392683526,0.0338912166695748,0,0.365818262203658,0.0454948373352907,0,0,0,0,0,0,0.048827453264545
XEM,0.198963309740685,0,-0.0410368298720053,0,-0.0473722941453508,0.109421938619525,0,0,-0.00474767410027932,0,0,0,0.157277714251138,0.17815244265319,0.294017843248433,0,0,0,0,0
MIOTA,0,0.221842213437116,-0.140628519424344,0.0269479114058291,0.277316838040049,0.537048898080216,0,0,-0.0438903781439905,0.0632164181549376,0,0.0487284027593742,0,0.45489257483159,0,0,0,0,0,0.0597697207812852
XMR,0,0,0.113716008815081,0.117115302968605,0,0.351021464063169,0,0.0632658750374901,0,0.103264799434369,0,0.0230318181683214,0.0462052678103625,0.239561423333731,-0.109504725563413,0,0,0,0,0
NEO,0,-0.105566186579221,0,0,0,0,0.249525583289786,0.284339021850402,0.0910886492063173,0,0,0,0.0820045781236854,0.0772992117336572,-0.0249309222331456,0,0,0,0,-0.0720768380955308
ETC,0.0705941655687399,0.312507748099896,0,0.181734840205779,0.294485465506792,0.119195089285802,-0.0156047200748092,0,0.0255522881696595,0,0,0,0,-0.181838399917466,0,0,0,0,0,0
ZEC,-0.062324614518809,0.051330485722654,0.0293646178742495,0,3.46944695195361e-18,0.0763243408166772,-0.00872909514676781,0.209300093369009,0.037345432943772,0.00234278693112244,0.119893381648317,0,0.0350409531497298,0.184429444372982,0,0,0,0,0,0.101316575882309
EOS,0.31760421232049,0.171628003706988,0,0,-0.495379937312429,-0.318551423186322,0,0,0,0.0190390819576639,0.510004440933877,0.587751221743363,0,0.334125951047115,0,0,0,0,0,0
XLM,0,0.203217013986299,-0.00799842121860265,0,0,-0.214840106429245,0.189368669845468,0.102131854621512,0.48015659011487,-0.0135297520889031,0,0.0426180557862294,0.100372020909047,0,0.178235840155754,0,0,0,0,0
BAT,0.181016148605201,0.103883224736234,-0.0243736772165585,0,0,0.0566548121152133,0.194742898726307,0.0394350536825669,0,0.0544297463162038,0,0.183669396831045,-0.0306187100152428,0.334896686897674,0,0,0,0,0,-0.136993046319832
BV010082.Index,-0.068197662853907,0,-0.016903367942134,0,0,0,0,-0.0398900726665932,0.00144501687350387,-0.0146216568128482,0,0.057951273329387,0,0,0.0342087611169407,0,0,0,0,0
CVIX.Index,0,0,-0.0100592497860501,0.103199327567647,0.0456458657903021,-0.069970152911687,0,0.0344826747915172,0,0.0153330075878636,0,-0.0996638410635081,0.0249112724932459,-0.0358126311457685,0.0194624788046216,0,0,0,0,0.0940362608629779
DXY.Curncy,0.00138222003109211,-0.00103351469128771,2.06398441650948e-05,0,0.0190398246057415,0,8.5929502959995e-05,0.011309641785108,0.0182100790729376,-0.00249941007460712,0,-0.0270921807285222,0.00387127587191408,-0.0151506066685032,0.00664735260415013,0,-0.0113678761978018,0,0,0.000346846394729446
SPX.Index,0,0,0.0022620119760327,0,0.00303741701434758,-0.0189971217769485,0,0.00560088603686561,-0.00260255444074173,0.00367137690385956,-0.00523700542870185,0,0.00257394102688973,0.00355265492137785,0,0,0,0,0,-0.052053116199705
VIX.Index,1.73472347597681e-18,0,0,0,0.0439441600281298,-0.255159279180663,0.361819286166578,0.197646902324716,0.155559113218303,-0.502142981590932,0,0,-0.15737480094368,0,0,0,1.54497229542618,0,0,0
