,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.10025416902403,0,0.400053544218216,0.00282022635657944,0,0.147446046172567,0.0614463055349371,0.0584670960304767,0,0.0272010570532921,0,0,0,0,0,0,0,0
INNBCL,10.5833476421542,0,17.1879428876658,0,0,0,0,-29.1408201777807,-9.82205475054732,4.96180296102529,4.69503960029719,2.07063325777666,14.1143812487116,0,-14.0723318151378,-8.29078139538823,0,0,13.5626819870905,0
ETH,0,9.60655069571588e-05,0,0,0.195458942249564,0.0626137802907603,0.0748056312238739,0.0568139524697712,0.020212876201966,0.2345051466059,0.0473673416652627,0.0533660199399643,0,0.0192454971581951,0.236800907896298,0,0,0,0,0
XRP,0,-0.00137069547339657,0.154852462926388,0,0,0,0,0.278561479871307,0,0,0,0.00831239021821662,0,0.320792201884019,0,0,-0.015063310900778,0,0,0.0114241795622688
BCH,0.171654617848256,-0.00359366789826003,0.267076475196657,0.246860792826849,0,0.281981277231508,0,0.0438846393216537,0,0.0533750214744808,0.02078559004203,0,0,0,0,0,0,0,0,0
BSV,0,-0.0091413600744133,0,0,0.302365874896451,0,0,0.331426878991926,0.155059979049342,0,0,0,0.146526845373472,0,0.093397603141045,0.0746513842241201,0.102100446558251,0,0,-0.0528730037102003
LTC,0,0.00310216410285834,0,0,0,0.189136046781392,0,0,0.410518105195931,0,0,-0.0144653492661763,0,0.310034721103505,0,0,0.0391814308348194,0,0,-0.0336514545805307
BNB,0.0780538877198076,-0.00485526644069341,0.320960264144745,0.0725169849726107,0.401468909330144,0,0,0,0,0,0,0.091870937770869,0,0,0,0,0,0,0,0.00966385117261713
EOS,0,-0.00206699628556433,0.303953098749308,0,0,0.195577916699949,0.254545800559965,0,0,0,0,-0.0278615223903861,0.050985821148516,0.147405879053652,0.0297317377304299,0,-0.0129895138064785,0,0,0
XTZ,0,-0.000441090302510481,0.161531050522471,0,0,0.236291263797156,0,0.0898407418928158,0,0,0,0.482891315588136,0,0,0,0,0,0,0,0
TAGZ5,0,-0.0126076624670672,0.356091275645443,0,0.89012682437369,0,0,-1.23280910906829,0,0.536710463194508,0,0.364718784833949,0,0,0.0609739969820473,-0.448751046858368,0.0919256193694015,0,0,0.0238389222818794
LINK,0,-0.0060935386828898,0.200911231889325,0,0.0791163977020883,0,0,0.185392353416366,0,0.452730069686309,-0.014649439822595,0,0,0.124964250614112,0,0,0,0,0,0.0272129930173415
XLM,0,0.00114720319308629,0,0.245435172271618,0.289274959995085,0,0.0210357166333099,0.206095785039881,0,0.0156381085556306,0,0,0,0,0.0722536349386439,0,0.0317134026326026,0,0,0.00627450410495411
ADA,0,-0.0016165567714756,0,0,0.107255806506143,0,0.555656812582326,0.16775878912103,0,0.115692384187952,0,0,0,0,0.0369452124692416,0,0,0,0,0
XMR,0.0450267648667417,0,0.166987324080446,0.00981663699617452,0,0.0827994284936798,0,0.127285255246885,0.317927087143607,0.121089785347032,0,0.00594373629195101,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.00403010337860062,0.170444550232028,0,0,0.336226184851394,0,-0.984672614105652,-0.355772856282561,-0.835409786068589,0.0877474436683353,0.543300177704372,1.20388187809348,0,0,0,0.100727554851032,0,0.0683457241939885,-0.00578112417420214
CVIX.Index,0,-0.00621705811301892,0,0,0,0,0,-0.389818562456736,0,0.280933805205857,-0.198705721074405,0,0,0,0,0.384138642521872,0,0,-0.686412253534466,0.282706841887053
DXY.Curncy,0.0918498157138155,-0.000198893999438613,0,-0.116838881179428,0,0,0,0.0203865438675645,0,0.0185254600145379,0.00307068213558527,-0.0118818606776019,0.0101213259098742,0,0,0,-0.0170642978534108,0,-0.0160781081921292,-0.00851479959546093
SPX.Index,0,0.00147194483172206,0,0,0,-0.139535564580058,0,0,0,0,0,0.16269516508202,0,0,-0.0570994229230626,0.241865222058403,0,0,0,-0.206002529538453
VIX.Index,0,0.0315505882883683,0,0,0.242646539228461,0,0,-1.28657362935409,0,-0.222975189772769,0.159872651998863,0,0.587798549934935,0,0.587706991757413,0.293275813995818,0.273236588465431,0,-1.6002851733813,0
