,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.265541367510541,-0.039288796783558,-0.0756431325246278,0.074654892223969,0.312514794083276,0.257982374839015,0.0415083090526582,-0.178156163066472,0,0.23408308210309,0.106879250508276,-0.301889678215467,0,0,0,0,0.0747060641301024
ETH,0.569592435465254,0,-0.101113874295488,-0.0567147426777919,0,0.230988891283897,0.771542113791153,-0.083401901702414,-0.134329508140467,-0.0237679611419997,0.350069237962838,-0.128241668455142,-0.235028024472441,0.335507515599214,-0.284240707723304,0,0,0
XRP,-0.606663859641243,0,0,-0.121311488554037,-0.305982332316679,0.126081230058141,0,-0.0451911438099367,0.0259430394248183,0,1.30052591163462,-0.434289631772247,0.227097125582229,0,0.541768860437924,0,0,0
LTC,0,0,0.0027270363805509,0,0.057514204401633,0.150816876603145,0.107519480649083,-0.164369170449747,0,0.417113890937461,0,0.091455445320158,0,0,0,0,0,-0.263233641731333
DASH,-0.295131158137656,0.0588781400810178,0,0.0751867312669393,0,0,0,0.0950470773417443,0.153761501488897,-0.183037179741365,-0.0881489865269685,0.0726321207164054,-0.0117057274586138,0.158876734567505,0.63279676811789,0,0,-0.130194812174718
ETC,0.193288766252681,0.415933495248452,-0.0510432747285758,0.183665643386605,0.0265825736107742,0,0,0.0366227404437112,-0.00336462937753295,0.13623008867593,0,0.11182701436744,-0.205877784770419,-1.29937443688921,0.145204227837312,0,0,-0.187315424106922
XMR,0.0579061297159636,0.347498764686782,0.0570943378819742,0.0518492499891498,-0.0656215244848206,0,0,0.267844548916996,0.250002472871627,0,-0.0757069428486568,0.0961740513881623,-0.106374472696876,0,-0.585804113324138,0,0,0
XEM,-0.270200925016678,0.13145980592111,0,0,0.125446768469812,-0.27471395246461,0.427596726053444,0,0,0,0.0626883734819735,0.326907664550182,0.254710029417905,0,0,0,0,-0.201009589171744
ZEC,0,0,0.023783633663318,-0.0217536080368399,0.171440068292105,0,0.164843952808815,-0.058937659179749,0,0.305546591154271,-0.120132611305558,0,-0.059928627984004,0,0.152927526222173,0,0,0
DOGE,0,0.126327319010136,-0.109036064948836,0.283269217646317,0.040094590570623,-0.132517400562365,0,-0.180006176716739,0.238817937910343,0,0.384140378250095,0,0.144329363659266,0,0,0,0,0.380344547149516
XLM,0.0861863761502294,0.0673806469956933,0.35469061313112,0.22409965613604,0.0726407304998126,0.123089553672326,0,-0.280790860015963,0.104717681280847,0,0,0.279050854441206,0.216505419971063,0,0,0,0,-0.466149988885227
DGB,0,0.181911086235492,-0.0839067573460744,-0.174442127327609,-0.00816338870160195,0,-0.303726717189235,0.230439859512651,0,0.213192665118282,0,0,0,0,0.228940371748781,0,0,-0.66041020531092
NEO,-0.0710382471481343,-0.0855001760294899,-0.0780552575538668,0,0,0,-0.292321996241364,0,0.332631680294831,0,0.092029690749656,0,0,-0.528350603725175,0,0,0,0.0771724292222112
BV010082.INDEX,0.112730376999814,0.0254081284027421,0.00756079121020327,0,0,-0.0956602247510597,-0.0987288621709442,0.0435430633992253,-0.0151150807492915,0,0,0.0320082076328233,0,0,0.236288093693046,0,0,0
CVIX.INDEX,0,0,-0.0343374294351386,0.0595679275628202,-0.0493782576274037,0,0,-0.0523845521480842,0.164658509194903,0.148354918038151,0,0.0512141860353055,0,0,0,0,0,0.338628311079717
DXY.INDEX,0.0169510304438407,0.0087445575647482,0.00147286983365952,0.0102141198997961,-0.00641549355312558,0,0,-0.0000207208179114331,0,0,-0.000000000000000000216840434497101,0.00348834292582541,-0.00616128715007021,0.120152418790674,0.00257443878613631,0,0,0.0220315613572576
SPX.INDEX,0.0325344192591569,0.0245394303162129,-0.0015632691100524,0.00434514704761028,-0.0137076935828111,-0.0174216991868137,-0.0026225986724552,-0.00919519990510341,-0.0163789303544608,-0.0122057231156708,0.00935983151802025,0.0144703003023716,-0.0233465703573374,-0.0446421265018979,0,0,0,-0.0476627959371745
VIX.INDEX,0,0.253676061488508,0,-0.0807828333172501,0,-0.261763378362857,-0.305038178526191,0,0.0327962029213449,0.111482011914278,-0.0285831940900187,-0.12944118887915,0.184160844621286,-0.178580666254719,0.393710977755513,0,0,0
