,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.327090700416709,-0.0292624690495053,0.0014459737030331,0,0,0.315060789085728,0.348685324647773,0,0.0454157931222399,-0.250210676538377,-0.088290487881792,0.179237650632451,0,0,0,0,-0.115393016491227
ETH,0,0,0.0989809023202716,1.73472347597681e-18,-0.0801459754257616,-0.0975021175185182,0.29327860147868,0.762406186263632,-0.12672587298322,0.0103151906969486,-0.448770456760901,0,0.0278981883812531,0,-0.466763246837311,0,0,0
XRP,-1.09002175678996,0.0407473535350999,0,0.0447203790494261,-0.46327680139759,0,0.366047253598742,0.256223614222569,0.736640375393881,-0.19420734935948,0.361879375451945,0.277573527817236,-0.768903012502746,2.4003808681235,0,0,0,0
LTC,-0.162579628581095,-0.13823007193339,0,0,-0.249042469823455,0.0990755148240055,0.328466541492318,0,0.016094397657574,0.363967142974023,-0.0915222024284819,-0.285366956392304,0.0559471197658197,0,-0.239866712079382,0,0,-0.22031382405311
XEM,-0.266730427559201,0,0.114964749297422,0,0,0.193921408025814,0,0.401278649367291,0.0147330317459056,-0.182746657354409,-0.344166398895219,0.487526025457822,0.412864410119186,0,0,0,0,-0.564437677682667
DASH,0,0,-0.0840667083746111,0.0397425282445302,0.118431447954447,0,0,-0.0569129158768636,0.0582563723402436,-0.116046675746232,0.240266825103744,0.0562755593339361,0.061918389931703,0,0,0,0,-0.214139366573562
ETC,0.150907507764946,0.350089844368653,-0.0424732425385202,0.191089838297167,0.0207128353978758,-0.159551954149256,0,0.0793250358403069,-4.33680868994202e-19,0.0333699521973084,0.348165164206126,-0.130545439011011,-0.108000761143714,0,0,0,0,0.298444978120502
XMR,0.175872215132319,0.317388166146142,-0.0479689132040242,-0.150989819416539,0,0,-0.0628216513177347,0,0.141089853428971,-0.116115461222251,0.18706168365417,0.00816706161320964,-0.0140491088152091,0,-0.0328375051554659,0,0,-0.165961747725263
XLM,-0.109235610665867,-0.551508993728729,0.216973984168631,0.0755189430847824,6.93889390390723e-18,0,0.594562439929223,1.1046310806873,0,0.552133466525323,0.0650641711736046,0.079446818048298,-0.0410536849506798,0,0,0,0,0
DOGE,0,0.193971848782704,0,0.315539180702064,0,0,0,0,0.267008754015042,0,0.131074487272216,0.0514478509334985,0.136350079086724,0,0,0,0,0.307890264683927
ZEC,-0.144435342374154,0.0164619746644201,0.0234093574108367,0,-0.0873876243276282,0.105431427284451,0.0567761512637978,0.364995997362509,-0.0497971834136706,0.225655873190573,0,0,0.00999625601655661,0,0,0,0,-0.246220525078073
NEO,-0.602599420243096,0,-0.084518546066738,0,8.67361737988404e-19,-0.0339769190897461,-0.109449464399241,0,0.0104508224300556,0.119112662203893,0.259171853290584,0,0.0914774539347284,0,0,0,0,0
DGB,0,0,0,-0.325234273303881,0,0,0.233356620816403,0,0.024915817657603,0.094232447056294,0,0.197283409576707,0,0,0,0,0,0.216484399221103
BV010082.Index,0.0611488692898183,-0.0866634952704222,0,0,6.74886381147157e-05,0.0365193028781205,-0.0574828578385892,0,0.00557712266698232,0.0317697983391964,-0.084577556833288,0,0.0208045208748012,0,0,0,0,0
CVIX.Index,0.111116197188979,-0.148711355153749,0.051394411892126,0.079355699414825,-0.428689213258091,0,-0.212311008960028,0.482611689947695,0,-0.084972262576013,0.0472046689550218,0,0.149445316822441,0,0,0,0,0
DXY.Curncy,0.0349104683336035,0.0116100009878004,0.000440920177363007,0.00112427422539152,-0.00628101486760564,-0.00815927670168264,0.00374742932059345,1.0842021724855e-19,0.00221140164553567,-0.000191780365079921,0.00170253094817182,6.7762635780344e-21,-0.0037932189878036,0.106258344808828,0.00650052232208952,0,0,0.0326659176574455
SPX.Index,0.0320254956892216,0.0195849713297209,-0.00132282625325674,0.00157942899936226,-0.00822201925348895,0,-0.00521975137198844,0.00189452569477918,0.0082915391099479,0,-0.0126573480761135,-0.00198762447072473,0.0021000804874467,0,0,0,0,-0.0505507988956103
VIX.Index,0,-0.46248364128105,0.0934203169097604,0.0863432692554977,-0.243875554341541,0.0403266529790598,0,0,0,-0.175026724458478,-0.0685521238195817,0.0102364665503053,0.454197453403091,-1.88472110595786,-0.989188921169361,0,0,0
