,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.120502238821439,0,0.0702227713310667,0.139208503618755,0,0.0554258790177233,0,0.0581443629300728,0,0.0382590016614691,0.00574699042864185,0,0,0,0,0,0
ETH,0,0,0.0889626113494148,0.0723095434469737,0,0,0.0364688103400269,0,0.307314626375979,0,0,0.0606272897597338,0,0,0,0,0,0,0,0
XRP,0,0,0,0.227655803834777,0.0147546705526901,0,0,0,0.0419459725947414,0.00929260266652757,0.00750358806936051,0.206343730724032,0,0,0.0306857183130233,0,0,0,0,0
BCH,0,0,0.019756066650781,0,0.246192872550211,0,0,0.131481510867094,0,0.11352269732737,0.0526092745278432,0,0.223304098659017,0,0.0600922882218022,0,0,0,0,0
BSV,0,0,0.498546938463588,1.27308155379485,0,0,0.887887544038659,0,0,-0.288150414622858,-0.386985942433703,0,-1.51489112227495,-0.115665099834962,-0.0564689151268386,0.0304811532550254,0.771634447025585,0,0,-0.142216897360639
LTC,0,0,0.00830383782733529,0.287585868803651,0.0314580377709287,0,0.238885539841124,0,0,0.0764891713890624,0.100912802742674,0,0,0,0,0,0,0,0,0
EOS,0,0,0.192489000034072,0.0124936599837607,0.132441208895901,0.0840487676809454,0,0.129183141721405,-0.00000000000000000346944695195361,0.221958402693307,0,0.13048203413743,0,0,0,0,0,0,0,0
BNB,0,0.131547359740593,0,0.19593444730161,-0.021889565184157,0,0,0,0,0,0.113445988003987,0.184793362485022,0.0433441486569961,0.0389848204423294,0.0713200523176078,0,0,0,0,0.033271271731325
ADA,0,0.210528194247703,0,0,0,0.176634566890378,0.0874266368460867,0,0,0.0172557655942963,0.20773006610867,0.204186220015211,0,0.0326656239564799,0,0,0,0,0,0
ETC,0,0,0,0.091102894616914,0.0981012833019428,0,0,0,0.373305821966387,0,0,0,0,0.163984577631398,0.245232262125391,0,0,0,0,0
XMR,0,0,0,0,-0.0208277972551793,0,0,0.0095801630403128,0.283675840639918,0,0,0,0.0808788095488981,0.0320892332155944,0.186890974807175,0,0,0,0,0
TRX,0,0.0531119744832059,0.209353720353377,0.182633361045454,-0.0000000000000000000271050543121376,0,0,0.00970724093448156,0.228998753441386,0.0694113671921548,0,0,0,0.0108430814773563,0.104556943609767,0,0,0,0,0
XLM,0,0.065738361176112,0.407773457632358,0.156067805097335,-0.0386166769910478,-0.110575230160083,0,0,0,0,0,0.174027084463655,0,0.034568901454783,0.0268306067299074,0,0,0,0,-0.00105637894665076
XTZ,0,0.245742801896034,0,0.00000000000000000173472347597681,-0.00977898074714625,0,0,0.468242706949617,0,0.0193193778020986,0,0,0.031143848090683,0,0.0442818771165087,0,0,0,0,0
DASH,0,0,0,0,0.216363618961148,0,0.335832118824257,0.0924337090598984,-0.318651424989581,0.0829867879328496,0.267382694252938,0.0812944739473897,0,0,0,0,0.314397753600892,0,0,0.133360400495521
BV010082.INDEX,0,0,0,0,0,-0.149855105049917,0,0,0,0.0119163899177101,-0.0914031919624247,0.127913310965595,0.0988469346577475,0,-0.00571192046668227,0,0,0,0,-0.132207449064869
CVIX.INDEX,0,0,0.0747368688923949,-0.000000000000000000867361737988404,0.0615368890532047,-0.104748324392406,-0.0788772366076271,-0.0424416144845431,0.131628383521174,0,0.293734115017469,-0.327223655081802,0,-0.0328372680243581,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000720677140401784,0,0,0.00735594129998818,0,0.00477913652726805,0,0,0,0,0,0,-0.00793817743953509,0,0,-0.0157845319673237
SPX.INDEX,0,0,0,0.010247585088142,0,0.0000000000000000000542101086242752,0,0.0255148314327581,0,0,0,0,0,-0.00995902633481225,-0.00668792975243741,0,0,0,0,-0.0820152161130255
VIX.INDEX,0,0.0377925091978892,0,-0.488852088298289,0.0548516334192628,0,0,0.302339008302184,0,0.160545128040708,-0.0747687011456562,0.313976794670327,-0.490865647336544,0.098151721549161,0,-0.270328368623334,0,0,-5.12383091075318,0
