,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0182160214511252,0,0.206698304525607,0,0,0.223545924864487,0.140638967647312,0,0,0,0,0,0.0829088275216071,0,0,0,0,0,0
ETH,0,0,0,0.243650801451,0.0570727447187778,0.0795520243740948,0,0,0,0.022155084901601,0.0273108934109948,0.292312354768168,0,0.242698891106662,0,0,0,0,0,0
XRP,0,0.181481539402874,0,0.110741665626034,0,0.0576270855206124,0.146062662808879,0.0263778629650857,0,0,0,0.053916974647895,0,0.12000080175463,0,0,0,0,0,0
BCH,0,0.258715924984188,0,0,0.0982651450620448,0,0.181415090277374,0,0,0.187660748260231,0,0,0,0.108520502746919,0,0,0,0,0,0
BSV,0,0,0,0.441024211190168,0,0,0.319400203723852,0.367699288517802,0,0.124153934684301,0,0,-0.321704164577313,0,0.123307539623102,0.00770033941418022,0.0658773195884146,0,0,-0.0675575871798382
LTC,0,0.144349405492741,0,0.0633983983386845,0.0462589928128067,0,0.19338638123023,0,0.283029742481669,0.0129578114974292,0,0.109259254374907,0,0.0000000000000000138777878078145,0.0587427884699396,0,0,0,0,0
EOS,0,0.206795840965161,0,0.319283763279794,0,0,0,0,0,0.163133781698805,0,0.18264260773046,0,0,0,0,0,0,0,0
BNB,0,0.143214847323877,0,0.329504914032799,0,0,0.00974617979214289,0,0,0.0225009371622526,0.166784936342529,0,0,0.155310989419728,0,0,0,0,0,0
ADA,0,0.0994099576445957,0,0.0691448954650012,0,0.181021349479694,0.185238675983691,0,0,0,0,0.223250256509044,0,0.155813867001269,0,0,0,0,0,0
ETC,0,0,0,0,0.209889923874133,0,0.24145199985867,0,0.116300210982863,0,0,0.183738103570145,0.167439914446601,-0.0325508730153817,0.070978743312095,0.0151777227292772,0.122394701646848,0,0.0567529649238707,0
XMR,0.0856216725661501,0.0524227200547607,0,0,0,0,0.295555081907342,0.0998339744568841,0.179573131865061,0,0,0.0562249701384819,0,0.128808247744354,0,0,-0.0204865800225572,0,0,0
TRX,0,0.084896845487062,0,0.208405829203206,0,0.178613586911539,0.0652894030485433,0,0.420205743320472,0,0,0,0,0.0210599082080336,0,0,0,0,0,0
XLM,0,0,0,0.306789226578413,0,0,0.00000000000000000173472347597681,0.104745610488805,0,0.0792560997552484,0.0992533727670259,0,0,0.0501887820947308,0,0,0,0,0,0
XTZ,0,0.307547473557999,0,0,0,0,0,0.531833513627211,0,0,0,0,0.0660659051023283,0,0.191554889530168,-0.169953529507989,0,0,0,-0.019058370954162
DASH,0,0.373196480469086,0,0,0.0580685324360282,0,0.0636168049990276,0,0,0.208957052432964,0,0,0,0.0838286009328462,0,0,0,0,0,0
BV010082.INDEX,0,0.417719405185967,0.40326129220632,0,0.152496606591783,0.25882530029315,-0.528493392938617,-1.41421589191577,0.220659249185324,0.633413688126544,0,0,0,0,-0.211505673689908,0,0,0,0.489372609630928,-0.0415255569011104
CVIX.INDEX,0,0,0,0,0,0.424607623518065,0,0,0.554872761842799,0,-1.13604960367384,-0.115242190380832,0,0.181644588769706,0.0375030625346708,0.355192326507335,0,0,0,0.337198414669651
DXY.INDEX,0,0,-0.00303967728130792,0.000535660325648419,0,0,0,0,0,0,0,0.00324332830762719,0,-0.0136977880081099,0.0133763699991232,0.0539419224850465,-0.0252029190233067,0,0,0
SPX.INDEX,0.00694302827907049,0.130552498087896,0,-0.250135073590925,-0.0117668751862044,0,0.0210340418698368,0,0,0,0,0.106655035029828,-0.260566017331432,0.119428412564544,0.102247039826038,0.213510781756904,0,0,0,-0.238418274814124
VIX.INDEX,-0.29333616353044,0.352056984233501,0,-0.626833319286545,0,0,0,0,0,0,0,0.183031967054307,-0.355344866149065,0.453121705585898,0,0.242542684543327,0.0000389853444803887,0,-2.3043973114978,0
