,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.186787014280183,0,0,0,0.0194898705734697,0.0477162733143994,0,0.0687574898279039,0.101171886076438,0.0235095610528675,0,0,0.125249375583776,0.0211667355430571,0,0,0,0,0
ETH,0.605675135423617,0,0.171518771038934,0,0.00313662172755175,0,0.178292209984225,0,0.0991017788772404,0,0,0,-0.12318538113652,0,0.162799850640897,0,0,0,0,0
XRP,0,0.274720656004852,0,0,0.0642489728695462,0.122606735094752,0.162431851162732,0.17353795367671,0,-0.0443825803947333,4.33680868994202e-19,0,0.264614947167776,0,0,0,0,0,0,0.00245764359912588
BCH,0,0,0.401046577481665,0,0.00976757542529069,0.00546230506839049,0,0,0.208009369826683,-0.199716141043502,0,0,0.540262071481248,-0.131126570379573,0,0,0,0,0,0
EOS,0,0,0,1.03795871981592,0,0.161006902106932,0,0,-0.532842129999927,-0.39843034659805,1.10577287698936,0,2.77555756156289e-17,0,-0.93210715187189,0,0,0,0,0
ADA,0,0,0,0,0.3046945984994,0,-0.0545453835255457,0,0.490862066599218,0.180157470732183,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0756045889378735
LTC,0,0.13985927281104,0.115749053529161,0.0216025481754479,0,0.0435847565358973,0,0,0.0911045589007858,0.150713948472767,0.0536618765258066,0,0,0,0.247812911585674,0,0,0,0,0.0558372214175406
XLM,0,-0.277685789089758,0.575622303210752,0,0.0766681056567739,0.121740980450881,0,0,-0.0875734647330145,-0.086492474118545,0.268672107325583,0.529124495218058,-0.481285330716845,0.246772753883104,0,0,-0.10094236226808,0,0,-0.26776775819468
MIOTA,0.502372693842453,0,-0.109740620625868,0.0755163745750033,-0.0630265656150733,-0.0280405034454339,-0.130757170547697,-0.169730371114078,0,-0.612060832475731,0.187214903008826,0.122882878573913,0,0.83128179041566,0.636519102517106,-0.375223671889936,-0.341499815541767,0,0,0.283437455023343
TRX,0,-0.0332697161040438,0,0.125340737088981,0.140061366796916,0.00128435439828395,0,0,-0.517899083847647,0,0.35517583312072,-0.250083681384664,0.237934087605757,0.636644237741871,0.363281324465866,0,0,0,0,0
NEO,0,0,-0.124349842650087,0,0.0767270940862285,0.0634356630800991,0.425566797921027,0.239282121589474,0.227475792868393,0.175931517446642,0,0,0,0,0.0767228245392244,0,0,0,0,0.202763212218339
DASH,0,0,-0.260189000053865,0.176499014840484,-0.025169329871081,-0.0137136228393922,0.183629342493429,0.271751989553196,0,0.0742470670929886,0,0,0.276841734065336,0.0791547705504355,0.294667358014818,0,0,0,0,0.172266766032038
XMR,0,0,0.388308203312518,0.228896644990358,0,0.0552853820716218,0,0,0,0.132281996644854,-0.085620954883936,0,0,0.168798007211508,0,0,0,0,0,-0.016869107777613
XEM,0,0,0,0,-0.011594916060707,0,0,0.222446101685611,0.380351316839197,0.0821972654602487,0.0616822527129099,0,0,0,0,0,0,0,0,-0.103169828620875
ETC,0,0.289906065510002,0,0.153445198924036,-0.101052229836245,0.0715815764946695,0.511556097838162,0.00243265044893557,0,0.232215652332283,0.0329045469746532,0.131538252129383,0,-0.137846263576251,0,0,0,0,0,-0.153680676516856
BV010082.Index,0,0,0,0,0.0266195809144565,0,0,0,0,0,-0.00363700765689967,0,0.033567802247691,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0405711447364275,-0.0221203041555708,-0.121745272490358,0,0,0.0625218959423183,0,0,0,0,0,0,0,0,0,0,0.031617019663429
DXY.Curncy,0.0193375406270356,0,0.0282305597803326,0,0.00989825485128562,0.00269955206618253,-0.0831253700001028,0,0,0.000949615857627705,-0.00587402332846229,-0.021901328308039,0,0.00514467965447998,0.0480666118017609,0,0.0767211687335485,0,0,-0.00181830774100507
SPX.Index,0,0.0267401665012289,0.0293373289565174,0.0347726082910667,-0.027362868098373,0.00258800805803224,0,0.0307789124661584,-0.0905511107635459,0.00686326685309669,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.103560834998578
VIX.Index,0,0,0.213509638955816,0,-0.0648708913176776,0.0887998614504331,0.439146819070301,-0.537064303377873,0,0.0567840842569355,0.325947755016542,0.308763103313172,0.0392348152467041,-0.665221191610139,-0.269769655077284,0,0,0,-2.3156950864388,0
