,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0832437335966913,-0.121848009868323,0,0,0.2464339183935,0.00697045753816557,0.32448524647102,-0.234751556154634,0.407733260703398,-0.212671158913557,0.0990968785139637,0,0.295992056762889,0.0718371657585293,0,0,0,0,-0.0339390983515728
XRP,0,0,0.1744347008889,0.126550254712706,0,0.202735454702014,-0.0255066997110504,0,0,0,0,-0.0728049046893713,-0.197602082901468,0,0.319934934711824,0,0,0,0,0.219422893572007
ETH,0.311144679333311,0.14695234302738,0,0.00335877947502692,0,0.123663687392648,0.00544975944945617,0.243485429696243,0,0.0655628326271329,0,0,3.46944695195361e-18,0.202308343083514,0.064088253980395,0,0,0,0,0
BCH,0,0.0954243393020773,1.04989435044906,0,0,-0.258853069829888,0.0099006074852933,0,1.01669378211886,-1.23404322544746,0,1.32262222477989,-0.984131093795684,0.208226250631304,-0.128816998427224,0,0.483466129266115,0,0,-0.175763120598966
EOS,0,0,0.0940372835926192,0,0,0.0721785059712536,0.000309515046409857,0.69448763832382,0.23035551048055,0,0,0,0.0650627117079882,-0.338917294139194,0,-0.138988290928388,0,0,0,-0.0213421996442768
XLM,0.729715094436036,0.729802294917467,0,0,0,0,-1.73472347597681e-18,0.391156954145396,0,0,0,0,0,-0.211637796331373,-0.1190207186703,0,0,0,0,-0.067962974898977
BSV,0,0,-0.533031690675898,1.28568657170813,0,-4.94764066777949,0,0,0,0,-2.69980302552175,4.53276506842534,3.43222401423749,0,-1.12653887844489,0,0,0,0,-1.4513565561034
LTC,0,0.160518928670219,0,6.93889390390723e-18,0.388295810595566,-0.0604725482462857,-0.0210358506712994,0,0,-1.38777878078145e-17,0.610798137470008,0,0,-0.0563908882298551,0,0,0,0,0,0.0920997127146523
ADA,0,0.140378033535914,-0.210213878505259,0.262442952879913,0,0.064729500104959,-0.0236546024586783,0,0,0.230876916350299,0.110974653980696,0.0376635614191105,0.411020953547097,0,0,0,0,0,0,-0.0184019585038388
XMR,0.837610692350005,0.197173506033961,0,-0.217993230955559,0.11303232205377,-0.178307273747822,-0.00968464748276673,0,0.17183190694565,0,0.470508293783037,-0.0245388819024644,0,0,-0.0148038389261823,0,0,0,0,-0.0567656274589033
TRX,0,0,0,0.0957440262462166,0,0,9.56158477275562e-05,0,0.235818830162471,0.310996151478928,0,0,0.191960593907426,0.0686754519381755,0,0,0,0,0,0
MIOTA,0.0664554865040839,-0.136722601748956,0,0.0743607687657897,0,0.162244668766421,0.0248239689299818,0.129765975237348,0,0,0.313005667065337,0,-0.170136243695733,0.234907041373819,0.313148652519134,-0.235078608624219,0,0,0,0.0390772248872341
DASH,0,0,0,-0.332091629679535,0.476283967978383,-0.234165569101729,0.0303840517690429,0,0.608489886219454,-0.597630141475525,0.504852670805901,0,0,0.49579353249978,0.186313116774199,0,0.27123736502837,0,0,0.113593839709116
BNB,0,-0.173725489355165,1.039058248976,0,-0.212269818873067,0,0.0055505226736635,0,0,0,0.168645834551763,0,0,0,0.0365285580150965,0,-0.135942929020268,0,0,0
XEM,0.315238695729158,0.250501150781817,0,0,0,0.160074372292007,-0.015435870416343,0,0,0,-0.855201519429247,0.441227003613422,0.715808758778891,0,0,0.0835713111445707,0,0,0,0.0033343636901405
BV010082.Index,0,-0.202164070808819,0.242391561645445,0.0450681947353017,-0.386355334187114,-0.153403430420993,-0.0141359368323002,0.163784822490015,-0.00572628679283704,0.190831690789388,0,0,0,0,0.0254391680326123,0,1.38777878078145e-17,0,0.943415743335333,0.0875032006285931
CVIX.Index,0,-0.20222606453241,0.273952065627986,0.0873207593185074,0,0,-0.00619734289358929,-0.0461146303475873,0,0,-0.149317108659314,-0.0988753990658217,0,0,0.00376259475753453,0,0,0,0,0.147191263083603
DXY.Curncy,0,0.00483353459918656,0,-0.0144543896610635,-0.0549659497566463,-0.00713837001384294,0.00439893312621173,-0.00475184287338861,0,-0.0141954191773775,0.0381533135889716,0.0423352133241103,-0.0111970406936541,0.0318909686754605,-0.00422604534538604,0.0818363835134218,0,0,0,0.0185773469087845
SPX.Index,0.00694893277621487,0,0,0,0.059053806964978,0.0240935226269758,-0.000283155031759952,0,0,0,-0.0694348329659051,0,0,0,-0.0200308184080812,0.149065029410834,0.130760336611506,0,0,-0.121234321643637
VIX.Index,0,0.382967499426277,0,-0.0137404749355442,0.577079390304944,-0.172280894408747,-0.0231325718399639,0.000638322271471203,0,0.160782022788749,-1.21663448045434,0.38965347192887,0.272034386499892,0,-0.114217834465015,1.2197707176982,1.69636334344419,0,-6.18875366453354,0
