,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.164028254574002,0.115050186667968,-0.0970928266147699,0.472786038299667,0.408650722805288,0.0227322293048408,-0.225082425638725,0.257532062656396,-0.121566346579679,0.0911576681162305,-0.272950061222666,-0.31646334171368,-0.1792653005206,0,0,0,0,-0.35885838479275
ETH,0,0,-0.0240375641158131,0.0697582010857668,0.08434546685494,0,0.00250889416754111,0.0198388368686602,0.1191133973295,0,0.126846835165735,0.104796841076853,0,0.216471066558445,-0.126994787405356,0,0,0,0,-0.0663924370069653
BCH,-2.73625754790299,0,0,0,0.3658024081226,-0.0072044620836288,1.70321945315563,0.30524172458247,-1.27752852306397,0,0.191724726270792,0.110793444142229,-1.78228826303221,-0.644301448868781,-0.196635958749831,0,-3.92949866562816,0,0,-0.312392439688527
XRP,0,0,-0.061517752654847,0,-0.0822421018155084,0.237939359725157,0.0424191228351668,0.126255399909734,0.0268195840748054,-0.0637246530604665,0.0253831583580576,-0.000127922952790436,0,0,0,0,0,0,0,0.141971532963023
DASH,-0.52984531356914,0.501295603361085,0.139350498917434,0,0,0,-0.379249646198691,-0.0333423724519256,0.129028139768201,0,-0.366350860921343,-2.71050543121376e-20,1.75452496472699,-0.156108649262858,-0.207325541490318,0,0.889978132817462,0,0,0.199278256117045
LTC,0.123813458579556,0,-0.0802194265429877,0.663825408110977,-0.0892424886975051,0,-0.120424822151381,-0.0187716857951385,0,0,0.0478178806890489,0.0108056964114355,0.294466565276567,0.14758775432209,-0.146423867736476,0,0,0,0,0.166142109747759
MIOTA,0,0,0.242712955226499,0,0,0.246340316447591,0,-0.0702209496654439,0.542441904234518,1.73472347597681e-18,0.0477851539570276,0.138621262893873,0.195677444773853,0.337960137956893,0,0,0,0,0,0.518391836466314
NEO,0,0,0,-0.278611980371156,-0.194835816563471,0,-0.54056093761004,0,0.296769123932916,0,0.347404298357521,0.00269398949119948,0.879047837822005,0,0,0,0,0,0,0
XMR,0,0.184150608710931,-0.0333700940161652,0,0.208346889013551,0,0.0713197472737005,0.155858151166488,0,0.354061327468035,0,0,0,0.0810733652214735,-0.0774943891772332,0,0,0,0,-0.299384215479371
XEM,0.227938481666,0.935401169152819,0.0530480591196419,0.503135858492841,-0.0931266844880287,-0.0825052125928045,-0.00896467138248114,-0.00497342343384704,0.216527800260483,0,-0.186034952710728,-0.0582512921190878,0,0.147127886749271,0,-1.02369115422141,0,0,0,0
ETC,-1.07475501818903,1.68098888567175,0.0366965018931284,0.39601258740719,-0.668371301216238,0.210063821100266,0.377336651891165,0,0,-0.455187967622783,0,-0.0594004827083381,0,-0.32359294507941,0.0726879403816127,0,0,0,0,0.0563982591931928
EOS,1.29395471814597,2.29766395320099,0.330547592159924,0,0.366424191398077,0,-0.172609864579938,0.205103477690179,-0.410956789796404,0,-0.0313359964385078,0,0,-0.869874860423482,0.97958639564488,0,0,0,0,0.373177779776613
ZEC,-0.295901436191562,0,-0.120468855990832,-0.115544477774797,0.233004560572926,0.583272815399048,0.430357240104781,0.113576055356095,-0.143991414713166,0,0.0781757305346985,-0.0251635978736429,0,-0.301792760288434,0.125167727435936,0,0,0,0,-0.277199352313322
ADA,0,1.72243919467438,-0.0384253711326362,0,0,0.226927325950697,0.2188109578049,0.160729510542244,-0.179804710722386,0,-0.105979121353604,-0.398152363686647,-0.212682899116252,0,0.346698265488478,0,0,0,0,0.235042386131667
XLM,-0.183389183656621,-0.853061347486404,0,-6.93889390390723e-18,-0.207819003603191,0.297819000209339,0,-0.0684102976987694,0.470603182637266,0.508669336975608,-0.0535362970327482,0.405524193542077,0,0.316924989877782,0,0,1.75256110581035,0,0,-0.448577151111329
BV010082.Index,-0.0760390695395424,-0.158552650976619,-0.00129800238915542,0,0,0.032680375642042,0.0397965310499709,0.0321765806871356,-0.0209391904578079,-0.00930944696354327,-0.00909740038308506,0.0419671937560889,-3.46944695195361e-18,0,0.0380697591182351,0,0,0,0,-0.0677605378119272
CVIX.Index,-0.283972456828161,0,-0.0669225805365386,0.295660573917273,0,-0.318544313876879,0,-0.0182832553771698,-0.124523853168689,0.0498330092239657,0.011154747643875,0.0255541992645621,0,0.0312906134792517,0,0,0,0,0,0.255422132938761
DXY.Curncy,0.00684307833186686,-0.01894167124938,-0.00727690162191312,0.053091896848678,0,-0.0789619127650221,-0.0281015981942364,0,0,0,0.0039022256775648,0.00464689710510013,0.0205006644343106,0.0263856032397882,0,0,-0.128881021366736,0,0,0.0352827220579212
SPX.Index,0.00757883205166516,-0.0536635742337459,0,0.0743682818699835,0,-0.0942216350392562,-0.0195577895060031,0,-0.00911865570175373,0,0.00940225690348581,0.00410983134456384,0.0466036108816863,0.0215989956242355,0.0136179988696073,0,-0.0838529514144566,0,0,0
VIX.Index,-0.832782529574017,-0.103242252686182,0,0.0880531812381221,-0.115175627995193,0.656132010009535,0.332789748929932,-0.115359324705076,-0.208058179103077,0.028372071779185,0,0.0658370481279399,0,-0.257086686736265,0,-1.29762954334616,0.467966071757043,0,0,0
