,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.302198804399405,0,0,-0.0150532445802576,0.111303389816505,0.0412581982029002,0,0,0,0.118501486031902,0.047347834155703,0,0,0,0,-0.0567296885031104,0,0,-0.0248266810039113
ETH,0,0,0.469090464500012,0,0.18266474502057,1.73472347597681e-18,0,0,0,0.217828354926161,0,0,0,-0.114092535189972,0.00119032869817037,0,0.0428412206865386,0,0,-0.0527862552306508
XRP,0.030429880936359,0.292883075327174,0,-0.0101873956620381,0.0822636853563883,0,0.0586991503921654,0,0.0722727874723957,0,0,0.21043241091265,0,0.0656978921477184,0,0,0,0,0,0.0318419524000704
LTC,0,-0.169086567057687,0.403149662530012,0,0.097942781965989,0.42684700046316,0.0300784696752887,0,0,0,0,-0.0106670677428517,0.101951714644046,-0.214086948801066,0.294692071917999,-0.116358200006254,0,0,0,1.73472347597681e-18
EOS,0,0.453588883395388,0,0.373103307187416,0,0.173054955293724,-0.0820022872284959,0,-0.121059344222781,0,-0.333028492298926,0.392217447867298,0,0,0.123179357805826,-0.253349902571751,0.109441730189187,0,0,0.0148025162756917
BCH,1.24000845623334,0,-0.175626498710027,0.884055624411317,0.00385487558943075,0,0.0984958105794888,0,0.286492377415576,0,0,-0.381162304837406,0.49201228430494,-0.265847510908014,-0.361197704612571,0.0234574244159367,0.0323964871553657,0,0,0
BNB,0,0,0,0,0,-0.278706913488099,0,-0.200816334600282,-0.10498785141686,-0.332814843333924,0.815228195731527,0,0.397288763308548,0.501773010204972,0,0.286915864477063,0,0,0,0.125977544003006
XLM,0,0,0.0705027155687758,0,0,0.0122523232256056,0,0,0.101238687844685,0.133145870776701,0.238077522730536,0.166025283558789,0.111794944580927,0,0,-0.289545939997929,0.018520313000742,0,0,-0.13854546139901
ADA,0,0.0966078808615132,0,0,0,0.400695248455106,0,0,0,0,0,0,0,0.114248663361779,0,0,0,0,0,0
TRX,0,0.0972900861233837,0,0,0,-0.12321223528752,-0.125289142370621,0,0,0,0.32047627966103,0,0.299432456866789,0.593655597926045,0.127023541000931,0,0,0,0,0.179413173261554
BSV,0,0,0,0.138345591288441,-0.00811392539113779,0.287652298398662,0.0487122932801425,0,0.00534703982050365,0,0,0.0947483336218545,0,0.504211639719089,0,0,0.188384688556608,0,0,0.0394815644414327
XMR,0,0,0.56085403640389,0,0,-0.0850372479041563,0,0.336849044629652,0,0.154587333749957,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.100732235335965,-0.12215518746711,0,0,0.172050372375068,0.259638620120107,0,0.232888494649465,0,0,0,0.150655810672703,0.164190867083392,0,-0.102598671846674,0,0,-0.229714414249271
MIOTA,0,0,0.304587073810435,0,0,0,0.101258804275249,0,0.0579625401901944,0.092528099809725,0.0202798342685504,0.164282159187012,0.0753229387186574,0,0,0,-0.056988369155018,0,0,0
NEO,0,-0.29546154333671,0.63073367845368,0.155810454104528,0.342927046880663,0,0,0,0.10992775740201,-0.0910380346944245,0,4.33680868994202e-19,0.341125364839667,-0.0855036707937744,0,0,0.222383889665891,0,0,0.12241604629102
BV010082.Index,-0.213245479954049,0,0.259112135192515,0,-0.185720086205029,0.224066310880776,0.114866039230949,-1.10560513324049,-0.131472454406297,0.589059579299986,-0.144754031735553,0.222404311696072,-0.137164327848358,0.0974911917592731,0.262938055555621,0,-0.0240487660647174,0,0.690682814069498,-0.317317295157526
CVIX.Index,1.38777878078145e-17,0.543095813475455,-1.41681745928706,0,-0.0947568563775866,0,0.013643680913498,0.662811368392231,0,-0.317648255884914,0.000192246940543435,0.505931155331608,-0.103542856380512,0,0.0847171610227437,-0.239095870132775,0,0,0,0.137297878898239
DXY.Curncy,-0.0427512582837815,0,0.0183173863439804,0,-0.0151021444016091,0.0229453179609152,0,0.0504992134374454,0.0264400489869982,0,-0.0790657604200366,0,0.0166068025413242,0,0.0164119393164092,0.0374306403188356,0.0438483353161871,0,0,-0.00589926700254109
SPX.Index,0.06107686873146,0,0.0113815129897555,-0.000524891592162447,-0.00911168751785882,0,-0.00361501922557824,0,-0.0106042725686397,-0.0196779107489432,0,0.00800560413851894,0,0,0.00794909045180364,0.0659383313296379,0,0,0,-0.075318946668019
VIX.Index,0,-0.411407171928127,0.868485408923319,2.77555756156289e-17,-0.429543200861964,0.496201331049126,0.311166258020948,-2.89708162527363,-0.247676166999354,1.5834797168593,-0.360364627354185,0.519085023674764,-0.283317480005506,0,0.602171829694182,-2.25685382141364,0.0649336807731356,0,-0.426923131585635,0
