,BTC,ETH,STO,XRP,BCH,LTC,INNBCL,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.000195822007112473,0,0.358661749682347,0,-0.00183654947682414,0,0,0.241503897476274,0.194436340374746,0,0,0,0,0,0,0,0,0
ETH,0,0,0.00285149372257421,0.505769578364397,0.0544607004192462,-0.182271532400025,0.00195035123344872,0.330168422281094,0,0.00374677513721114,0.298824020307956,0,0,0.0611923522840945,0,0,-0.0197911587288715,0,0.153026949227827,0.0427012171479637
STO,0,0,0,0,0,0,0.0017728352034469,0,0,0,0,0,0,-0.959535522626784,0,0,0,0,0,0
XRP,0,0.287260741547933,0,0,0.105306666409628,0.143263880810102,-0.000523500807565888,0,0.163458143962219,0,0.050208092700568,0,0,0,0,0,0.0317487555939696,0,0,0.0229458411156318
BCH,0.0274179748043189,0.247893213492943,0.00588906107013082,0,0,0.264386302628819,0.00106950629289508,0.332463340625731,3.46944695195361e-18,0.245227302700506,-0.0545820275971528,0,0,0.0136899724981597,0,0.0273855335504752,-0.0298245889635348,0,0,0
LTC,0,0,0.00272709977264282,0,0,0,0.000873020630282326,0.0154345743576348,0.571453578189557,0,-3.46944695195361e-18,0,0,-0.0786017756774427,0.35798366317428,0,0.0716842627247128,0,0,0
INNBCL,2.57775995584938,77.2874664837286,-1.93642901739763,-31.2550756803486,-17.576047901165,44.3343636226363,0,-28.4651669372061,36.7299579720346,5.65889029128342,-28.5619075696914,82.6452565246693,-108.094349826634,20.0400424108048,24.5949353160704,7.89820111788962,-13.8169626552033,0,-133.895486054591,-30.9685289283164
BSV,0,0.249781380634499,0,0,0.468452447498488,0.136704342748514,-0.000177132215617154,0,0,0,0,0,0.32025747960854,-0.163787111058331,0,0.134400512979422,0.0948951515825728,0,0,-0.00762614914578562
EOS,0,0.0478130029724181,0.00294429768179862,0.371118728093491,0.304102112189369,0.10589370564796,0,0.0796617332724468,0,0,-0.0783334369405975,0,0,0.00588894540188829,0.176758193430404,-0.147306559486338,0.0302690139962806,0,0,-0.0535486359166963
BNB,0.103546376612879,0.276755269590059,0.0105121050939145,0,0.19556503887893,0,-0.00533205930866798,-0.0622606352111487,0.380628578183103,0,0.117061488257973,0,0,-0.0299349874942472,0,-0.108636633799682,-0.0338110974575488,0,0,0
XTZ,0,0.812154067023139,0,0,0,0,-0.00680338774523928,0,0,0.235093320881645,0,0.380370174880037,0,0,0,-0.143952638691845,0.00760512256567596,0,0,0
LEO,0,0,0.012235817199601,-0.222270630462218,0,-0.305246473557124,0.00344215192201945,0.0521759722920854,0,0.014971760171143,0.1257159829289,0,0.690023001048832,-0.166080469099963,-0.26056187535654,0,0.0521514420009404,0,0.0149471500766475,0
XLM,0,0,-0.000100860632763551,0,0.119668864605496,0.364432327745999,0,0.0190294219386544,0,0.13708173935609,0.116538107290549,0,0,0.0562097906160039,0,0,0,0,0,0
TAGZ5,-0.320430167810305,0.492566980434777,0.0232522774692539,0,0,0,0.0100020826250738,-0.325833822192641,0,0,0,-1.54887952869326,1.39052620223801,0,-0.490029352869235,0.132521064115581,0,0,0,0.0626431624147452
TRX,0,0,-0.00589983500923768,0,0,0.32711573269015,-0.00354231523035802,0.0830628571448958,0.613517703312064,0.0567431953653084,0,0,0,0,0,0.169685633413759,-0.0726461428178042,0,0,0.113328065173757
BV010082.Index,0,0,0.000908533499546438,0,0,0,-0.00932366681997308,0.915238731591948,-1.28484467920449,-0.275152785396028,-0.75695664070376,0,-0.0167669973098693,0.300877702539869,1.1098545411829,0,0.134036458259479,0,0.322099277408553,0
CVIX.Index,0,-0.468297719722579,-0.0211590776837931,0,0,0.576002474679722,-0.0153431125310997,0,0,0,0,0,0,0,0,0.451642675263537,0,0,-1.94631148061295,0.0549347603515349
DXY.Curncy,0,-0.101469344835717,0.00459494867935133,0,-0.0440724080409391,0.0585869954520823,0.000432591943795699,0.0548843910021953,0,-0.0520073791524081,0.0534375330310448,0.0073838977878202,0,0.0480365125805486,0,0.0213377963107332,-0.0492801206224811,0,0,-0.00700828189905988
SPX.Index,0,0,-0.00523442296017994,0,0.006287499979136,0,-0.00091768669796767,-1.0842021724855e-19,0,0,0,0,0,0.00236454036934643,0,0.00701759270275339,-0.0599899598208794,0,0,-0.3020688058123
VIX.Index,0.125125110657989,0,-0.0149183986428658,0,0,0,0.00101349322558244,8.67361737988404e-19,0,0,-1.73472347597681e-18,0,-0.179030650618508,0.0913553645606192,0,0,-0.189881731179869,0,-3.22974842433804,0
