,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.263226631974237,-0.216198236662307,0.105949813112769,0.282295204468548,0.0454680282860851,0.225514861504804,0.11268955501758,0.0975886182217865,0.0346097881263148,-0.288763048412267,0.105377505663373,0.133644513932033,0,0,0,0,0.0382221748832176
XRP,0,0,0,0.334732055951467,0.0061838933534019,0.164378043153015,0,-0.0125470513087822,0.373537035762468,0.0574755262985655,-0.0899527574249471,-0.298425764539366,-0.0828537411068204,0.287564868307995,0,0,0,0,-0.318782320684783,0
ETH,0,0.270064288486404,0,0.0377052401683445,0.0198809240849775,0.14192419653785,0.276630032924069,0,0,0,0.183112526372599,0,0.0272809114124164,0.0393293389977022,0.18880786679287,0,0.202002198674502,0,0,0
XLM,1.23887546537408,0.528607947642489,0,0,0.156057074959192,-0.0807011149810601,0.117780580818713,-0.0542245126523328,0,-3.46944695195361e-18,-0.137008055434372,0.0730745867528917,-0.12833939296633,-0.0969339138535218,-0.373565597246972,-0.738151302087838,0.256566636203717,0,0,3.46944695195361e-18
BCH,-2.49171415701912,0,0.746765380698662,0.731825239083922,0,0.299931569149989,0,0.138752828942449,0.833878372899288,0,0,0.654529711362213,-1.39559919233172,0.225292230134584,0.898416685523952,0.0928401438037696,0,0,0,0.0764826481575402
EOS,0,0.475354353563477,1.09032519385249,0.204007412928457,-0.192358877199361,0,0,-0.00172997269605871,0,-0.302632030107029,-0.33016803770779,0.156770792321391,0,0,-0.128784743606142,0,0,0,0,0.124188703744349
LTC,0,0,0.571264835985449,0.00960781910594194,0,0,0,-0.00266882225346102,0.126258320384733,0.0924909937318512,0.145410203190149,0,0,-0.00692515152909528,0,0,0,0,0,0.0303809189076577
BSV,16.7199296593222,0,5.5464786758188,-5.15244412880256,3.49654812105757,-3.64384781764568,-5.8444377446968,0,-4.64096296390359,-2.84054230299254,-2.13898237776045,3.69375383683119,8.08310927083626,-3.18202667585934,-7.85567097665341,0,0,0,0,-1.55774142052966
ADA,0,0,0,-1.38777878078145e-17,0.166796627541618,0,0,-0.0248077134542971,0,0.349110764324794,0.20252838875073,0.109074405253272,0.160370487765441,0.0524827877404908,0,0,0,0,0,0
TRX,0.276555266618455,0,0,0,-0.105002723092423,0,0,0.0124114456171347,0.720538263919576,0,0,0.100652698075448,0,0,0,0,0,0,0,0
XMR,0.644095191411214,0,0.168881881288861,0.00714036905629534,-0.103748290018695,0.0312049850102342,0,-0.00288405443019886,0,0,0,0,0.363593077334167,0.0452396780697441,0,0,0,0,0,0
MIOTA,0,0,0,0.241100784300145,0,0.101980525365156,0,0.0504599747005613,0.520741651706667,0,0,0,0,0.0471941641695467,0,0,0,0,0,0
DASH,-0.324250123847272,0,0.0277028521668289,0,-0.35287969144807,0.236314874373714,0.103253144891739,0.0416334309155402,0.616018747689838,0,-0.0787687589955308,0,0,0.227132763236681,0.479506819946738,-0.789778896792373,0,0,0,0.128859027877087
XEM,1.37925178006139,0.290592466565512,-0.332294121251437,0,0.282769540844452,-0.46502444823614,0,-0.0515359586616068,0,-0.461030230332092,0,0.0295998535820209,0.937333699982825,0,-0.565722392070582,0.958686614030371,-0.155629628182773,0,0,-0.0284609457304292
BNB,0.374107762349712,0,0.664347359823594,-0.162718171095056,0.113453271804456,-0.483819733890788,0,-0.0173191386374964,0,-0.225165009570324,-0.174038657213899,0.455226452719601,0.568947003815855,-0.179967042001903,0,-0.595592525803253,0,0,0,-0.0357187818595341
BV010082.Index,0,-0.23708163154191,0.236911288236601,-0.11265136048909,0.0152959836057882,0,0,-0.00236885222382003,0,2.16840434497101e-19,0,0,0,0.0502771830212267,0.0136612168395142,0,0.0976404888778671,0,0,0
CVIX.Index,0,-0.0830901993301205,0.264705191029947,0,0.0238207571996248,-0.177303884482611,0,0.0165764794138115,0,0.100478675350392,-0.0818353334524775,-0.0984836757278603,-0.115607599572396,0,0,0,0,0,0,0.184388794696522
DXY.Curncy,-0.0230321596013594,0.0255067910850472,0,-0.0147232899694872,0,0.00566612790112029,0,0.00380555569968482,0,-0.0126639335271296,0.0253575116139793,0,0.0295930671635586,-0.0086759989179338,0,0.201821794510054,0.0303937908467145,0,0,0
SPX.Index,0,0,-0.0261464957865253,0,-0.00338277562050862,-0.0267959036778206,0.112819301505792,0.00134162822604618,0.0305262838900043,0,-0.0399440112890411,0,0,0.0268651286578049,-0.0688379032906772,0,0.186023868336981,0,0,-0.134570022048161
VIX.Index,0,-0.418154926374849,0,0,0,0.0995961790941617,0.253040634079478,-0.0246508572726878,0,0,-0.442502305035377,0,0.46894080369908,0.128002751440128,0,0,0.648039161625444,0,-5.19849420884988,0
