,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0497919724377992,0.414637132176766,0.00436110140703591,0,0,0.166660884144073,-0.0622713832842218,-0.122538343087423,0,0.0778147596423072,0,-0.126590941665683,0.403302706419797,0,0,0,0,0.084508975945751
ETH,-0.324475435816606,0,-0.454850331889325,0.790922050044453,0.0714194315956977,0.392124712649783,0.599974404649971,0,0.136713130149036,0.207509577242497,0,-0.0620712612076382,0,-0.106292632460783,-0.398163207041084,0,0,0,0,-0.0163742471851476
XRP,0,0.100682457727802,0,0.0572833261812586,0.124418650571311,0.0789093530404118,0,0.241760549412949,0.212052835648289,0.199541374568282,0,0,-0.0247327253362305,0,0,0,0,0,0,-0.0372680553647944
BCH,0.532938413525369,0.783594019401136,0.0834266396140513,0,0,-0.0372857558789565,-0.211109414521567,1.38777878078145e-17,0,0,0,0.0729487988303584,0.000309713866426477,0.0762948822539045,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.219925444622095,0.350687426829302,0,0.768378634989745,0,0.0273917751655281,0,0,0,0,0,0,-0.104370220022262
LTC,0,0.22722681172432,0.244487042443374,0.171749238000688,0.037106987072336,0,-0.34592768912785,0,0.105453733372571,0,0,0.103787153913626,-0.132094486406134,0.395202393719807,0,0,0,0,0,0.155976946534639
ADA,0.452557186198912,0.728924286563743,0.0861160898996947,-0.569708817739375,0,-0.435813385465476,0,0.306006645528406,0.141028824565254,0,-0.149539834085408,0,-0.0332155607631344,-0.0967616660823847,0.72698928362803,0,0.508776575237907,0,-2.06571304337139,-0.277988814557536
XLM,0.601685866228481,0,1.38777878078145e-17,0,0,-0.19929107039637,0,0,0,0.968357741474337,0,0,-0.0132519595993853,0,0,0,0,0,0,-0.0819302809159666
NEO,0,0,0.186620118033358,0.0168693084850776,0.214143580875129,0.0486242359789124,0.0810648682738762,0,0,0,0.072595883075637,0.316327125677485,-0.0541903175578496,0.0575574476412695,0.0784846352267449,0,0,0,0,0.020445321687123
MIOTA,0,0,0.136791429889403,0.428273297820482,0.117415145027464,-0.386043865532156,0,-0.0422899092111212,0.0896313070800508,0,0,0.279588566652338,0.0186072404143865,0.22894650074512,0,0,0,0,0,0.126517930595705
XMR,0,0,0,0.221255241201661,0.0756998470044088,0.234595941792465,0.149984478747634,-0.014437539412154,0.00301796984972621,0,0,0,0.0896993377699558,0,0,0,0,0,0,0.081707275618353
DASH,0,0,0.353450141510154,0,0,0.151645144149518,0,0.12647484099387,0,0,-0.0771490543231475,0,0.0633893116242619,-0.0278522837090016,0,0,0,0,0,0.2379952531403
TRX,0,0,-0.624044110271216,0.856013017760572,0.0529020606167188,0,-1.20589603427817,0,0,0.457695376051751,-0.584105319494478,2.10087426797686,0,0,0,0,0,0,0,-0.293374917159012
XEM,0,0,0.637750585554154,0,-0.12763615409832,0.0953253582499013,0.471715043386128,0,0.0565790669605815,0,-0.051425596697985,0,0.117172492843928,0,0,0,0,0,0,-0.0654818552697739
ETC,0,0,-0.172729073127983,-0.00948200658069145,0.118083320993637,0,0.30406487006409,-0.0869901409527791,0.0610083591371314,-6.93889390390723e-18,0.164777148199738,0.314347833867899,-0.00986205064429917,0.292846831784169,0,0,0,0,0,-0.0825237376741234
BV010082.Index,0,0,0.213848622692906,-0.0702637769193303,-2.16840434497101e-19,0,0,0,0.00997260576079819,-0.0374239449428027,-0.0498591156053934,0.201551077548146,-0.010660388159043,-0.195380759480313,-0.000314510483876523,0,0.224010962273069,0,0,-0.0868988348104182
CVIX.Index,-0.444434249242411,0,0.183804130570293,0,0.0230114064400262,0,0,0,0,-0.175849784165438,0.107856471972971,0,-0.0207517251510784,0.0285266826469354,0,0,0,0,0,0.101374449396922
DXY.Curncy,0,0.0186140200477047,0,-0.0569125548343539,-0.00807106580052126,0.0217936737336176,-3.46944695195361e-18,-0.0328918721959071,0.00628335814683087,0,0,0.110066118147176,-0.0171530968922869,0,-0.0512695131310681,0.0275604931168978,0,0,0,-0.0239072314761325
SPX.Index,0,0,0,0,0.0284662401450217,0.0281406684768231,-0.0411619269294788,0,0.0291832352562697,-0.0788808563829063,0,0.0649422432135417,-0.0265755042884397,0.0105875292545275,0,0,0,0,0,-0.148574092960219
VIX.Index,0,0,0.294631275897843,-0.280722230545493,0,0,-0.65327625176536,0,0.28199660843208,-0.243590349175121,0.454695263949519,0.835041309453473,-0.109592858297091,-0.258035245962164,0,0,0,0,-4.89423604806713,0
