,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0155578659389755,0,0.172539759265749,0.266777394983612,-0.00827351319643214,0,0.0333877156915078,0,0,0.128447768320087,0.108105074157874,0,0,0,0,0,0
XRP,0,0,0.0215632419384416,-0.138806783494899,-0.157755682487899,0.103434239877533,0.126866346119063,0.0702337699212901,0.147240111944474,0.16013820446177,0,0,0,0.0383907586958569,0.447265277134095,0.144814894472757,0,0,0,0.046060634511423
ETH,0,0,0,0.316123091545505,0.353397812377082,-0.161552190617434,0,0.0393814932554731,0,0,0.128999951783791,0,0,0,0.224605455063007,0,-0.0210138363652554,0,0,-0.0893934913978883
BCH,0,0,0.0932768609408438,0,0,0.12921747992575,0.00676826768703134,0.0409788746332555,0.522684158900866,0,0.158458160614578,0.00662206503674756,0,0.18175273221109,0,0,0,0,0,0.211165509850344
EOS,-0.278768774463728,0,0.190472291466428,0.524110467904866,0,0,-0.0825287637766303,0.00629214775935203,-0.131236726824702,0.545133504479128,-0.0340143477032141,0.010159261023472,0.092320393775861,0,0.0853781275254571,-0.212683756409974,-0.167197584655023,0,-1.12055198245299,-0.167920400985367
LTC,0,0,0,0.444572241498406,0.0525232842294341,0,-0.0286199834991767,0.0505982450506093,0.181742271594148,0,0.478196574221029,0,0.424969410464772,0,-0.851265401703035,0.682609907950896,0,0,0,0.123593027764344
XLM,0,0,0.0909504514619987,0.0763317296535185,-5.55111512312578e-17,0.198180079796603,0,0,0.101167286440743,0.141519513721594,0,0,0.225825588512253,0,0,0,0,0,0,0
TRX,-0.400388642176995,0,0.787675614440688,0,1.16505244245202,0.230259368606867,-0.424967808111027,0,-0.468360460161174,0.902358273702536,0.198469600235276,-1.17505829971081,-0.451215753975236,-0.400729377985907,0,0,-0.732704405282142,0,0,0
BSV,0,0,0.109300057505418,0.296461936960178,0,0,0,0,0,0.143020641869672,0.046337860074192,0.148302539162829,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.661451959278125,0,0,0.0804644540347217,0,0,0.172932545672612,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0614973972705917,0.0386417967577974,6.93889390390723e-18,0.341255642592793,0,0.203551020268534,0.072968824819831,0.244863329014471,0,0,0,-0.575330983101388,0.543089082589405,0.0206608622936696,0.268741769965929,0,0,0
MIOTA,0,0,0,0.276258130094905,0,-0.0779170834677079,0.0382723331142332,0,0.0155429744933533,0.238232634736204,-0.142029308825609,0,-0.00679828436593221,0,0.674239258095731,0.0432514806390282,-0.116000181874918,0,0,-0.110176401422418
XMR,0,0.767410124199784,0,0,0,0.409018582810113,0,-0.181860165555053,-0.153805437507175,0.187964219794829,0,-0.412631943907451,0,0,0.581118763707165,-0.470684324771011,-0.229880031977886,0,0,-0.115987438147607
DASH,0.612469571985641,0,0,0.453818528580603,0,-0.0340537958679836,0,-0.100968732893009,-0.199387507931632,0.27051110820142,-0.191298243118926,0.229163313330667,0,0,0,0,0,0,0,-0.129880240318123
XEM,0,0.177290937977308,0.275794226626429,0,2.16840434497101e-19,0,0.106682966467066,0,0,0,0,0.213401223360841,0.0994186312870984,0.0447423398762287,0,0,0.0193786661937512,0,0,0.0509881340637324
BV010082.Index,0,0,0,0.298873695792911,-0.412009274581665,0.122378071115817,0,0.0281436041654261,-0.159457549307107,0.284376536743573,-0.0172115142713565,0,-0.344105834156431,0.0984643129948794,0.186410782671053,0,-0.221880232563234,0,0,-0.118398849812698
CVIX.Index,0,0,0,-0.17252589830928,0,0,0.108655676180753,-0.144933831840358,0,0,-0.062817847747488,-0.336173628979834,-0.668092994068775,1.03937811232301,0,-1.04032503228412,0,0,0,-0.0817644743102279
DXY.Curncy,-0.161606735145448,0,0.00388165750147102,-0.0358400130168774,0,-0.0542073360092644,0.0615070933746007,-0.0226656462375965,0.0567642667451331,0.012828178647217,0,-0.0187333526500059,0.114495495159225,0,0.0527534632535041,0.00672983342781553,0.0179903119541678,0,0.197138602844863,0.0441015731516079
SPX.Index,0,0,-0.0301908398799817,0,0,-0.0467565379295798,0,-0.00844386819226286,-0.00411643464166628,0.0267552468670174,0.046696288479228,0,0.029345375716295,-0.0147884549888386,0,0.261530013208442,-0.0138221265435491,0,0,-0.057400663273915
VIX.Index,0,1.5916793107651,-0.624134616276535,1.19558117962827,0,-0.396709728365601,-0.028749099476862,0,-0.736541897219845,0.68947527139375,-0.248793044079547,-0.291920055306764,0,-0.945116758774438,0,-1.12177673337113,-0.342008792470434,0,-1.68341326244956,0
