,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000526668252477679,0,0,0,-0.0949094683599587,0,0.331802928968598,0,0,0.0187603089647228,0.211668222713266,0.154100418783353,0.0936517502921379,0,0,0,0,-0.197825114061822,0
INNBCL,0,0,5.95735731812333,0,0,-40.0434096371554,28.1649220652679,-3.50548736433409,0,6.27045928231832,2.72465840271857,-3.99245125448334,0,0,-27.6339196212186,-30.792277707971,0,0,0,0
ETH,0.519810681407836,0.00514677373808008,0,0,0,-3.46944695195361e-18,0,0,0.577550590220681,0.120246835118001,0.00324473446869216,0.0529648521652717,-0.127193345740801,-0.0935799946605615,0,0,0.0870404296956186,0,-0.075692003011319,0.0110672375845326
XRP,0.00931156889025405,0,0.0322630823309804,0,0.126300500417099,0.189998106869767,0,-0.00838663313761107,0.128066167699003,0,-0.0202373336655,-0.0175235709893939,-0.0744095393641652,0.248124386492683,0,0,-0.0688390808709981,0,0,0
BCH,0,0,0.100528332644222,0,0,0.150446465372741,0,0,0,0.384386166911288,0.0187549889076667,0,0,0.104064553195702,0,0,0,0,0,0.0869693026204796
BSV,0,-0.0134099875047697,0,0,0,0,0.441667419146232,0.317369756158396,0,0.36823061866171,0,0,-0.0340801638547094,-0.0899639975444009,0.0415171107088149,-0.925830733149253,0,0,0,0.0142141274125891
LTC,0.00935479525407617,0.00319762376305848,-0.141473984752593,0,0.0906164552412689,0.134849952518721,0,0.226565831496462,0.381825811478894,0,0.0210521386193903,0.0278860248801725,0.13241795475153,0,0,0,0.248025484343576,0,0.600834553559485,0.0966179490153828
BNB,0.662844608849864,-0.0103077411164256,0,0.0545716365146908,-0.237673754700897,0.10850861194031,1.00297536897383,0,0,0,-0.128509560640403,0,-0.173976620723585,0,0,0,0,0,-0.436608197122383,-3.46944695195361e-18
EOS,0,-0.00132033809562114,0.440573691961502,0,0.250664101605174,0.0479324585589907,0.410691955129264,0.0944923813404461,0,-0.371851043140007,0.00486699308751219,-6.93889390390723e-18,0.184060535346256,0,0,-0.15547660166706,-0.0754372074819614,0,0,0
XTZ,0,0.00302768496572502,0.151768465041618,0,0.289050319418118,0.214045929082876,0,0,-0.0719905329811946,0,0.00226840537411629,0.061823992620113,0,0.524734068809108,0,0.218012245808369,0,0,0,0.0138515211024635
TAGZ5,0,-0.0310908958788975,0,0,5.55992175027658,0,0,-4.35356109853756,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0.155820572175878,0.754118510455553,0.260984568820205,-0.293582743755581,0,0.187789452453235,-0.0490812045752437,0,0,0,0,0,0.0856434320676821,0,0,0.0808258860455488
XLM,0,0.00414808070164888,-0.297759529456954,0,0,0.20222761339067,0,0,0.0777629241510557,0,0.00270746370484801,0,0,0.84905082548492,-0.136100230902193,0,0,0,-0.102180333099958,-0.00758038726191039
ADA,0,-0.0028331828732205,0.362381684217436,0,0,0,0.0453469656283348,0.0868238116231517,0.00281298297520699,0.234734828706741,0,0,0.101440719804207,0,0,0,0,0,0,0
LEO,0.287968780848207,0.00108629100490273,0.0555198332305822,0,0,0.101871821085589,-0.226706765317971,-0.0892327122090381,0.123836196604087,-0.143309345898777,-0.00993812352072579,-0.0710441889455198,0,0.00331969619020379,0,-0.279809541662821,0,0,0.354455098286654,0.0726306400458656
BV010082.Index,0.0766105745286201,-0.00117419716229397,0.2671465513592,0.443518868228889,-0.463575480835603,0,0,0.0704801850561161,-0.424243455688226,0.0539680716256765,0.0182500751807852,0,0.174460169989626,-0.126467797714222,-0.0448268403856213,0,0,0,0,0.0316965996012754
CVIX.Index,0,-0.0105634995640822,0,-0.441190365582901,0.0197132493045257,-0.296963015533899,0.978630507019447,-0.164898551310584,0,0.16838511400358,-0.057037789049346,-0.0358908004909962,0,-0.169451388444157,0,0,0,0,-1.10520118365914,-0.258235528000778
DXY.Curncy,0,-0.000740526540059589,0,0,0,-0.00937635564302597,0,0.0105317827768782,0,0,0,-0.0174423708313225,0.016566351218438,0,0,0,0.0547503778552971,0,0,0.0249605259462798
SPX.Index,-0.271547169656049,-0.00476732604794747,0,-0.203348620173684,0,-0.191882784408899,0.35483355857451,-0.0431510893612815,0,0.223526692855799,-0.0266559407080703,0,0.0390230401194076,0,0.43214691701629,0,-0.502937976717848,0,0,-0.19253301582175
VIX.Index,-1.42038978765599,-0.020338645039412,0.523239057893427,-0.811282210965597,0,0,0,0,0,0.728702239779126,-0.0670992535244226,0.0450794925791398,0.387609955544878,-0.231398493368721,0,1.87129825700835,-1.28424111090752,0,-1.93570950810571,0
