,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.037621905379144,0,-0.162111194959682,0,0.102978718670847,-0.0693561597023135,0.14796694187008,0,0.157686737085225,0.339583136944456,0.0854617848041357,-0.0602229047689495,0,0,0,0,0,0,-0.332790202672044
XRP,-0.156659202245272,0,0.898007381458605,0.211031377348608,0.122517366163128,0,-0.323397832265698,-0.205320642583016,0,0,0,0.28150900025526,0,0,-0.369130539123069,0,0,0,0,0
ETH,-0.0248537934409271,0.0652022363524214,0,0,-0.110129205994885,0.258557180144544,-8.67361737988404e-19,0.0799273415586121,0.304441312771528,0,0.042086190282882,0.28914895396757,0.128243984623348,-0.25695303965983,0.0815013766131405,0,0,0,0,-0.186738935038337
BCH,0,-0.0511978018989521,0,0,0,0,0,-0.112182392773593,0.658005645717419,0,-0.746863611704063,0.0295269778571468,0.111031923620524,1.36500436383065,0,0,0,0,0,0.0144987201682208
ADA,0,0.135805003124588,0,0.0681756503001929,0,0,0,0.174435616197925,0,0.48925648046233,0,0,0.604184429659916,0,-0.519041083442077,0,0,0,0,0
LTC,0.579892524704342,0,0.339679961291932,0,-0.088636557053665,0,0.0450680047696988,0.171732038457488,1.38777878078145e-17,0.00683232487108123,0,0,0,-0.127323522522301,0,0,0,0,0,0
MIOTA,0.359715040660778,0.0814167073945348,0,-0.194781781865015,-0.189969954183209,0.209375675508047,0,2.77555756156289e-17,0,0,-0.167031996060782,-0.363448347195411,0.57117556446544,0,0.967211053088347,0,0,0,0,0
XEM,0,0,-0.512302059865256,0.257331019957892,0,0.287470467158895,0.0308059282460219,0,0,0.51115980120017,0,0.280133503358998,0,0,0,0,0,0,0,-0.205890080961194
DASH,0.133132196402333,0.0095755334788709,0,0.123010880292777,0.0295379911122369,0.179516351829827,0,0,0,-0.0662481152002574,0.0651183091338431,-0.0635035234305618,0.0665970371503705,0.371125530251726,0,0,0,0,0,-0.208975533342986
XLM,0,0.0969055133034809,0,0,0.313151625645821,0,0.121378688703758,0.182689052363085,0,0,0,-0.103574744097013,0.293277384949978,0,0,0,0,0,0,0
XMR,0.250576359757203,0,0,0.260772935166953,8.67361737988404e-19,0.00692590371087539,0,-0.217717463662021,0.186454745262661,0,0,0,0.229307003265241,0,0.353618437323203,0,0,0,0,0
EOS,0.236731092700289,-0.0583146112029082,1.38956073533426,0.356608684576919,0.172485025271305,0,-0.124873123385069,-0.240902992166216,-0.955466000286059,-0.1600192381948,0,0,0,0.718211636507633,0,0,0,0,0,-0.631682614497472
NEO,0,0.0445728151428626,0.93802751972049,-0.0735419542838711,0,-0.276973549254983,-0.26281263899121,-0.136929433786827,0,0.329123785378226,0.191279365786196,0,0,0,0.405640577715965,0,0,0,0,0.454149072448653
BTG,0,0,0,0.213629745553815,0.0271494961523323,0,0.155646289692378,0,0,0,0,0.175922278895477,0,0,0.280834028343549,0,0,0,0,0
ETC,0.314109993790548,0.0570884880861491,0.565080070529633,-0.0520040216838872,0,-0.318825656672997,0.110348718244461,0.063303392562698,0.291720858710531,0.0235210343028635,0,0,0,0.240822856593633,0,0,0,0,0,0
BV010082.Index,0,-0.0239435896638435,0,0,-0.0176054282107342,0,0,0,0,0,0.0329923979984173,0,0,0,0,0,0,0,0,0
CVIX.Index,-0.101526697554906,0.0183334403304382,-0.0172474485008047,2.16840434497101e-19,0.0171965003217076,0,-2.16840434497101e-19,-0.00146547508765921,-0.0270260292497604,0,0.0387662881086705,-0.0447397093721466,0,0,0,0,0,0,0,-0.131302847582222
DXY.Curncy,0.00953983285660659,0.000656748893879561,0,-0.00376006888084045,-0.0120703827300928,0.00279519854543006,-0.00550269353122393,0,0,0,0,0.00739036992753526,0,0,0,0,0,0,0,-0.00470698732384088
SPX.Index,0,2.16840434497101e-19,0,0.0131558826069881,0.00265128358773457,0,0.0040047216593667,0.00363087258510704,0,-0.0065147694784002,0,0.00986730997300475,0.000426984803989272,-0.00531799099120361,-0.0252880036733253,0,0,0,0,-0.0552490720393646
VIX.Index,-0.052503891664999,-0.0462981289586764,0,0,-0.19334378811868,-0.0319435446579895,0,-0.0556977369330066,0,0.131805552010083,0,0.0361258842233412,0.0128562111117251,0.116402306004936,0,0,0,0,0,0
