,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.396176597071275,-0.208800546665719,-0.166539694286603,0.237754192583685,0.224810437948754,-0.125718139331017,0.0545438866412621,0.34180018511147,-0.139019808269849,0.20895384068802,0,-1.38777878078145e-17,-0.28345536644985,0,-2.08935211514483,0,0,0,0.0138550224707669
ETH,0,0,0.54899937445462,0.591476325203726,0.225095893451292,-0.0794228423088609,0.254966372081679,0.0673520016226801,-3.46944695195361e-18,0.0641743979001179,-0.238205715561346,0,-6.93889390390723e-18,-0.103672270461082,0.0707298236467654,0,0,0,0,0
XRP,0.119281511611332,0.132741057342206,0,-0.320956633018649,0.3534298634135,0,0.422031448141819,0.160073291586691,-0.0396858192476919,-0.347453425917872,-0.159789621748877,0,0.428798396573303,0,0.0320763214315286,0,0,0,0,-0.0332169309049445
LTC,0,0.179173409971496,-0.562314403467526,0,-0.0865054427267762,0.279318502267331,0.162245408653516,0.147476449040776,0.00939661811692547,0,0.255372989025447,0,0.17626875955236,-0.0866713610629015,-0.046959052885246,0,-1.08880990058689,0,0,-0.054360280425261
XEM,0.277366257541264,0,0.346507295679991,0,0,0.418842313369853,0.193215768481196,-0.0506924608634336,0.398808185714835,-3.46944695195361e-18,0,0,-0.24126530416974,0.04191952796568,-0.00842260139122902,0,0,0,0,0
DASH,0.3543177784627,0.0862748072954863,1.38777878078145e-17,0.480668180905757,0,0,0.0542444378784131,0,0.269262275807563,-0.075962494314323,0.10974013891744,-0.266605036843486,-0.041335333602089,0.0295863658263315,0.153359781728601,0,1.03676023407805,0,0,0
ETC,0,0.219133820313177,0.422895537757044,0.544312493921522,0,0.134255472038663,0,-0.217987504707164,0.260492638343682,0.17541019391897,-0.123823487971078,0,-0.202975906531503,-0.144096839629834,-0.0120311844100156,0,0,0,0,0
MIOTA,0.351709594274454,0,0.374737491132671,0.673197977953551,-0.0366634372368691,0.331815528195916,-0.394257174052838,0,0,-2.77555756156289e-17,-0.320246488351036,2.00467422706815,-0.781135638808052,-0.108706387972116,0,-4.92742964201194,0,0,0,0.0773594764505364
XMR,0.0748359648264921,0,0,0,0,0.405129804230417,-0.0144886390429237,0,0,-0.0363912297380238,0.0965296308179338,0,0.232931738039075,0.179241833555893,0.0150118051053524,0,0,0,0,0
EOS,0,0.750824120181077,-1.16868649588718,-0.953854751573448,0,0.385449194442732,0.361403640430807,0.0351186292892796,0.320299364003563,0,0.215892317725498,0.485911192066341,0,0.160005241517461,0.091773847282613,0,0,0,0,0.266806577837705
NEO,0,0,0,0.833830720120906,0.250420954292841,0,0,0,-0.16061065465401,-0.00375621782107481,0,0.455879512187728,0,0.141184351963447,0,0,0,0,0,0
ZEC,-0.269645771782657,0,0,0,0,0,0.14317313655214,0.219073670908987,0,0.0892818087370633,0.321687734399733,0,0,0,0.0841814471419803,0,0,0,0,0
DOGE,0,0,0.732125722535566,0.400511759860642,-0.0463915828098042,0.173610448930284,-0.371274464954216,-0.273471322589681,0.350040995324269,0.134438189207796,-0.234992800754202,0.609795477618948,0,0.156001722369363,-0.125834052327208,-1.64633020949519,0,0,0,0.27160807423799
XLM,-0.637817826346974,0,0,0,0.346536854932743,0,0,0,0.496956529555698,0,0.436310769459577,0,0.206758410108498,0,0.1235852151377,0,0,0,0,-0.362786740387955
DGB,0,0,0,0,0,0,-0.109279668948753,0.137747286433536,0,0,0,0.574183967851448,0.182899070462251,0.507308126973184,0,0,0,0,0,0
BV010082.Index,-0.0569632459289904,0.140099552743304,-0.0610396227048834,0,0.0284926618402872,0.0434588936355668,-0.0583093673072245,-0.0488231654510456,0.0908181007129001,-0.0371724639772127,-0.0561695956074444,0.153966231519593,-0.111474835537833,-0.011217184497177,0,0,0,0,0,0
CVIX.Index,-0.0754282735087275,0,0.00316537195189823,-0.10345960953154,-0.0602340556092847,0.200053939522335,0,-0.0107759796040849,-0.0250953774859799,0.101440271976915,0,0.0736328880709647,0,0,-0.0952516443092962,0,0,0,0,0.00285189618437663
DXY.Curncy,0.000965905023810652,0.0214179245948283,0,0,0,0,0,0.0112858921315388,0,-0.00989455677917848,-0.00381533515284257,0,0,-0.0251220495807069,0.00538487727634169,0,0,0,0,-0.0392427185248581
SPX.Index,0.0477604124637521,0.00492856501265452,0,-0.0291438173092715,-0.0299768029913149,0,-0.00935340973553127,0.00280209401657756,0,0.00107325403816954,0.00567848495241652,0.0032214731995426,0.00105497013373401,0.0125426073443242,-0.00519086777948392,0,0,0,0,-0.0688149692050755
VIX.Index,0,0,0,-0.430890275266662,-0.0889782275435659,0,0,0.123204377750725,0,0.375080265414563,0,0,0,-0.301344933546738,0.00861270572295034,0,0,0,0,0
