,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.173174724907502,0,0.0147301641140214,0.235633895694655,-0.181613724777488,0.403070843322647,-0.0943463731066653,0,-0.00867161026335319,0.481624503073224,0,0,-0.145345658043906,0.0585117853990062,0,0,0,0,-1.0842021724855e-19
ETH,0,0,0,0,0.216007528903414,0.137737101667731,0,0.0880436235542754,0.0575329037183308,0.0319313383813335,0.434020952714556,-0.0145686271989871,0,0,0.034801939684533,0,0,0,0,0.157066808429064
XRP,0,0.242685291042223,0,0,0.18510080794882,0.350201410678321,0.0540111109899299,0,0,0.0114999153088164,0,-0.0926768634839508,0,0,0,0,0,0,0,0
LTC,0.0965284389947026,0,-0.0688684264632297,0,0.374469660996504,-0.133169587902488,0.316402143460379,0,0,0.0839117038282686,0,0.12270893201558,0.369840500404679,0,-0.118636227885645,0,0,0,0,0.109231227831727
ETC,0,0.182899829982845,0,0.260804818520409,0,0,0,0.106865619250756,0,0,0,0,0,0,0,0,0,0,0,0
DASH,-0.951347713845695,0.373445474548355,0.266161327560912,0.238043328058051,0.210290136036719,0,0.246775482945928,0,0,-0.0344513321986693,0,0,-0.460690264273407,0,0.354425693602366,0,0,0,0,-0.0712723102335718
XEM,0.876127658511898,0.0553350606581657,0.113823734704446,0.326292227533386,-0.190716663116961,0.375021201337714,0,0.278510188151684,0,0.0329492271466428,-0.530841647794007,-0.0451510524643047,-0.60545107347815,-0.00439611126343185,0.212083877325794,0,-0.848547886093939,0,0,0
MIOTA,0,0,0.44819096059491,1.73472347597681e-18,0,0,0.338080080828333,0,-0.122521413984894,0.00200729457821648,0.331917483076885,0.0344305712025823,0.347586205040553,0,0,0,0,0,0,-0.373684599909013
XMR,0,0,-0.333612628394792,-0.0261696766885722,0,0.19822086167639,0.454114589374259,-0.101094085460625,0,-0.0334441873941728,0.252320961141945,-0.0475322282411942,0,0.6312865483975,-0.257456453541513,0,0,0,0,0.018719589415925
EOS,0,0,0,-0.421818919168381,0,-0.385388410962955,0,0,0,0,0,0.127580392094092,0,0,0.652149510975404,0,0,0,0,-0.668959477890666
ZEC,0,0.226805171375127,0.127830792308754,-0.0424354742524055,0,0.0111064545787945,-0.176070637976283,0,0.104870063263144,-3.46944695195361e-18,0,0,0,0.427914884553988,0,0,0,0,0,-0.0502367814468328
NEO,0,0,-0.656232388461695,0.253313464660587,0,2.19116037627151,0,0,0,0.187007227867974,0,0,0,-1.67497937233895,0,0,-4.08869495686354,0,0,-1.04584188193233
DOGE,0,0,0,0.0328606600736284,0.102539871146258,0,0,0.104485877531576,0,-0.0507872166868424,0,-0.0359291826988563,0,0.23444325750954,0,0,0,0,0,0
XLM,0,0,0.342222779197757,0.0796468139536584,-0.0626008639162949,0,0,0.164266470626336,0.595034745088791,0.070396270128747,0.104909479679495,0.0598911831540163,0.400082810399537,0,0.0295903979317955,0,0,0,0,0.103578891573625
DGB,0,0,0.257947870504203,-0.183222767783731,-0.116203989648252,-0.00133415617546407,0.175486743874227,0.0326564685420046,0,0.0305531702975495,0,0.0229070280221127,0,0.665428313819241,0,0,0,0,0,0
BV010082.Index,0,0,0.0834067228315957,0.0404322878733006,-0.124000100342528,-0.0577711211386554,0.0101630158411271,-0.0235130555290464,0,0.00378263271477952,0.0915974887692655,-0.00211513785648811,0.0921044593112651,0,-0.0508294752111344,0,-0.0603683189992064,0,0,0
CVIX.Index,0,0,0,-0.0295862423941817,0,0,-0.0269447521017234,0,0,0.00852002720083577,0,0.00707120111192447,0,0,0,0,0,0,0,-0.0309505931652205
DXY.Curncy,0,-0.0750266999107,0.0420680963240094,0,0.00568727920685118,0.0162461562139968,0,-0.0120611752176871,0,0.00351031781670686,0.0331388765925404,-0.00480749545393029,0,0,0.00580228082532359,0,-0.0223461312205865,0,0,-0.0147288921884346
SPX.Index,0,0,0.0161953904078564,-0.00307041781990935,-0.000748499385522836,0,0,-0.00581529321001074,0,0.0014485202350404,0.0115412325481343,0,0.00333336128414403,-0.00767645090106158,-0.00606446930848148,0.0666594189558954,0,0,0,-0.0685655049494712
VIX.Index,0,0.225911729867722,0.188061246784907,0,0,0.0709667932314362,0,-0.367735580118711,-0.152292672172491,0,0,-0.0645475606583123,0,0,0,0,0,0,0,0
