,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0495563230989048,0,0,0,0,0,0,0,0.0161949437725366,0,0.0122965678696046,0,0,0,0,-0.00186893728065157
ETH,0,0,-0.104983462650757,0.398588915215012,0,0.646809155981709,0.0601059828871265,-0.117219921746795,0,0.35821734264377,0.0371060395246703,-0.281137267617291,-0.0182970116808672,0,0,0,0,0.189572852908193
XRP,0,0.195935330116145,0,0.812113241699215,-0.108417782733495,0.280526936663153,-0.369539340847963,0,0,0.424209611795172,-0.142377822738812,-0.364199516601764,-0.0667527828467701,0,-0.496895388473222,0,0,0
LTC,0.662605264953274,-1.73472347597681e-18,0,0,0.053339167983579,-0.0155137455485777,0.119001760117277,-0.00202816711538053,0,-0.103395223069687,0,0.00972558169549307,0.00312445532307329,0,0.0309903484940435,0,0,-0.0199424567921759
ETC,0,0,0,0,0,0,0,0,0,0,-0.125430416318284,0.352165769717477,-0.0775064070559009,0,0,0,0,0
XMR,1.03551253350242,0.948513094402315,0.121332672143838,-1.07118937621619,-0.100355564659933,0,0.194053006319398,0.325212929406361,-0.968581444048514,-0.183538499357908,-0.13259635970197,-0.157636198475503,-0.0262754546650272,0,0.485720466324879,0,0,-0.027634186799668
DASH,0,0,0,0,0,0.055873622054008,0,0.143372897508011,0,0,-0.092018155233353,0.0511697007512349,-0.112647078274471,0,0,0,0,0
XEM,0,0,0,0,0.142064857178033,0.412072434852782,-0.275192012362657,0,0,0,0,-0.191807291383425,-0.086811653005177,0,-1.12053896955143,0,0,-0.0540321292823182
DOGE,3.46944695195361e-18,0,0.0546107448761101,0.0921783782318207,0,-0.21662702933229,0.0777300692898289,0.0906615005407483,0,-0.0170200341082271,-0.00612536191293464,-0.01098542251777,-0.0117443373536061,0,0,0,0,0.0132952644730268
XLM,-0.348640561413059,0.383898754701779,0.207240403218508,-0.797302778145938,0,0,-0.706590900055691,0.451868229233857,0,0,-0.0492694838375385,0.21181077353832,-0.0790025095686755,-0.699523608251192,0.666741495999982,0,0,-5.42101086242752e-20
NEO,2.43661505787787,3.78235436396425,-2.06155996474289,0,-0.379112346378259,-2.22185399451636,-1.3163696548222,0.959389951728966,0,0.559847134446982,0,-1.0158810963834,-0.302841070810356,0,0,0,0,0.888661174328984
DGB,1.39296372269652,-0.519746487233318,0,0,-0.227064729817705,0,-0.0432557601042016,0.134311959476949,0,0.403318515987293,-0.159824553406736,0,-0.13711488887208,1.23648192263822,0,0,0,0.285352932354073
ZEC,2.21849578759984,0,0,5.88051626611599,-0.511656901963091,0,-5.72317211003492,2.15998693808943,-7.67794630070073,-2.62147586170689,-0.640692559263013,-0.540693553107708,0,0,0,0,0,0
BV010082.Index,0,-0.0965466432390145,-0.0280078506837582,0,0.0769093395546254,0.122741799157986,0.0921741258396772,0,0,0,0.016779885169484,0.12004696048989,0.0219786051934543,0,0.296399968259216,0,0,-0.0170063281337562
CVIX.Index,-0.610080239745973,0,-0.26169023424207,0.803540170709298,0.0529519123114263,0.392668342282279,0,-0.219236954989984,0.429552382864776,0.270245184036026,0.0643297530500347,-0.0130716510407909,0.029018059517878,0.370212374102081,0,0,0,0.201174441985487
DXY.Curncy,-0.0192012653662681,0.0305796518198561,0,0,0,0,0,0.0035807789062252,0,-0.0120901285674106,0.000465156901185308,0.0225382776674897,0.00289707647454979,0.109297233009471,0,0,0,-0.0297272438313608
SPX.Index,-0.0558610973350032,-0.0202077990385484,0,0,0,-0.0493595310221259,-0.00199455912752823,0.0409380703397469,0,0.00298022489868575,-0.00598896504091214,0,-0.00317343443655343,0,1.73472347597681e-18,0,0,-0.044851366535973
VIX.Index,0,0.263421662455698,0,0,0,-0.389416120784403,0.306273900577432,0.19380264936611,-0.745701649443193,-0.244046008167527,0.0492461745358811,0,-8.67361737988404e-19,-3.04142323312551,0.656500749188928,0,-3.44917877766565,0
