,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.212557979210404,-0.0743414568956288,0.0542187221817551,0.215467709401367,0,0,0,0.0450828972791045,-0.0858940829324579,-0.18591516815219,-0.0299348593856349,0.0489976509042183,0.187623916329519,-0.0280953604783631,0,0,0
ETH,0.549816663402304,0,0.200785742274133,0,-1.08054747257402,0,-0.325706416164974,0.142659871736168,-0.120396297869919,0.372695172779657,0.201318605484471,0.458125016762475,0.0433274458806086,0,-0.530546132501909,0,0,-0.10378983996197
XRP,0,0,0,0.164273053123249,0.26711171213603,0,0,0.846498233732916,0.212724059179827,0,0,0,-0.131224524523579,0,-0.289882504996471,0,0,-0.286549458257383
LTC,0,-0.211702413705979,0.0551285328770024,0,0,0,0,0.0760058270393295,0.152967335423467,0,-0.0145449564411109,0.107135828212956,-0.152943933460529,2.55084622100086,0.304575509632906,0,0,0.406289471326377
DASH,0.35761191838972,-0.676914258568896,0.0968321197090069,0.0743654834219606,0,0.133568643205234,-0.163570853538373,0.222914703090076,-0.0890236774599283,0.658193026543999,0.111849001597343,0.227739869662123,0.0543113578219782,0,-0.183442876899003,0,0,0
ETC,0,0,-0.391602337176492,-0.0870168136561197,0.259108835417425,0,0.263697726318088,0,-0.0385130806918327,0,0.338459150164206,0.477821181477938,-0.264421432910165,0,-0.280546027513568,0,0,0.162228042127038
XEM,0,0,0,0,0,0.28149989143366,0,0,0,0.374295182759188,-0.579669784957578,0.315653483346706,0.744325003742681,0,0,0,0,-0.623825297391688
XMR,0,0.137990001765768,-3.46944695195361e-18,0.0544990925752674,0.150417624005134,-0.0302046166633904,0,0,3.46944695195361e-18,0,0.0613236302952034,0.0298993490265245,0.018943102874516,0,0,0,0,0
XLM,0,0,0.565131991885405,0,0,0,0.0644835994269446,0,0,0,0.26488710922717,0.0887392462812862,-0.0742534931840745,0,0,0,0,0
ZEC,0,0.132081818609972,0.167781928023353,-0.119395093589909,0.719843072213879,0,0.152676763453032,-0.224562108617311,0.0133750504095029,0,0.0944941661957159,0,-0.0745528122887611,0,0,0,0,-0.0576510857930874
DOGE,-2.48348105461411,0.0540174861908487,0.301731088880803,0.156424564990303,0,0.441458062765586,-0.0980653927986399,0,0.203875303762592,-0.238655755914594,0,0,0.116274509926501,0,-0.204412842658542,0,0,-6.93889390390723e-18
NEO,0,0.307215694352347,0,0,0.683427396057,0,0.144313754445983,0,-0.067634931295199,0,0.317990127621878,0,0,0,0,0,0,0
DGB,0,0,0,0,0.186713273287952,-0.484527358176571,0,0,0.529923773565062,0,-0.0190001526401894,0,0,0,0,0,0,0.0465040338569015
BV010082.Index,0.0788261088045461,0.00402068803904446,-0.015074462531552,0.0620913524105055,0,0.0633763502265317,-0.0113975134130355,-8.67361737988404e-19,0.0775641614577611,0,-0.00568824889409238,0,-0.0810664773513451,0,-0.115126687766034,0,0,-0.202615817747519
CVIX.Index,0,-0.234441121694303,-0.106351629302648,0.296090170622766,0,0.082198758949685,-0.495321766791534,0,-0.0327449504838396,0.152504642353524,-0.247931327342596,0.324990843734005,0.415719601912626,-1.50647879319115,0,0,0,-0.760261892224671
DXY.Curncy,0,0.0346034389115498,0.000919988143817291,0.0045248239307908,0,0.00129918987102481,-0.0162663741384072,0,0.00737035730519529,0.0141348732234862,-0.0191640677673726,-0.00941332625967102,-0.00365210076911466,0.0563972713595494,0,0,0,0.0248380303459372
SPX.Index,0.0238059916029332,0.00455285346183431,0,0.00344534707107915,0,0.000861697877993516,0.000887059725770939,0.00239990051825559,0,0,0.0120302731730428,-0.0122242552408124,0.00240707170374409,0.0542491508183364,-0.0220509617026873,0,0,-0.0404166354025581
VIX.Index,0,-0.410733377357922,0,0.137045176512743,0.260770519528076,0.271527132742457,-0.21168221796432,0.0235501222585451,0.0626105950507708,-0.320427333673231,0.0620982025190788,0.183009851650966,0.0893026468116105,-2.99085635453013,-0.748709717605599,8.27578177538486,0,0
