,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.062925758653826,-0.0179503639113415,0,-0.0833133423650649,0,0,0.155173920847415,0.102489052505801,0,-0.0302440086180593,0,0,0.234482615843696,0,0,0,0,0
ETH,0,0,0,0,0.140487089117917,0,0,0.106409685056813,0.167672131119979,0,0.0721253241719058,0,0.0794109013134527,0,0.112836620485543,0,0,0,0,0.139365922967575
BCH,0,-2.12049438157113,0,0.0326117342382844,1.13548092859407,0,0.330686113991576,-0.0140483337021806,0.261070669365129,-0.171618821066073,0.374422314414143,0.0587842448114823,0.294694003141996,0,0,0,0,0,0,0.867601552329863
XRP,0,0,0.211029933112884,0,0.277367059944578,0,0,-0.104560530231552,-0.0854728007798695,-0.406577387675517,-0.0495114423380389,0,0.639074797104237,0,0,0,0,0,0,-0.230621256523449
LTC,-0.452931073870913,0.573900716907124,0.244949731401131,0.253907193928771,0,0.342566784928299,-0.76228055205246,0,0,0.689834785579719,-0.0119445128532724,0.555131159651243,-0.617982051906746,0.0299342113238397,0.0341552439358474,0,0,0,0,-0.210858509549968
XEM,0,0,0.176337661444278,0,0,0,0.00111952030182776,0,0.193899744573783,-0.110434756538428,-0.0945793178619389,-6.93889390390723e-18,0,0,0.385036378123677,0,0,0,0,0
DASH,0,0,0,0.110085553920073,-0.167493504981274,0,0,-0.0787929996353836,0.0119173311381555,0.0678443997649765,0.000111901803475015,1.11631912359901,-0.274580765196774,-5.42101086242752e-20,-0.0708515354090292,0,0,0,0,0
XMR,0,-0.408165771886957,0.157313164813074,0.381632416240743,0,0,0.702015207128275,0,0,0,0.0684565250971778,0.181001523645322,0,0,-0.00601287438339765,0,0,0,0,-0.0708191411813189
MIOTA,0,-0.246248395256445,-0.0630834911079804,-0.710494883659567,-0.162927818446693,0.756445618264891,-0.165791005808836,0.553366387320219,0,0.0300927634011143,-0.224367112836039,0,-0.135560247484976,0.919462050074711,-0.163069360394872,-8.2107704455235,0,0,0,-0.486329436130029
ETC,0,0,-0.207940920049205,0,0.792482454689594,0,0.590859729418281,-8.67361737988404e-19,-0.139199549856634,0,0.00959566456231314,-0.47675907310903,0.39385812861961,0,-0.0457949797904797,0,0,0,0,0.171280222105912
NEO,0,0,0.414721214283548,0.0339421357384016,0,0,-0.0309837002859408,0.121784999408993,0,0,0,0,0,0.420728807529853,0,0,0,0,0,-0.378362381087272
ZEC,-0.875184185153152,0,-0.0340241397308891,-0.221588035031507,0.271475690268703,0,0.783342065472361,0.0827215526557296,0.00931375131527171,0,-0.127745536416798,0,0.368600018234919,0.0242174187078014,0.323883746307551,0,0,0,0,0.135856782032931
XLM,0,0.584378449758595,0.203864805970975,0.313768575329177,-0.90506612999082,0.352922644897831,-1.11440233356633,0.0802275386338879,0,0.630185424508267,0,1.1304186106686,0,-0.109598180369747,-2.77555756156289e-17,0,0,0,0,-0.140638267258651
EOS,0,0,0,0,0.4044266823462,0,0,0.215280922871909,0.187324952918282,0,0.479816500462823,0,0,0,0,0,0,0,0,0
BAT,1.38846967152587,0,-0.15739499018649,-0.027169736137297,0.238197414215621,0.336512732632434,0,0,-0.0853708193890715,0,0,0.124892382909569,0,0.0457068069588331,0,0,0,0,0,-0.0981747828658464
BV010082.Index,-0.0502509645240882,0,-0.0043582473899098,-0.0471598166860654,-0.00421086238764625,-0.00736470588820095,0,0.017887379493715,-0.0504288529772748,-0.0123606119375142,-0.0140798536512207,0.00238070322801257,0,0.072290679754782,0,0,0,0,0,-0.0470635146332698
CVIX.Index,0,0,0.0368896643784528,0.027482463508558,0,0,-0.0216575419409651,-0.0300410971356121,0,0,0,0,0,0,0.0756164652366256,0,0,0,0,0
DXY.Curncy,-0.0472652441568043,0,0,-0.000390197074668793,7.47163875742624e-05,0.00680324538481837,-0.0209629942107067,0.00330195411415393,0.00674915799918328,0,0.00855890229750117,0,0,0,2.16840434497101e-19,0,0,0,0,0
SPX.Index,0,-0.00865629113988372,-0.00937539596172239,0,-1.0842021724855e-19,-0.015740086224812,-0.00360197130903119,-0.00953432704280466,0,0.0102511949165352,0.0027121506684643,0,0.0128012230937092,0,0.00970826660668439,0,0,0,0,-0.0355685425349698
VIX.Index,0,0.539412308546618,0.242671174763402,-0.483042605289093,0,0.268788602602143,-0.3007673041441,-0.119585691885637,0,-0.262367883984762,0,0,0.561727189688857,-0.388783602927302,0,0,0,0,0,0
