,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,XEM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.317477969927541,0.0575190592045349,-0.171386032009044,0,0.0773890313410048,0.169101741451662,0.206870045699765,0,0.187037021485232,0.0737045012874969,0.161536651159752,-0.200732574924533,0,0,0,0,-0.0205468074036986
XRP,0,0,0.156213584127272,0,0.019973275546052,0,0.106302314999103,-0.0640527813131285,0,0.109011983693732,0,0,0.139559942624016,0.0786960244601653,0.0782632007623091,0,0,0,0,0.0236046115478211
ETH,0,0.439909337988943,0,0,0.0280652810924058,0,0,0,-3.46944695195361e-18,-0.0691020314634339,0.0604249316855467,0.4038445007148,0.0360693028717579,0,0.0860223068419273,0.19022834137604,0.311033188279423,0,0,0
XLM,1.02542554265093,0,0.149793777356084,0,0.000925527224908814,0.150294301478329,0,-0.0563763753586597,6.93889390390723e-18,0,0.046829262531197,-0.0483855981118431,-0.0264805401285891,-0.00968159233564684,0,0,0,0,0,0.0537557076880844
EOS,0.29249241960459,0.362114978208864,3.46944695195361e-18,0.113136568646913,0,0.173599601489152,0.427557644552883,0,-0.424004305385031,0,0.109460876568607,0,-0.00997712432156094,-0.515249836907262,0.586861066557313,0,0,0,-0.901168028979296,0
BCH,-1.28816573404823,0,0.256483116551,0.0852241268017484,0.701436887479153,0,-0.174245427265726,0.183504850505906,-8.67361737988404e-19,0.357219923674926,-0.0236517948103428,0.274645434666484,0,0.841464592594139,0,0,0.209538714644367,0,0,-0.0312505059463891
LTC,0.065907612286469,0.296830841362728,0,0.327247583436899,0.0636870507365432,-0.0255021651399486,0,0.123997360568967,0,0.0717588523974746,0.200933469091783,0,0.0143444570834127,0,-0.0652810129841313,0.992108739889471,-0.0252801060369431,0,0,0
BSV,2.95052770928724,-2.93940750416973,1.10838079725136,-1.41715103222469,0,0.42812924564778,0.316627161081105,0,0.289677196022255,0,-0.15540642907917,0.859296218623362,0,-1.92389403386686,0,0,0.437441740959714,0,0,0.52298905289652
TRX,0.413592311082918,0,0,0,-0.177278538558496,-0.118618852744114,0,0,0,0.547763930581033,0.150240883465882,0,0.0759873265383834,0.0963454178124191,0,0,0,0,0,0
ADA,0,0.632465472599495,-0.388044094415479,0.0768476179708975,0.111688130884908,0.167093056277864,0.227598674812462,-0.0352510943038711,0.415887406723015,0,-0.0280249988480376,0.334517531902164,-0.197305201137874,-0.247398641178325,0,0,0,0,0,0.0131994905493339
MIOTA,0,0,0,0.286152657564525,0,0.0971026938916722,0,0.0812076552901847,0.303001856794912,0,0,0.0248129522196531,0,0.188393879851399,0,0,0,0,0,0
XMR,0.197890058288668,0,0.719150684738656,0.196804269326978,-0.174887548594949,0,0,-0.0552750584948572,0,-0.201392013140161,-0.0660585482143861,0,-0.142361682863689,0.194182977420952,0.355717208792554,0,-0.745159110042318,0,0,-0.0544515003342724
BNB,-0.475486263318852,0.040773328994036,0,0,6.93889390390723e-18,0.651310443287836,0.592933815306332,-0.119621162510947,0.215923673538612,0,0,-0.127588436059209,0,0,0,0,-1.44584031155592,0,0,0.549687299553898
XEM,0.460643943489462,0.65674206503325,0,0,-0.555496139924654,0.0901836479376348,0.14910675585925,0,-0.376950399358471,0,0.0868484868334855,0.433691774371815,0.119802260230794,0,0.131090220165536,0,0,0,0,0.197657877033131
DASH,-0.666563938643691,0,0,1.02243673521192,0.216555342824029,-0.41554874295015,0,-0.00330345640344,0,0.0316227525502867,0.0763292390552546,0.654537206756688,0.114796111231447,0,0,0,0,0,0,0.0676486669137992
BV010082.Index,0,0,0.0648581332744041,-0.170717373737244,0,-0.0245156691679072,0.104293874928759,0.0065590302212071,-0.0196133333796207,0,-0.00936930751919043,0.017783208431266,0.104358766018905,0,-0.0792860673178716,0,0,0,0,-0.0548357979361304
CVIX.Index,0,0,0.248971803428915,0,-0.19707311514515,0.153108139610207,0,-0.0011710752459266,0.00877736554014977,-0.0673911032878474,0.0211477131513153,-0.0551614229558769,-0.109996005374987,-0.168977225028598,0.0908731875119973,-0.306175126618181,0,0,0,0.104878233284573
DXY.Curncy,0,0,0.0250004548649883,-0.0363662941560374,0.0136929318699769,0,0.0299418336544789,-4.33680868994202e-19,-0.0139573050776944,0,-0.0182362001248564,0.00730674075246742,-0.00501109764290905,0,-0.0126840442617752,0,0,0,0,0
SPX.Index,0,0,0.00497667624971882,0,-0.0811896383430454,0.0535376663128529,0,0.00728982984524407,0,0,0.0469803182444563,0,-8.470329472543e-22,-0.014206286056741,-0.0144052899141342,0,0,0,0,-0.144651866918535
VIX.Index,0,0,0,0.240225890079594,0.0887771253411764,0,-0.278984509359353,0.0447941071281213,0,0,0.0337808252661249,-0.166145683999042,-0.000211867821089708,-0.331385822082809,0.138155068843172,-1.32702985248888,0.143800398258582,0,-2.23130348331346,0
