,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,XMR,XEM,BTG,EOS,ADA,ETC,NEO,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.424420180996358,0.26421683947903,-0.0223574905899005,0,0,-0.168844145100175,-0.0714166579381993,0.846203585420458,0.104930966621961,0.230545637610372,-0.829066256539021,-0.102023910179999,0.483450640925309,0,4.57773780334347,0,0,-0.293277541200841
ETH,-0.0592992794147924,0,0,0,0.124691865848286,0,0.139424011063488,0,-0.016674718190067,0.435139974751563,0.0919983448392876,0,0.134519115982151,0,-0.0025488218881292,0,0,0,0,0
BCH,0,0,0,0.275500805891198,0.141826763593359,0,0,0,0,0.101600920078445,0,-0.0583244831787968,0,0,0,0,0,0,0,0
XRP,0,0,0.203440930933977,0,0.100515267518045,0,0,0.111463877276969,0.0939161446908563,0,0,0.0813381388295697,0.232606181284843,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.00162310473836061,0,0,0.228381186328772,0,-0.0187463976510336,0,0.193583690719763,0,0,0,0,0,0,0
MIOTA,0,5.55111512312578e-17,-0.19430821902533,0,-0.32572670966869,0,-0.0539283459996133,0,0.224817716227376,-0.0309489303097856,-0.199196642797743,0.0793357992504256,0.185681464450878,0,0.810400943077084,0,0,0,0,-0.564821121273305
DASH,0,0,0.0551138829307963,-0.105066985001097,0.247190749398377,0,0,0.242030527520527,0.0171524374547437,0.0605432050949534,0,0.0432580896350699,0,0.196653632153785,-0.0885196637557179,0,0,0,0,0
XMR,0.197922049012138,0,-0.139791510228653,0.306286267429277,0,0.12452780767487,0,0,-0.0352581982549349,0,-0.107708934712839,-0.0430567847431889,0.204221592955879,0,0.199155523719165,0,0,0,0,0
XEM,0.366163893836437,-1.71188717151504,0.452192278366494,0.316503425795611,0,0.138543964788872,0.326968642967649,0.841964858258109,0,0.449358728042663,0.579858222872048,-0.265111668427467,1.39646858862154,0,-0.574461528782376,0,0,0,0,0
BTG,-0.0739612932647788,0.221735908127219,0.769231936216689,0,0,0,0,-0.0592215631278681,0.0206627454319725,0,-0.0514165605527807,-0.0202878865072627,0,-0.075358134650457,0,0,0,0,0,0.406674211902981
EOS,-0.298315767828429,0.683008185523735,-0.288201097252799,0.485388728723994,-0.553204210251531,-0.317970641991909,0,-0.197526827214672,0.143904675449026,0.0965187698753707,0,-0.0460656931572423,-0.775473630763503,0.770440690754099,1.05337736664497,0,0,0,0,-0.306976790566566
ADA,-0.237975866842835,-1.08120035131031,0,0.377037284710905,0,0.0982651517015709,0.706975984933568,-0.423541760582351,-0.112518696257162,-0.486113239516566,0.013420096413276,0,1.70512261273298,-0.123282913950189,0.339199331112866,-3.72399490619569,-2.83535419635915,0,0,0.546023589208642
ETC,0,0,0.295531270843747,0.136251828286857,-0.14912278780563,-0.0857006992044086,0,0.493694543234932,0,0,-0.141637255157966,0.313759467068276,0,0.265908422905676,0,0,0,0,0,-0.39632419417165
NEO,0,0,0.0986963075850009,-0.0340443273450576,0.30045092622351,0,0,0.00906524904398965,-0.0185919101838174,0,0.275053904052554,-0.0369021754233751,0.306895615144238,0,-0.101988380866229,0,0,0,0,0
XLM,0.219179542530815,0,0.133760713796905,-0.523989763632573,0.311801804224909,0.043705254650807,-0.154700579954108,0.379187900798745,0,0,0.385286319168094,0.420457249151447,0.0552877213552167,0,0,3.01383552915339,-0.0634062449615346,0,0,0.00576192570640309
BV010082.Index,-0.0614508698149471,0,-0.0843356844085509,0.0887620228984008,-0.0240849057038163,-0.00541582900538251,0.0593690975653435,-0.026223575660653,0.00187464173815647,0.00372857382642389,-0.042403137341001,-0.0578121095481711,0,0,0.109770060776787,0,0,0,0,0
CVIX.Index,0.0425050031480528,0,0.0471352226045176,-0.0440411133311699,-0.0170814100107943,0.00635257416153988,0.0368170733850229,0.0220563206745469,0.016728303285889,-0.0488074982716694,0,-0.00993566223199533,0.0231616519486823,0,0,0,0,0,0,0
DXY.Curncy,0.00076318427306692,0.065046885587661,-0.0306788573667767,0.00356250112618273,0,0.0124031880116483,-0.0218663952575682,-0.0221019060255403,0.00724543774081505,-0.017570324117447,-0.010932737802731,0,-0.0229188227942424,-0.0143397859220379,0.00917378246651264,0,0,0,0,0.0246150347173585
SPX.Index,0,0.00550408432539603,0,0,0.000974435930475501,0,0,0,0,5.42101086242752e-20,-0.00338501461410415,0.00265680048183258,0,0.0106480739032291,-0.00400241495158966,0,0,0,0,0
VIX.Index,-0.0602920968641842,-0.0243514732632609,-0.0319783064614324,0.0530936528584907,-0.206891768401545,-0.0573343285171477,0.0873147085930305,0.388519302156297,0,0.266891311719227,0,0.177296279950778,-0.429126076792387,0.05173434557704,-0.0801949450489204,0,0,0,0,0
