,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.355922716352302,-0.113473097289708,-0.0449231016305215,0.022838142897807,0.073331179400105,0,-0.04396908801301,0,0.326389722185947,0.204100954085924,-0.0295222232847979,0,0,0,0,0,0.0390785596448623
ETH,0,0,-0.325682049858998,0.38179862898613,0.45269853549748,0.00837607060171356,0.0700040437153743,-0.2693690951188,0.1827281709116,0.265932963488346,0,0.495028199637707,0.497027868068118,-0.130846394499717,-0.52033893821682,-1.06872246230805,0,0,0,-0.286963159060307
XRP,0,0,0,0.28004071067998,0,0.0729674223707154,0.181992822120442,0.18636223467419,0,0.185082085466442,0,0,0,-0.0206837430590996,0,0,0,0,0,0
BCH,0.230140146086956,0.663485418665949,0,0,0,0,0.0398665576688299,0.0336279109143013,-0.181796466390262,0,0.338864653141806,0,0,0.0254511245626215,0,0,0,0,0,0
LTC,0,0.423332454651858,0,1.38777878078145e-17,0,0,0,0.0654884426968984,0,0.0274781993442773,0.122177348432937,0,0.14439352718785,-0.028170280435399,0.165587942242723,0,0,0,0,0
ADA,0,0.106744486340205,0.587037407939805,-0.761797296142727,0.0330348459518581,0,-0.098261549735191,0.297023327553364,0.0306379360968369,0.131241964771236,0,0.138533523985685,0,-0.0783676779120557,0.6172975602606,-1.13790111995137,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.368019360268005,0,0,0,0.483924439365565,0,0.40930113227807,0,0,0,0,0,0.0466589134697497
XLM,0.866802743479387,0,0,-1.08727092626894,0,0.459650558875517,0.0587800119993322,0,-0.724422867158691,0.318711749777454,1.26169931080636,0.861456646426684,0.2674325642099,-0.0581031070005368,-0.988396846204098,0,0,0,1.59821403077807,-0.33196389735749
MIOTA,0,0,0.292088531122228,0,0,0.174946163299779,0,-0.0893598315199674,0,0.156013953076941,0.468703024470822,0,0,0.0449363058496738,0,0,0,0,0,-0.156662481484042
NEO,0,0,0,-0.183768376750887,0,0.0257198044296821,0.0699790003426975,0,0.235435280101856,0,0,0,-0.0931702960029049,0,1.10933205171236,0,0,0,0,0.141486903053038
XEM,-0.33093934916927,0.337492212587243,0,0.106012990115148,0,0,-0.10700885101959,0.565988506826665,0.0296756091990872,0.0672588383492309,0,-0.571210194840183,0,0.0937188733614064,0.763261510765067,0,0,0,0,-0.00133898244929067
XMR,0,0,0.0674886882917945,0.210247617484752,0,0,0.0325387515833848,0,0.285283365887542,0.0684047801070037,0,0,0,0.118433326862835,0,0,0,0,0,0
DASH,0.510097935599109,0,0,0.196480019154903,0,0,0,0,0.187863863540834,0.0608584855834281,0.196778372898165,-0.145336614149574,0,-0.0488133640529416,0,0,0,0,0,0.150702899178406
TRX,0,0,-0.928624332492117,1.1319156845888,0,-0.0185025109760276,0.0209708725847047,0,0.559452570274034,-2.77555756156289e-17,0,-1.68767622500675,1.92669682293566,0,0,0,-0.0499625235886907,0,0,-0.320680964214666
ETC,0,0,0,0,0.11573080487185,0.0297751414917322,0.158907361733491,0,0.25650185717897,0.0444987046921102,0,0.195759390689096,0.025341848822062,0,0,0,0,0,0,0.0516690210130238
BV010082.Index,0,-0.0272576818567508,0.126468673649943,0,-0.0976141842170983,0.0152368450471265,0.0146231483812166,0,0,0,0,-0.141270937903454,0.110166362961913,-0.0396251989358438,0,0,0,0,0,-0.0515631197335529
CVIX.Index,-0.153336824221484,-0.202637156953808,0,-0.111752671019768,0,0.0879937480231857,-0.0146929513241949,-0.058184290584623,0,0,0.0896142994486595,0.178650995068286,0.210777395620823,-0.0333292447385503,0,0,0,0,0,-0.046576463256953
DXY.Curncy,0,0,0,-0.0931770888373355,0.0142490620219798,0.018125576600846,-0.00305738513205856,-0.0234068183791241,0,0.00914744038254252,0.0320287963212927,0,0.0225542176146128,0.00349047881447941,0,-0.0523834071817749,0,0,-0.0199798493833132,-0.00420954575507833
SPX.Index,0,0,0.0673668906180145,0,0,0.0174396643244125,0.0223475494584203,0.0266471191250632,-0.0428974149624367,0.013810038726391,-0.0178443698891061,-0.0875027346751363,0,-0.0158859782033036,0,0,0,0,0,-0.119345949954274
VIX.Index,0,-0.160618517469178,3.46944695195361e-18,0,-0.0225668533563138,0.261300880454831,0.0300248388109929,0,-0.756157847081676,0.382759678244591,0,0.113160563145951,0.378988263407861,0.0392709782738924,0,0,0,0,-4.15810279392187,0
