,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.000408918095517073,-0.105557378084869,0.120840883993551,0.280828188995925,-0.162759009803676,0,0.139724235723339,0,0,0,0.1265295757177,0,0.136890453177169,0.299929062744939,0,-0.0278374882418515,0,-0.266349604561569,-0.0644003799739899
INNBCL,0,0,62.3155063385439,0,0,-0.650823179371557,24.55074822205,-43.0504206315349,-68.7954798090677,0,2.9815848259443,-3.14819600185613,9.36384392393663,10.2906963467999,0,0,-34.1024935110788,0,-28.0101027111641,0.409485376616673
ETH,0,0.00568732300178761,0,0,0.283095257372053,-0.0874643406984608,-0.0987677843136764,0.140777258144612,0.726523932631481,0.0749501512974302,0.00368366863002211,0.057397609708546,-0.0918414653083679,0,0,0,0.04434813514605,0,0,-0.0189886554341159
XRP,0.068672337462132,0,0.00985958281743456,0,0.0923988100510316,0.183007284415627,0,0,0.168829476979675,0.0735603131452989,-0.0220089891615689,-0.0377674882835268,-0.0373898420807924,0.140806976012099,0,0,-0.0737471229348266,0,0,-0.0102198435501565
BCH,0,0.0056697140675263,0.283758878117065,2.77555756156289e-17,0,0.227340555136969,0,-0.112338746693405,0.148550315832066,0.0648811681125198,0.0133291413079614,0,0,0.247787687124357,0,0,0.175273634832262,0,-0.054525683028202,0.085833009461051
BSV,0,-0.00752956056065193,-0.181308585602475,0,0.707162126165077,0,0,0.471243859261717,0,0.101643608097733,0,0,0,0,0,0,0.126431535724852,0,0,0.0279080177119031
LTC,0,0.00240873755256036,-0.293600939742187,0,0,0.0419497802690265,0,0.198656192153527,0.565927780151312,0.238768267225538,0.0157587713404057,0.0214936125833626,6.93889390390723e-18,0.0727244579293486,0,0,0.138203323388021,0,0.437538327943422,0.115879922607524
BNB,0,-0.0052917217496602,0.33682279356329,0,0,0,0,0,0,0.0379373246145466,0,0.155063222615768,0,0.363595803698559,0,0,0,0,0,0.137397889876251
EOS,0,0.0052227115249625,0.390375505824264,0,0,0.00445427891777821,0.617387813094735,0.0292688671619717,0,-0.209748749209308,8.67361737988404e-19,0,0.132791626339266,0,0.110852103740265,0,-0.00860179780209948,0,-0.157065566940864,0
XTZ,0,0,0.672897717213841,0,0,0.30696128101832,0,0.131455387597531,0,0,0,0.215181889468213,0,-0.282544148866236,0,0,0,0,0,0
TAGZ5,0,-0.0366207205020625,0,0,4.40025100666362,0,0,-4.45043242404899,0,1.06223192898974,0,0,0,0,0,0,0,0,0,0
LINK,0,-0.0104041096315074,0.0784582109052062,0,0,0.847981570552553,0,-0.121381967287854,0,0.368907694454914,-0.0272648361726956,0,0.0803172775699799,-0.0500992998834723,-0.33134866493544,0,0,0,0.402985281326842,0.152516760573125
XLM,0,0.00318245966957567,0,0,0,0.303311510949762,0,0.112439590581831,0,0.0298601958507028,0,0,0,0.236692121305749,0,0,0,0,0,0
ADA,0,-0.00127820709719587,0.329289528743472,0,0,0,0.18453587492458,0.0850751102421002,0,0.17209655756961,-0.00490976089347251,0,0.0354198455199672,0,0.0635688991458475,0,0.0650487866902433,0,0,0.0261508187092337
XMR,0,0,0,0,0,0.11118075120818,0,0.221427564191893,0.308266536358471,0,0.0237337128166783,-0.0642710347026304,0.0781504468249929,0.122638849703366,0,0,0,0,-0.0656648311086003,0.0204052661624416
BV010082.Index,0,-0.00227749701425773,0,0,-0.1547598602088,0,0,0.210607970943815,-0.0786986376004147,0,0.0211398375415886,0.0112684283609503,0.136606566047079,0.00362468662139811,-0.265799406681593,0,0,0,0,0
CVIX.Index,0,-0.00857450087514144,0,-0.285545015568308,0.26920137987652,-0.252901067803057,0.574335180117443,-0.0437014836963853,0,0,-0.0502639145359571,-0.0831718262390458,-0.0591891803787745,0,0,0,0,0,-0.664706669614128,-0.175250553916206
DXY.Curncy,0,-0.000853595599645175,0,0,0,-0.0113294789685941,0,0,0,0,0,-0.0120071384341566,0.0160207575452033,0.00772011680918473,0,0,0.0561647266015434,0,0,0.0259970339156471
SPX.Index,0,-0.00424466748844292,0,0,0,-0.0922499221393381,0.298397064293591,-0.115486104002786,0,-0.0596966549916195,-0.0233843403504105,0.0183860768127482,0,0,0,0,-0.384038389673954,0,0,-0.167489342720259
VIX.Index,0,0,-2.47790764975349,0,0.861471298672355,-0.508084396621735,0.170436931346699,0,2.04154558841981,-0.125065002709791,-0.0624106880741596,0.570403266921343,-0.192733150730969,0,0,0,-0.542912051380406,0,-3.32634060580089,0
