,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,ETC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.244234087969643,-0.302987408388161,0.0183842294901273,0,0.0662533266972577,-0.00265140551599326,0.387442916215979,0,0,0.158819424230693,0,0,0,0,0,0,0
ETH,-0.0449609603997545,0,0,0,0.404949739180851,0.0524039653683126,0,0,-0.0590020087567306,0.38400833685,0.033122475598703,0.164806494753031,-0.118570897444505,0.136458195538222,-0.0977114221064475,0,0,0,0,0.166770491879441
BCH,0,0,0,0.303327209701231,0.0470970622901564,0,0,-0.0837344289422351,0.0857549746813635,0.444142157311487,0,-0.168502801429085,0.129880829214772,-0.18679558494579,0.157332255396762,0,0,0,0,0
XRP,-0.147204288127923,0,0.219598980251427,0,0,-0.0873600480513929,0,0.226402038008431,0.0862802899241848,-0.0861237088563202,0.501608642835056,0,-0.210887003500329,0,0.34479086103297,0,0,0,0,-0.340992912776318
LTC,-0.430230213730125,1.6132067624307,-0.291518384514386,-0.00281576345503001,0,0.0550281606016684,0.335583519315257,-0.0668970065155373,0.015678689080715,0,-0.355592322965551,-0.276575570651295,0.422215414025446,0,0,0,0,0,0,-1.31302142507101
MIOTA,0,0,0,-0.33881059794409,-0.05153469557092,0,0,0.0926833560556835,0.144445757695871,-0.27819369840997,0,0,0.446003709731254,0.352164712818387,0,0,0,0,0,0
DASH,0,0,0,0,0.261861373842041,0,0,0.0293681271085718,0,0.26555265990173,0.0874326569632159,-0.018812726795975,0,0.0144340733272575,0.0995980123601798,0,0,0,0,0
ADA,-0.457304178765634,-0.383226075767527,0,0.205877643596838,-0.852143877666392,-0.143763662869102,0.844892326405704,0,-0.202594024764488,0.535243378805858,-0.35808336024296,0.0447167536332159,0.461217172770888,1.62701928622026,0,-0.848786697533754,0,0,0,-1.63498538552833
XEM,0.263195688584138,0,0,0.236385728569297,-0.547255309099856,0.345414512478042,0.630401580525261,0,0,0,0,0.476901316512894,0,0.428737086463838,0,0,0,0,0,0
BTG,-0.0392372101403256,0,0.771174013948974,0,0,0,-0.109465639447435,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.173948400280868,0,-0.10179181718769,0.20608696654575,0.104917902920016,0.216820397703463,0,0,-0.0426953685048341,0,0,0,0.15431744135925,0.0709683530585005,0,0,0,0,0,0
EOS,-0.247213596876591,0.803689986427205,-0.603727250256584,0,-0.289743004307589,-0.0757634376682273,0.205976562470777,0,0.184521853373133,0,-0.307753538182847,0,0.871506504010029,-0.681067739337037,0.692805605879621,0,0,0,0,0
XLM,0,0,0,-0.296444819530623,0.214100862038084,0.123536308180577,0,0.340206223321547,0,0,0.47793225681269,0.33364754959706,0,0,0,0,0,0,0,0
ETC,0,0.506420756486607,0.51845556597491,-0.109286404508435,0.0246851276007639,0.0166919536617319,-0.30004156874001,0.315663829244069,0.111483041223381,-0.797618371821927,0.228935580304964,-0.0789995514920663,0,0,0.298793577830527,0,0,0,0,0
NEO,0,0.0538991797341034,0.192552349787273,0.0819599192025114,0.0416244473064091,-0.0858979257201787,0,-0.0744826073316799,-0.0179616044187422,0.427008180830498,0,0,0,0.32049522996728,0,0,0,0,0,0
BV010082.Index,-0.067495379382753,0.238271195139297,0.0144889049948502,0.0310078797442908,-0.0446808153741439,0.0407041989171069,0.000909948566876234,-0.0729083584543371,0,-0.095719849479581,-0.128019334385208,-0.0372380655194908,0.125539277196931,0.041094732413737,-0.0902046599453278,0,0.139627453434607,0,0,0.15322036724724
CVIX.Index,0.0189179798335998,0,0.0153377923419469,-0.0491994562088678,-0.0810542710728437,-0.0272372209932522,0.0920816266389905,0.0173853748559517,0.0185276911008624,0,0.105253399826465,0.00146980522546714,0,-0.0242305550126203,0.0441682029474692,0,0,0,0,-0.21147855321634
DXY.Curncy,0,0.0242741046469912,0,-0.00292096834225089,0,0.0105139835512657,0,0,0,0.00126297390184516,-0.0112698664568153,0,0.0070654674571562,-0.00593547140000543,-0.0272025175042872,0,0,0,0,0
SPX.Index,-0.00873665345358991,0.00869144423184681,0,-0.00518285316561489,0,0,0.0177974935659749,0.0108353107829089,-0.00145534324519177,0,-0.00534589439588818,0,-0.00785548869580432,-0.0127767369167305,0.00263898532843459,0,0,0,0,-0.0492313275737078
VIX.Index,-0.0797301269486125,0.138768605673545,-0.101732000454046,0,-0.258028430672499,-0.00668326421123394,0.128715833894727,0,-0.0275148392134207,0.0801168434590836,0.152477342988501,0.127005481847706,-0.0323071307425884,0,0,0,0,0,0,0
