,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.045598741289094,0,0,0,-0.00681974030424443,0.0595910941501964,0,0.0376951731019876,0.29069173953796,-6.93889390390723e-18,0,0,0,0,0,0
ETH,0,0,0,0.0707998754582307,0.391420154916002,0,-0.0045341369857229,2.77555756156289e-17,-0.0242713157776503,0.244104865000075,0,0.10665201257162,-0.148301307598075,0.180398373903365,0,0,0,0,0,0
BCH,-0.246437791684999,0,0,-0.125230592984886,-0.0217426600886624,0,0,0.344126283830842,0,0.187007557897128,0.664500686298104,0.102833486782391,-0.152175149698472,0,0,0,0,0,0,0
XRP,0,0,0.264224039400031,0,0,0.123272440450523,0,0,0.180502382810549,0,0,0,0,0,0,0,0,0,0,0
LTC,0.0358276271640535,1.21588235813137,0,-0.233846904580437,0,-0.180168814320292,-0.0568894029588474,0.0627724631565019,0.227311417841841,-0.501376244982023,0,-0.184141300659382,0.524093484964347,0,0,0,0,0,0,0
ADA,0,0,0.0240107023596905,0.184380166842857,0,0,0,0,0.13981084418162,0,0,0.149188673175691,0,0,0,0,0,0,0,0
MIOTA,0.224455983291918,-0.226221334392593,-0.0797002535695877,0.0845376431370384,0,-0.447327701358107,0,-0.187297434731718,0,0,0,0,0.566837489002317,0,1.20869970420744,0,0,0,0,-0.668822166321268
DASH,0,0,0.0742856394734523,0,0.194445835959891,0.0973123096578562,0,0,0,0.183816610014466,0.0353553398374649,-0.0745713207060405,0,0.190765142921743,0.0916677990572528,0,0,0,0,0
XEM,0.177493917598574,0,-0.261894193957841,0,0,0,0.0875607613121895,0,0,-0.808847633797585,0.274323720602157,0.504486068628681,0.12984802275713,0,1.97158645803604,3.05273761670363,10.1837487717246,0,0,1.33096830531302
XMR,0.214950098041949,0,0.294812095665378,-0.0183617885331822,-0.109147743769517,-0.176302229326094,-0.122105218361003,0.49649674270608,-0.0073488523145881,0,0,0.00348971756938244,0.31069583517082,0.146529027700376,0,0,0,0,0,-0.339975906191864
BTG,0.0732885612682506,-0.290552224323927,0.322046794752148,0.0681151675679346,0,0.0395368350641072,0.113700914424607,0.378829435407034,0,-0.259323733625332,0,0.124534567751936,0.00711080689810094,0.0673638390436463,0.312012401255322,0,0,0,0,0.453840886056105
EOS,0.167147288326521,0,0.265718352170285,0,0.253686638298305,0.0432530031325096,0,0,0,0.0440768996044321,0,0,0.455154915683856,-0.227592808811909,0.236152737401521,0,0,0,0,0
XLM,-0.176464051545547,-0.484146661560878,0,0.142840336510223,0.301130875283089,0.38367063639948,0.14997815828133,-0.327857666997888,-0.028390977199779,0.973206783923051,-0.234298460221275,0.0588613180869136,0,0,0,0,0,0,0,0
NEO,0.225130826124093,0,0,0.113295753343249,0.13314348946943,0,-0.170401300700911,0.0757711453547421,0,0.1622169843604,0.103717822572209,-0.0352567895409531,-0.0516128612174225,0,0.512693595056922,0,0,0,0,0
ETC,0.168316106326369,0.32826638571501,0,0.0526055461542753,-0.250474100564427,0.0167626979973271,0.0731507203653258,0.46140816004077,0.182635638760696,0.11272246782553,0,0.0925754276599858,0,0,0,0,0,0,0,0
BV010082.Index,-0.0599375654644196,0,0.00412830160853854,0,0,-0.0550081359152261,0.0048843683149062,0,0.00272093736354246,0,0,-0.0251445632388293,0.050127395857821,0,0,0,0,0,0,0
CVIX.Index,0.0274717722448077,0,0,0.0210473769042816,-0.0210039791898206,0.0112215938908093,0.00221101100208931,0,0.0281991257626066,0.102068818431484,0,-0.0340326915445774,-0.0221586793793408,0.000265632167819076,-0.133040590344404,-0.0866458866436243,0,0,0,-0.109254961927563
DXY.Curncy,0.00538314513206052,1.35525271560688e-20,0,-0.00473790271833706,0.0035115017327519,-0.00195777198462742,0.00272518485695869,0.00605027020936521,0.00104237138210952,0,-0.00731374371392444,-0.00457021819706421,0,0,0,0,0,0,0,-0.0238930342712784
SPX.Index,-0.00499997811274715,0,0.00291293999666895,-0.000605258859991229,0.00725979553213056,0.0104130167754891,0.00171397362368925,0,-0.00338220726062668,0,0,0.00166628508626256,-0.0147931537894374,-0.000191445333030677,0,0,0,0,0,-0.0492520643392617
VIX.Index,-0.077827621127523,0.0338208698770945,0.127167504253706,0.104492140364363,-0.124564227639313,-0.0670695064848998,0,-0.205086288846352,-0.0258654912810904,0.321983680332164,0,0.0572192756616839,-0.0987297067250429,0.137688091510405,-0.183981191345389,0,0,0,0,0
