,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.293043156137335,0,0,0.406449743051737,-0.0381758833798673,0.0234983057293191,-0.0410115969353635,0.380487379702861,-0.201473483445851,0.0798809805675604,0,0.138666362961824,-0.101496987239227,0.00540577991490752,0.172377449966328,-0.212400644510716,0,0,0.074048981432952
ETH,0.152299419186679,0,0.244911192805236,0.0331446274701388,0.155593098737974,0,0.251811758579726,0,0,0,0.0702145439735974,0,0,0.0237208404453924,0,0,0.0669050223110859,0,0,-0.0641842702552184
XRP,0,0.401649946164653,0,-0.150633812200511,-0.299932502565786,0.143562793654812,0.0785634474147877,0.0710937107942766,1.12863912710025,0,-0.151422582941849,0,-0.138915608142576,0,-0.0223873338155406,3.46944695195361e-18,0.449532694325183,0,-0.274311758304044,-0.0879470426483611
LTC,0,1.05139491018336,0,0,-0.163542005766316,0.288893552523947,0.145362319339515,0,0,0,-0.179515095046759,0.461151271495508,0,-0.350040134352522,-0.168725746292846,0.468760191239067,0.245072763824374,0,0,0.40450483808637
BCH,0.440490702335309,0.143727038859787,0,0.0727323858235013,0,0.0764695043144231,0,0.0163712653914554,0.123045445119262,0.0447627205189775,0,0.113801262394337,0,0,-0.0197810756598899,-0.0121444027809014,0,0,0,0
EOS,0,0,0,0.309105002828434,0.817515639300515,0,-0.308750669378749,-0.123250970816054,0,-0.259766814538408,0.0331427892048445,0,0,0.553948532537244,-0.0471767632753693,0.311404019492154,0,0,0,0
BNB,-0.219232282265556,0,0,0.517981634004852,0,-0.0788216823668348,0,0,-0.631385816096506,0.877232901649795,-0.486821863090593,0,2.77555756156289e-17,0.342029016111786,0.127293763544313,-0.65666063701544,-0.16967825850245,0,0,0
BSV,0,0,-0.0469462149436169,0,0,0.323388100052331,-0.544006765329498,0,0,0,0.333265622363938,-0.390662179139602,0,0.605385538120113,0,0,0,0,0,0.195411085830711
XLM,0,0,0.400609124570487,0.0509111110564819,0,-0.13663129535437,-0.0119262468064525,-0.0414254239352401,0,0.273681916375206,-0.0542037109712866,0.16204730490415,0,0.181634456791885,0,-0.0916338953587177,0,0,0,0.0763873707519334
ADA,0,0,0,0,0,0.200180474374767,0,0,0.563542405921443,0,0.101778512222948,0.0631433512237079,0.0573150445022881,0.125520452773941,0,0,0,0,0,-0.046406157286963
TRX,0,0,-0.0317850951288131,-0.0592055981557593,0,0.33260000584829,0,0,0,0.702918160992161,0,0,0,0,0.0925650262800065,0,0,0,0,0.144764818215204
XMR,0.0250515341768632,0,0,0.212636061184943,0.35807508047269,-0.0525718992024405,0,-0.0297044096812281,0.211080262355632,0.00552858423304256,0,0,0.0083801189875067,4.33680868994202e-19,0.133513710129995,0,0,0,0,-0.0604517448787669
DASH,0.393356706987182,0,0,0,2.77555756156289e-17,0.0209605816077663,0.15485378316158,0,0,0,0.060529587333352,0.0946949494785977,0,0.177750511831864,0.119320998237428,0.0443253299039315,0,0,0,0.0625646192547014
MIOTA,0,0,0,0,0.193109973189008,0.250942857389935,0,0.109711666150494,0,0.294620402314333,0,0,0.302173760055424,0,0.00149057362484736,0,0,0,0,-0.112082028822879
ATOM,0,0,0,0,0,-0.11735811409448,0.0660547280912373,0,0,0,-0.0729265551249824,0.422375721357581,0.78769360846746,0,0,0,0,0,0,0.0458425610688824
BV010082.Index,0,0,0,0,0,0.0531493417786982,-0.366386015764057,0.0245282812234599,-0.183027699284338,0,-0.250481150530723,0,0.914305164344061,0,0.0314095817191771,0,0,0,0,-0.166382969836336
CVIX.Index,-0.375280923377032,0.351478894589818,0.258332057194838,0,0,-0.159565746960836,0.0913596832055721,0.0173821530235393,-0.00181361752535386,-0.264436017944417,0.302674005214386,0,0,-0.111200772645469,0.112075805015101,0.0812977135421247,0,0,0,0
DXY.Curncy,0,0,0.0471555587355034,0,0,0,0,0.014275667547241,0,0,-0.0179811294139669,0,0,0,0.00891136537736928,0,0.0450755294462826,0,0,-0.00578686411308238
SPX.Index,0,0,0,0.0514184393156415,-0.0449035374550856,0.00924663000929409,-0.0388784707808309,0.00985164940587909,0,0.0225825604785713,-0.0217929925720548,0,0,0,-0.00821120449047591,0,0,0,0,-0.0793777637285993
VIX.Index,0.200894887709684,-0.89440371281567,-0.363571011039698,0.389775702097393,0,-0.0744205931148642,0,0.186260356108529,0,0.425794920789125,0.0870735844887545,0,0,0,0.202533726317149,-0.585434623808721,0,0,-2.49046332120878,0
