,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0244338109416977,0.0214904847648839,-0.160410641648979,0.282959097014041,0.257328457582788,2.77555756156289e-17,0,0,0.0542697016987985,0.0415740774236755,0,0,0,0,0,0,0
ETH,0,0,-0.082834789108796,0,0.0994409135272804,0,0.21781803206928,0,0,0.118007697779989,0.0705235033040594,0,0,0,0,0,0,0,0.0643824992746786
XRP,0,-0.604279920135824,0,-0.421157521019315,-0.465697254321544,-0.0608816022830242,0.183259967722521,-0.0398097556141493,0.90879689876946,0.233987430069028,0.0858455322955706,0.0475072235429107,0.79944782326421,0.254622639009281,0,0,0,0,0.690242962980027
XEM,0.119565863305487,-0.336261816003179,-0.329930223249462,0,-0.375642745846704,0.121250275690217,0.084775311624594,0,0.442162992072523,0.169192242661959,0.367970111533405,-0.0342128207777525,0,0.222488249088931,0,0,0,0,0.616211327313946
ETC,-0.0371527089195999,0.175847051628587,-0.541084559058399,0,0,0,0.067381307282428,0,0.334292453074859,0.08745377397088,-0.108241000601832,0,0,0.282263137616959,0,0,0,0,0.250320047947181
LTC,0,0.0629371774820145,0,0,-0.0478827955917905,0,-0.495237600223412,0.738521799400087,-0.193418516307107,0,0.105440335188303,0.0246992965241563,0,0.458389639504379,0,0,0,0,0.264614476554241
DASH,0.477474430185053,0.144493615897707,0.154764552344615,0,0.227462328870355,-0.328795495438045,0,0.327324264423088,0,0.241938130421841,-0.0693913557057893,-0.050872316575191,-1.47494463939948,0.0799061458477817,0,0,0,0,0.173942927887088
XMR,0,0.25382506036423,0,0.207093177212813,-0.270617060931207,0.0673573369420485,0.461389386525019,0,0.0231997726053918,0,0,0.0296843060219713,0,-0.101532981739185,0,0,0,0,0
XLM,0,0.262418639192811,0.909824010264251,0.456068789374894,0.668452515922783,-0.137619967674825,0.0175354415108124,0.135545690581858,0,-0.249300680196884,-0.0128181873783576,0,-0.479544043951766,-0.352868158838835,1.33141117198606,0,0,0,-0.598393944241342
ZEC,0,0.410833847445146,0.0961758314608681,0,0,0.184093299295466,0,0,0,0,0.117010344238386,0,0,0.00474847302847282,0,0,0,0,-0.00788176460602696
DOGE,0,0,0,0.787014284450721,-0.111525293883613,0.189083764846313,0.309965340198254,-0.217362670976431,-0.161668958837354,0.0916376794567963,0,0.0823195513842202,0,0.0557101239068804,0,0,0,0,-0.744586364985877
DGB,0,0,0,0,-0.0867687325377582,0.0930311948164436,0,0.139640958174419,0.629560169800604,-0.195022334882596,0.752793636049612,0,0,0,0,0,0,0,-0.550050980759823
BAT,0,0.178219156143664,0.206170572633411,-0.01919836218482,0.131725892746469,0.057754147557077,-0.297856132546926,0.0584647236172516,-0.0764830069368871,0.0495764628924827,0,-0.101709832576464,0,-0.0462743902319372,0,0,0,0,0
NEO,-0.105834044278811,0.652419135250304,1.47222883851552,1.50030418488626,1.58758429806898,0.500224657507926,-0.340181214883981,-0.545919089657905,-0.930943935663991,0.126714073507989,-0.707254281257891,0,-2.40964584648231,0,0,0,0,0,-2.0511665780326
BV010082.Index,0,-0.105152314568602,-0.182752787091583,-0.120445899544446,-0.0784776803901325,-0.0216597186424108,0.00419016526621698,0,0.194806299663208,0.0611729750870024,0.0126290488805632,0.0045012752448826,-0.0618550887699176,0.0779809546818808,0,0.273882500880374,0,0,0.0614867629418757
CVIX.Index,0,0,0,0.188810560904034,0.0900536669581839,-0.0567733460508558,-0.0767407999299691,0,0,0.0500801496309995,-0.0806844401388267,0.0348372831519588,0.104626905828802,0.000397642946920338,0,0,0,0,0
DXY.Curncy,-0.00276970741074072,0,-0.00686748274853568,-0.00756278975903172,0.0174792449024122,0.000109420738396471,0.0056025917835188,-0.0104252139313547,0.0176985649361411,0.00870469317701704,-0.00965551647760067,-0.00277428966325002,-0.0746987648433459,-0.00610443916750789,0,0,0,0,0.000694758804227216
SPX.Index,0.00168481419348046,-0.00720046479326075,-0.00772769250294081,-0.00938848863852517,0.00438802027233555,-0.00153199759000125,0,0,0.0121793729752124,0.00791989047435915,-0.00468167638126732,0.00387511233731129,-0.057928675252917,0.000867279441065297,0.0100190740989265,0,0,0,-0.0286954086298416
VIX.Index,0,0.384459739999063,0.878736701572889,0.73228198370082,0.76934097305862,-0.0267841066296169,-0.312028636182474,-0.0701167358818398,-0.59419495168815,-0.00713717803938986,-0.294737583046882,-0.0341214251656616,-1.35317337296566,-0.399976198320198,0,0,0,0,0
