,BTC,ETH,XRP,BCH,BSV,LTC,INNBCL,EOS,BNB,STO,XTZ,LEO,TAGZ5,XLM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.179579996993784,0.140224705749582,0,0,0,0.241166236392475,0,0.22978082470811,0,0,0,0,0,0,0,0,0
ETH,0,0,0.301446677281577,0.0956173889884596,0.315975047456415,0,0.00198177286860245,0,0,0.00416326696326419,0.27673013272043,0.0878082354166477,0.0580902046549126,0,0,0.00147367516779774,0,0,0.0836051268211887,0
XRP,0,0.255090698791577,0,0,0,0.244867804851478,-0.00107205386915875,0.246122439703727,0,-0.000318582406512823,0.00877139396355779,-0.11737817822324,-0.0347817143307699,0,0.0591032486055934,0.0405936627523486,0.0249017304882173,0,0,0.0420578419502713
BCH,0.150210262036722,0.247081518711032,0,0,0.296966603962151,0.347033565226253,0.00015914256885587,0,0.155182723471147,0.00707952593208588,-0.134405571230117,0,0.0143718729960831,0.05411212071396,0,-0.00942736942622141,-0.0447493424837527,0,0,0
BSV,0,0.872792783055484,0,0.192198976933998,0,0.478042435820391,-0.012847454357276,0,0,-0.00948244886126928,-0.439385770812768,0.547758264608871,-0.00225912412951003,0.100498492862861,0,0.0940251300991522,-0.0681017650076277,0,-0.898781732330627,-0.246084477874616
LTC,0,0,0,0.247433813457388,0.0542290858690145,0,0.000569821509409856,0.276469504932073,0,0.00247337979400973,0.280730407240618,0,0,0,0,0,0.0855162363812806,0,0,-0.0278854100780576
INNBCL,0,0,0,0,-4.307662450334,0,0,0,0,-0.886222087382019,0,-24.8835633277545,4.82862642168891,0,0,0,-0.813115899695741,0,0,0
EOS,0,0,0.327170175711446,0.233822888886051,0,0,-0.00109934216657298,0,0.447769128728934,-0.00703158370402532,-0.0345973653059673,0,0.0383403527754964,0,0,-0.0135164473021146,0.0149149046099715,0,0,-0.0320575739795998
BNB,0.112475411442986,0,0,0,0,0,-0.00531959379942269,0.676070385751163,0,0.00556778729874044,0.146925784955201,0,-0.0108781506480859,0,0.100103122522335,-0.0841498737195434,-0.0318472233004696,0,0,0
STO,0,0,0,2.53069253336367,0,0,0,0,0,0,-0.52217216344922,-10.0704672018451,-2.40021677031299,0,0,0.42693240315001,0.256405083862347,0,-20.6583425996251,-1.74111688537122
XTZ,0,0.690910975132684,0,-0.254271075799511,-0.413432419490949,0,0,0,0.716655665034192,-0.0028278443728537,0,0.444056604135822,0.0490226505118791,0,0.329523759118714,-0.0726348362260064,0.0394903205994115,0,0,-0.0599074232565414
LEO,0,0,0,0,0.0823383285768694,-0.247820102502582,0,0,0,-0.00212813304402299,0.318810025214007,0,-0.10008930879938,0,-0.204680837106288,0.0984766342772975,0.0315388167457408,0,0,0
TAGZ5,-0.486554920224554,0.828411479641739,0,0,-0.3106132725977,0,0.00371023003840123,0,0,0.0162163109831151,-0.057407179063312,-1.41755010146429,0,1.03611814997438,-0.359585953541933,0.108716633627957,0,0.85667944542262,0,0.0515748052112079
XLM,0,0.0110445273602554,0,0.147011568133666,0,0.414525317875235,0.00133347389816861,0,0.0452463313291535,0.00787216789572314,0.105639445410799,0,0.051942624750628,0,0.0381885242741176,-0.077527288549375,0,0,0,0
TRX,0.702983923368904,0,0,0.00594812304195179,0.229208732269391,0,-0.00716720918523551,0,0,-0.00431334964221239,0.0736330882069701,-0.235783351589372,0.0817625367800494,0,0,0.049719441528105,-0.120681710190014,0,0,0.100629299782526
BV010082.Index,0,0,0,0,0.907817764075725,0,-0.00863910513136596,-1.37809774754518,-0.227117608434642,0,-0.769224853254856,0,0.289783689933936,0,1.16345812126401,0,0.160003120420885,0,0.395112782806117,0.0088427473615842
CVIX.Index,0.504651613880082,-0.393986252265364,0,0,0,0,-0.0127578338567366,0,0,-0.0481235752340075,0,0,0,0,0,0.56088289564868,0,0,-2.22411939576071,-0.0230470075642616
DXY.Curncy,0,-8.67361737988404e-19,0,-0.00342368164697097,0,0,0,0,0,0.00229053424952349,0.000610066985483984,0,0,0,0,0.0605796772984362,-0.0369320499048432,0,0,0
SPX.Index,0.0989950873964588,0,0,0.0245063751808572,0,0,-0.00150713434525455,0,0,-0.0151077359161959,1.73472347597681e-18,0,0.0207667127522932,-0.132548131058977,0,0.00705899713400523,-0.0289404839378979,0,0,-0.27175932024435
VIX.Index,0.12529980477344,0,0,0,0,0,0.00100813955171194,0,0,-0.0149253804732846,0,0,0.0912751432418653,-0.179152548591481,0,0,-0.189895377844895,0,-3.22986510950339,0
