,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0386225592513843,0,0.132326624207886,-0.0137228996856074,0,-0.0749650333300053,-0.088627060687805,0,-0.138249657120891,0.284122398684315,0.231442257555754,-0.0335268364191945,0.0513432031286142,0.0668400085748765,0.370659069947617,0,0,0,0
ETH,0,0,0.425251239896383,-0.199077627635424,0,0.406263364427433,0.150853759635059,0,0.1340280099975,0,0.333861307267817,-0.127064233022567,0,-0.0412937518120467,0.00616931899298935,0,-0.203722891312266,0,0,0.0153841903115072
XRP,0,0.199249586175025,0,-0.0236038326351076,-0.0803752583694886,0.519712344127918,0,0.106480388081388,0,0,0,0.0238418532415754,0,-0.0356622172884108,0.113099242729873,0.0567072488485187,0.193882787214874,0,0,-8.67361737988404e-19
BCH,0.634069634317149,-0.291565308337828,0,0,0.458724043581268,0,-0.0956094775032323,0.371908046238916,0.221949282780534,0,0,0,0,-1.73472347597681e-18,-0.319713451898055,0,-0.235144569782458,0,0,0.00496546576602937
LTC,-0.0433420657706874,-0.401678095983903,0,0.0917442389387817,0,1.94607996345647,0.271275702266519,-1.40616962892882,0,-0.0495324644336122,0.435172062502699,-0.298219033305329,0.646512491029396,-0.172419653494142,0,-0.337380647535334,0,0,0,-0.0279428341112521
EOS,0.15309612034234,0.0859261292983797,0.259015504103658,0.0270470187033306,0.129191038288181,0,0,0.404130523740297,0.0434655629976446,0.320288286298973,0,0.0198539341391156,-0.25960396873923,0.0587748401703389,-0.0253867192974846,0.14433756401182,0,0,0,-2.16840434497101e-19
BNB,-0.643538634105889,-0.468389294734304,-0.176702871237114,-0.187280417580664,0,0,0,0.906280172845965,0.32246841721376,0,0,0.449469749718424,0,0.155300216513466,0,1.17162218374856,0,0,0,-0.0092659318237623
XLM,0,-0.00402942862305321,0.44892377801596,0.0778295639701955,-0.401716913864098,0.947580655447976,0.131950418867788,0,-0.0426143703699312,-0.309553925709967,0,-0.124206601066704,0.491012260109618,-0.0981432080560981,0.0796567738517198,-0.498299495634231,0,0,0,-0.00982884269699547
ADA,0,0,0,0.119579305867758,0,0,0,0,0,1.13677569393457,-0.00134518302860128,-0.0481661958514431,0,-0.0674204697246871,-0.0858921666890593,0,-0.398023611450999,0,0,-0.0672021411200628
TRX,0,0,0,0,0.166463948981358,0.218095532072523,-0.0450870660374998,0,0.336207631648571,0,-0.119267084669443,0.232483912592895,0,0.0604323990275282,0.171179771527307,-0.364117424264605,0.292426375019985,0,0,0.0310777209925662
XMR,0.580483758749629,0.692996210534536,0,-4.33680868994202e-19,0.0857050722723946,0,-0.113674357711928,0,-0.11128426228232,-0.509767282306731,0,0.217807628703346,0.161973041926968,0,0,0,0,0,0,-0.0215571965409056
BSV,0,0.0986192576833315,0,0,0.149388331638418,0.17427388182926,0.0671024986485437,0,0,0,0.0927733341915477,0,0,0.0247816266750309,0.0550029014779267,0,0,0,0,0
DASH,-0.415933483322779,0.00633047514539795,-0.219102348321054,-0.0809334888469942,0,0,-0.0524441362584465,0.126318058088528,0.441727891985076,0,0.468798606650552,0,0,0.0965785924824506,0.11522284280552,0.470599744688794,0,0,0,0.0241703918570482
ATOM,-2.87480665798069,-2.79958228904874,0.479326282205448,-0.45017767630137,-1.48996530702894,6.97864664117859,0.790678813274311,-2.72494630631638,-1.09389172873272,0,2.58303326994205,-1.16266217504321,1.68370474859285,0,-0.573650009717179,0,-0.792095644207008,0,0,0.135799429336012
MIOTA,0.216707269989032,-0.228258163846637,0,0,-0.100252397256556,0,0,0,0,0,0.0689407162916909,0.441212275922347,0,0.0749684919244051,0,0,-0.27394173746193,0,0,-0.00652064397135971
BV010082.Index,0.318223666822822,0,0.639669976322504,-0.0968750564200315,0,0,0.174024817561079,-0.245651342390026,0.0315479725577769,0,-0.0922050372059593,-0.317556611267519,0.155652240676601,-0.0525239659002416,0,0,0.0592228508726313,0,0,0
CVIX.Index,0,-0.430092133952544,1.10431797832943,-0.0498061516974417,0,-0.0543217913020291,0.154554365298851,-0.495682035465568,-0.721997104325013,0.901952674769792,0,-0.247358251837573,0.143613686504263,-0.103317010358131,-0.261864425711311,0,0,0,0,0.0209277094415922
DXY.Curncy,0,0,0,-0.014921912337965,0,0,0.0209009076741557,0,0.0278703066812132,0,-0.018502067177152,-0.00877379910060565,-0.0373369954884923,0,0,0.00535549341133247,0.0123752957912072,0,0,0.00747257055134148
SPX.Index,0,0,0,-0.0138729320053243,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.00694149011826353,-0.0102703218946752,0,0.0207568172386464,0,0,-0.070275935320195
VIX.Index,0,0,0,-0.27838152756627,0,0,-0.186259216785559,0,0,0,-0.315906225185876,0.439992691840097,0,-0.00263313255565595,-0.11663910346953,-0.685288572697855,0.0285110305608661,0,-11.0039023796466,0
