,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000243635112587691,0,0,0,-0.0819666792716329,0,0.212370256697002,0.146096674929555,0,0.012964809578227,0.258607199509373,0,0.0370566142398002,0.177495250776446,0.335003231029049,0.133823156430601,0,-0.384180964706481,-0.0088416090804685
INNBCL,0,0,0,0,0,-45.4586002924668,24.7108168897646,0,0,11.4875608495804,1.26639919800345,-10.8596176704266,-0.0947530540941604,-8.43703988868259,16.9880131494364,0,-4.62547442329275,0,0,0
ETH,0.745032390662745,0.00415135991802258,0,0,0.108942131655668,0,0,0,0.379753552570463,0.0346645472772723,0.0115968079635247,0,0,0,0,0,0.0270167724501975,0,0,0.00103134968847544
XRP,0,0.00172291811175754,0.12121925928762,0,0.184024365696312,0.165189899548615,0,0.0360068147592175,0,0,-0.0185552814501556,0.0337835479509128,-0.0407122160104899,0,0.0947153558025288,0,0,0,0,0
BCH,0,-0.000519694602176793,0.169163535114503,0,0,0.154432049519063,0,-0.107501553043488,0.345640919173811,0.274833959251869,0.0132435876550212,0.095481077027309,-0.140512359574753,0,0,0,0.14948408029547,0,-0.407898156917219,0.0403656466067377
BSV,0,-0.00277272620062871,-0.237127063763498,0,0.0820986010776626,0,0.137176271589226,0.0715268802796682,0,0.405179128889812,0,0,3.46944695195361e-18,0,0.759548860587642,0,0,0,0,0.0197528281737586
LTC,0,0.000986986868415772,-0.0924092158902018,0,0.347191693761261,0.000194662959544605,0,0.284419576747716,0.0187910456243233,0.0174415415416862,0.0125450154256801,0,0.313618272705719,0,0.0710324591675002,0,0,0,0.593722407878064,0.0658111363311302
BNB,0.794978062726233,-0.00605020973728199,0,0.619915695168234,-0.639919243447231,0,0.586699234292028,0,0,0,0,0.177428314815641,-0.12961137445116,0,0,0,0.150780690444288,0,-0.340130746220723,0.0276163431694991
EOS,0,-0.00277514360712846,0.229003755223223,0.188815961140153,0.051498563202963,0,0.404076049833345,0.148224814904465,0,-0.171532524577887,0.0145631762714886,0,0.23512746579602,0,0.0503544502543369,-0.375537089090382,-0.0800901772839032,0,0,-8.67361737988404e-19
XTZ,0,0.00267287263753652,0.449217129758599,0,0.463262720264693,0.247965133522231,0,0.144520237636184,-0.273359349175537,0,0.0081660311014499,0,0.0909276596776821,0,-0.0242490188841209,0,0.0552732884163473,0,0.620223107873252,0.148273605637813
TAGZ5,0,-0.0310908958788974,0,0,5.55992175027658,0,0,-4.35356109853756,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,-0.00493915971231275,0,0,0,0,0,0,0,0.880854396863772,-0.0363593050483477,0,0,0,0,0,0,0,0,0
XLM,-0.444479198889587,0,-0.33777117258136,0,-0.329080806632626,0.30223492529328,0.00750217518428661,-0.154585687376479,1.18499133002997,0.115648859970189,0.00154004902808438,0.111787641415857,0,-1.37670222268816,0,0,0.419985232615631,0,0,0.167425345089401
LEO,-0.0528809516162035,0.00156830083229393,0.0719953888933825,0,0,0.0472929023026791,0,-0.0361594861197204,0.10754690170277,-0.156503372520307,-0.00950407762279152,0,0,0,0,-0.139547966079455,0,0,0.142747624785968,0.0465328513063625
XMR,0,0.00168245992888568,0,0,0.551591826147657,0.125540273226274,0,0.147862583136404,0.299069771040883,0,-0.00643680513566487,-0.271395334693461,-0.0853651414826156,0,0,0,-0.0532706517664251,0,-0.044358662255821,-0.0675083488731486
BV010082.Index,0.174774063570255,-0.00305701236976953,0.123974543301012,0,-0.336100974106283,0.11076241511738,0,0.075109145444933,-0.050605892793715,0,0.0156916685021637,0.00114771402415437,0.0540847446430638,-0.384099330320707,-0.296522892855798,0,0,0,0,0.0261037687524732
CVIX.Index,0,-0.0110640737353279,0,0,0.0522140427095987,-0.271138383877418,0.434080041013297,0,-0.284961683984279,0.109491647347023,-0.0343859730765216,-0.0946220342950137,0.227024831960842,0,0,-0.180093973093333,0,0,-0.594374276998018,-0.19019450870126
DXY.Curncy,0,0.000219558063784585,-0.0679294634183708,0,0.0201520350889925,-0.0455905437094649,0.0320823885131149,0.0260688679705288,0,-0.0362819838693104,0.00202548037273357,0.0307067128428474,-0.000726737995191277,0,0.105151626958013,0,0.0909038809345098,0,0,0.0177015520950798
SPX.Index,-0.597898285245055,-0.00453962010997597,0,0,-0.271650622831736,-0.161165437956563,0.431066141041635,0,0.0899232057841728,0.212548880367665,0,0.118189164956128,6.93889390390723e-18,0.45292049468586,0,-0.182482968532741,-0.274721184855292,0,0,-0.161573682474082
VIX.Index,0,-0.0154538885263371,0,0,0,0,0,0.160448783365875,0,0.35388898840155,1.73472347597681e-18,-0.0514252704025874,0.834095547025474,0,-1.39830548547637,0,-1.08218887122355,0,-1.07527561052311,0
