,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,TAGZ5,INNBCL,XMR,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.376501857168129,0.144920487960495,0.082533011292848,0.339749712738522,0,0.258755624667668,6.93889390390723e-18,0.221345512460339,-0.0125169265553303,-0.0538878372015396,0.00376105936271185,0.261913365838968,0,0,0.16679162515324,0.0758093687190851,0,-0.0153250441901709,0
ETH,0,0,0,0,0.0910065313674799,0,0.390624405799217,-0.033393814181723,0.237949758025323,0.0853545554554845,0,0.00194877463122611,0.00951871094239672,0.359679817942505,0.030337399566682,0.00336800346457749,0.00786506540057009,0,0.0752414226823562,0.00507923585080915
XRP,0,0,0,0,0,0.408474970944442,0.182323000193741,0,0,0,0,-0.00524549539945594,0,0.0118309106045806,0.230670056132121,0,-0.0438869391212489,0,0,0.0676844080097695
BCH,0,0,0.251221648768039,0,0.361572124651525,0,0.160073104468795,0.113146744840915,-6.93889390390723e-18,0,0,0.00277322196351803,0,0.102539435859303,0.134248580694886,0,0,0,-0.0469878492352263,0
BSV,0.358519351637761,0.334317981580751,0,0.0564354846132787,0,0,0,0.278575207384624,0,0,0,-0.0071128604344401,0.00433536595594543,0,0,-0.105189755880621,0.139006096466825,0,0,-0.167386295553353
LTC,0,0,0,0,-0.136964195578004,0,0.345705131255588,0,0,-0.0960096681045095,0.0584167614713933,-0.00118809526205936,0.225510642686616,0,0.547901332699528,0,0.0953082785870737,0,0,-0.0491426727754859
EOS,0.194309664481258,0.61395914134234,0,0.259714186536755,0.0128694421372532,0.236986085819156,0,0,-0.225068244670591,0,8.67361737988404e-19,-9.54419045018936e-05,0,0,-0.113295436777205,0.0093394071768278,0.00164667303755643,0,0,0
BNB,0,0.078258991812822,0,0.377614800077819,0.115427841942261,0,0.154517289787754,0,0.0340026060665257,0.286067097983426,0,-0.00159554371524086,0.249279272542467,0,0,0,-0.0882610479112837,0,0.0738949516088852,0.137744123745728
XTZ,0.0337766632652209,1.02710170253989,-0.201127591225414,0,-0.257133540688281,0,0,1.35525271560688e-20,0,0.545663240646893,0.119793183046059,-0.00495345695201246,0,0,0.394807336320184,0,-0.0357900700098333,0,-0.157036686072228,-0.0352421972304244
LEO,0,0,0,-0.123771136436887,0,-0.222088264949204,0,0,0.28245599735714,0,-0.0628404726614586,0.000130726659818395,0,0,0,0,-0.038470158787404,0,0,0
TAGZ5,-1.52317850342736,-8.81739916875584,-4.5213939540155,0.60745186118544,0,2.70092996758266,4.14320741496238,0,2.97670625404257,0,0,0.0188115427233242,-1.84779296875985,7.37821150936525,0.242435715531909,0,-0.343516194905455,0,0.944620496163669,0.109730383860246
INNBCL,0,0,0,0,-8.84007419339918,0,0,0,-8.33968784420288,0,5.87517421282911,0,-5.32565217952946,0,20.6487203472901,13.7527508615236,0,0,0,0.46664281917931
XMR,0,0.318344655138914,0,-0.186777048596095,0,0.314764680236694,0,0.43939189219666,0.031307958120286,0,0,0.00851482056231692,0,0,0,-0.107907989265756,-0.0429015823864195,0,0.0559575338597236,-0.103186752854408
XLM,0.0891519950531253,0.21816919741864,0.619521524422524,0.0999839284022052,0.25821558237187,0,-0.358424005245633,0.0164949286042608,0.134705382457754,-0.229953953961485,0.0450633346745739,0.00345465092477049,0,0,-0.243488772882647,0.0241005429048755,-0.0521564829799938,0,0,0.0927435583447684
ADA,0,0,0,0,0,0.789348861027337,0,0.254535249277355,0,0,-0.00237605869613283,-0.00260018293692788,0,0,0,0,0,0,0,0
BV010082.Index,1.52411255194746,1.32256361800521,0,0,-1.15867608196674,0,0,-1.11201770767977,-1.09498923817834,0.409301698177119,-0.0601675526341368,-0.0141188714867655,0.459543094265509,0.569979009159057,0.0195751419223089,0,-0.0670360520442935,4.36100806732128,0.431062276748471,0.232648190951663
CVIX.Index,0.700231184813468,0,2.77555756156289e-17,1.03178229013302,0.959165959743088,0.826537229705881,-0.687758788142334,-2.68486136086713,1.45975527970078,-1.47395411559581,-0.294277104223153,-0.0208232512758849,0,0,-1.58885188306353,0.205265951463856,0,1.85364465176326,-0.36183467886426,0.826326525898127
DXY.Curncy,0,0,-0.134521744163891,0,0.0221552004852483,0,0,0,0.0380934039330243,0,0.0426590387577732,0.000465612583339798,0,0,0,0,0,0,-0.0690684420660132,-0.0316502681735428
SPX.Index,0,0.543972422673331,0.11273846287353,0,0,-0.220122373804035,-1.09935399416826,0.646170528384593,0,-0.826977461314985,-0.0444127662268016,0.00907461157759093,-0.0767070121060039,0,0,0.196565934437314,0,0,0,-0.315420417890103
VIX.Index,0,0,0,0,-0.703760729946933,0,-1.02700651673291,0.327415636594202,-1.20358857087808,0.582918126878008,0.0472899011936579,0.0334394081935814,0,1.85401411937084,1.23774005642095,0.0849735492323482,0.38561559390185,0,-1.15668796771062,0
