,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,ATOM,BSV,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0149564371720668,0,0.144952368083565,-0.028511021314612,0,0,-0.0508864585161695,0.275000187513786,0.0890103645397174,0,0.036368107004365,-0.0211525059770394,0.428570646753745,0,0,0,-0.0571512524787859
ETH,0,0,0.232872360698969,-0.030345121635926,0,0.259077881088872,0.124288434988388,0,0.081471128920779,0,0.386615666450214,-0.113531071275445,-0.0411319810922479,0.0481193241880235,0.0449678827045758,0,-0.293026103392059,0,0,0.0637039023077277
XRP,0,0.524770435631459,0,0.0751856619488596,-0.243878592813218,0.446794355476987,-0.0583442760040353,0,0,0.0408685807753942,-0.137162442121828,0,0,0.00345910277253764,0.139558283440844,0,0.229913258902491,0,0,0
BCH,0,0,-0.197234260173318,0,0.21152938411786,0.72955477413198,-0.120255491783372,0,0.123794323692634,0,0.159656108998219,0,-0.0339129452308518,-0.0357224814634402,-0.32097529384178,0,-0.270737802851397,0,0,0
LTC,-0.29702535581035,0,0,0.391853743833253,0,0.895411194543094,0.098777117894718,-1.14433097105623,0,0,0.658229605228029,0.169659807385588,-0.0579590729179396,0.219425643020421,0.288806138609073,0,0,0,0,0.0767637762967654
EOS,0.236626188514639,0.095999292583751,0.0191721880553218,0.159876905179494,0.0649224189291393,0,0,0.335463770201494,0,0.529605842017807,0,-0.377691162889637,0.0714007000025404,0.103889614467514,0.0801827419666241,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0.343315852827751,0,0,0,0.140971181859486,0,0,0,0,0,0,0.0103051827944433
XLM,0,0,0.411115063867861,0.116254379490775,-0.479029752049556,0.54761571779772,0.0559699499531797,0,0,0,0.289009466797734,0.313862841777371,-0.0586060893750581,0,0.0962803238337059,-0.169194815986668,-0.103956837597209,0,0,0.0591608541785687
ADA,0,0,0,0.191450562204966,0.214373791171526,0,0,0,0,0.537705082484185,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.000365226604093739
TRX,0,0,0,0,0.423731608604969,0.153819068394121,0.0245824518600905,0.102230267749766,0.107576549956075,0,0,0,0,0,0,0,0.413567918333037,0,0,0.0189101532200858
XMR,0.601391176161293,0.912951612049604,-0.0628049241823555,0,0.175449505832709,0,-0.034334244194242,0,-0.0730620396835587,-0.671106755802148,0,0.579904848714994,-0.00842296491548431,-0.204422973104018,0,-0.173504025029322,0.512260915048064,0,0,-0.121104393985224
DASH,0,0,0,0,0,0,0,0,0.401792334751479,0,0.163360926501838,0,0.0760003392198566,0.00456769191210534,0.189926986599675,0,0,0,0,0
ATOM,2.77555756156289e-17,-5.63505929181827,1.082215138874,-1.24085664146901,-0.977719664698615,4.03062654032301,1.57794181011691,0,-0.863058211210187,0,2.45641576146115,0.511341501158001,0,-0.326485969967735,-0.723989054816854,0,-1.67741577770894,0,0,0
BSV,1.62251319858306,1.62468104746409,-0.144870607980269,-0.609437928761368,0.926769520361816,0.287265943237074,-0.0146733234207171,0,0,-1.77661955680186,-1.96911488718784,1.64938262982486,0,0,-0.127726148228426,-0.780753904784538,1.23628392806836,0,0,-0.277237402202931
MIOTA,0.0700477423659929,0.230144592775858,0.0922200851191711,-0.0951896052965701,0,0,0,0.0578573728910552,0,0,0,0,0.0776499363523789,0,0,0,0,0,0,-0.173675981728067
BV010082.Index,0.53133254760363,0,0.382531671332569,0.0296108456014708,0.00778867642535953,0,0.0869214639115227,-0.364959363935355,-0.00609634385926337,0,-0.276931580431664,0.213913486902916,-0.0204477114413047,-0.110604381140271,0.0919411176818681,0,0.064515373882901,0,0,0.0106215689289417
CVIX.Index,0.291377714138624,-2.40669519553772,0.488786644317262,0,0,0,0.239116204635992,-0.0579816770048888,-0.105147106235617,0.962656038479207,1.11880195650092,-0.520190633025635,-0.0833471249844635,0.187216870036011,0.0592230839705119,0,0,0,0,0.211219752116793
DXY.Curncy,0,0,0,-0.042069507160615,0.0412901466013444,0,0.0122353431345296,0,0.0230757639410919,0.00365629227469494,-0.0216657376968898,-0.0331928544902167,0,-0.0243273301435822,-0.0101514759217709,-0.00460874559388308,0.00283359822356731,0,0,0.00858290419340807
SPX.Index,0,0,0,-0.000227130079649906,-0.0144008956713725,0,0.00548702849443125,0,0.000495130902797509,0,0,0,-0.00400198386236154,0,0,-0.0305033178749651,0.0201716594885398,0,0,-0.0532718583247929
VIX.Index,-0.527472138726275,1.29217958689417,-0.648791048489879,-0.43501290649747,0,0,-0.174542193766599,0,0,0.516315863148824,0,0,-0.051078496451181,-0.328939201296429,-0.281413925152009,0,0.23141232710169,0,-8.73999453022198,0
