,BTC,XRP,ETH,XLM,BCH,EOS,BSV,LTC,TRX,ADA,XMR,MIOTA,XEM,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.308873409332195,-0.190305947987477,0.110215171069944,0.0564019813561557,0.116153907194696,0.198412978875006,0,0.0684759907918305,0.127609791596784,0.193966866807544,-0.109454938820552,0.0263496190044905,0,0,0,0,-0.0321899401569109
XRP,0,0,0.0519954624759993,0.0574661867240244,0.0860161668140038,0,-0.046675000274028,0.0995043176274322,0,0,0,0,0.149592778069677,0.0831615436272222,0.149381242008543,0,0,0,0,0
ETH,0,0.628618947671595,0,0,-4.33680868994202e-19,0,0.0365501859113741,0.150713851949396,0.00775905662237815,-0.0119663183363291,0.3753506322475,0,0.0115505180873242,0,0.0481836607768458,0.1919588131688,0.642275928192015,0,0,0
XLM,0.622616335457532,0.0150639021542448,0,0,0.0991311357255761,0,-0.0857072459113636,0,0,0.116376676207467,0,0.319999290243345,3.46944695195361e-18,0,0,0,0,0,0,0.0500537185229615
BCH,-2.8040098035754,0,0.473145182573306,1.07319369634488,0,0.342350683984948,0.280341639753588,-0.557570319448676,0,1.15809584357177,0,0.451592664397452,0.429735338961127,-0.348227439894527,0.277753585253923,0,0,0,0,-0.205540313352708
EOS,0,0,0,0.279462280195088,0.0610069134276805,0,0.0104331199578868,0.274949808399173,-0.453611404547334,0,0,0,-0.163485092241664,0.6015278050459,0.0777478249502807,0,0,0,0,0.0373501513514715
BSV,4.09919966720424,-2.22423105522264,0.877633889987278,-2.63638990727094,1.46277503737389,-0.431263760867412,0,0.579873696167571,0.30868055654296,0,0,0,-1.94269487546371,0,5.55111512312578e-17,0,0,0,0,0.524955033458126
LTC,0,0,0,0.396244294217012,-0.150357328094326,0.18077720015259,0.10573988072867,0,0,0,0,0.187469688743391,0.0527073755453748,0.083968244321759,0,1.38083061125204,0,0,0,0.0418272552921582
TRX,0.106687537705896,0,0,0,-0.165516839549903,-0.172745004057884,0,0,0,0.496121445836419,0,0.510759364109322,0.0601350067162427,0,0.134545366559062,0,0,0,0,-0.0708585980406109
ADA,0,0,0,0,0.221480004537034,0.0501167473922271,-0.079816342036519,0.488070947121476,0.404950070964703,0,0.282354517532587,0,-0.299153015312352,0.0143648644895133,-0.101211882926784,0,0,0,0,0.0694715167476045
XMR,0.39161110006648,-0.12131652824312,0.753393669861689,0,-0.201453441345853,0,0,-0.311328276555373,0.00279631034486539,0,0,0.1406795071034,0.248247960875026,0.209580891294287,-0.0281431689072472,0,-0.430081345221777,0,0,-0.0794233179951006
MIOTA,0.871959415444187,-0.178990052798935,-0.459605682579156,0.237402854687844,0.175433847094406,0,0.013624551188123,-0.0251540288572687,0.152723248346506,0,0,0,0.150123325449628,0.0738769577776415,-0.0136694486070326,0.903983277467837,0.940027687894698,0,0.255737672483941,0
XEM,0.540111932783146,0.529894439238406,0,-0.110418766323745,0.0764464796503809,-0.252378852037675,-0.0873460581637171,0.0525473501261199,-0.208362536481437,0,0.457614435140772,0,0,0.01708265201089,0,0,0,0,0,0
DASH,-0.47844478731203,0,0.925790141566485,0,0,0.210145153809332,-0.0284927606518572,6.93889390390723e-18,0,0.286896368771591,0.15614634888745,0,0,0,-0.00760698058733405,0,0.0266064538125256,0,0,0.100021073585265
BNB,0,0,1.6649866195011,-0.0581859453103239,0.401046649310735,0,0.0342157637211459,-0.806506490741669,0.322900400356133,-0.920018063079954,-0.0521631322685071,-0.214673130248876,0,0.441596841781671,0,0.156588802941903,-4.40015913336051,0,0,0.542614034842642
BV010082.Index,0,0,0.0440428809500987,-0.150467303026957,0,0,-0.00125744229192012,0.131774318444602,-0.0263140417690527,-0.017870732911656,0,0,0,-0.0810330266081634,0.0802174614133312,0,0,0,0,-0.0474488444362627
CVIX.Index,-0.0620830051884171,-0.200044226613175,0.443500294260286,0,0.0233439221898874,0,0,-0.0841802619433405,0,0,-0.138521235412245,-0.0150783265289289,0,0.0304963498044908,-0.1263358079048,0,0,0,0,0.0925591293878177
DXY.Curncy,0,0.0055427838350675,0.0207789609885877,-0.0420811630951008,0.016460225634314,0.00205943786315332,-0.00448466140463018,0.0437157847516201,-0.0254468118194849,0,-2.16840434497101e-19,0,0,-0.00971075111199309,-0.0015243355338334,0,0,0,0,0.00592823242746881
SPX.Index,0,-0.0815182920782733,-0.138459348244121,0.124165500062092,0,-0.109991630256499,-0.000627363822282553,0.118669108230204,0,-0.0384754092104105,0,0,-0.0213139117241931,0.0465629056351141,0.048006392143224,0,0.274460007709107,0,0,-0.1678549453839
VIX.Index,-0.105848486116742,-0.370967492346434,-0.284374314630174,0.708909821766859,0,-0.530678815722209,0.0248395939779755,0.193253840579656,0,0,-0.402533072034027,0.29021815716508,-0.412043587745402,0.743583056820727,-0.153512658388234,0,0,0,-4.36807637276203,0
